rank,symbol,name,rt_price,market_cap,target_weight,signal_date,effective_date
1,688156,路德科技,24.04,2421168334.0,0.01,2026-04-02,2026-04-03
2,688450,光格科技,38.78,2559480000.0,0.01,2026-04-02,2026-04-03
3,603182,嘉华股份,17.35,2854942500.0,0.01,2026-04-02,2026-04-03
4,301197,工大科雅,23.75,2862825000.0,0.01,2026-04-02,2026-04-03
5,000573,粤宏远Ａ,4.58,2923325166.0,0.01,2026-04-02,2026-04-03
6,002806,华锋股份,14.34,3046951570.0,0.01,2026-04-02,2026-04-03
7,605189,富春染织,16.02,3109124530.0,0.01,2026-04-02,2026-04-03
8,603909,建发合诚,12.32,3211493085.0,0.01,2026-04-02,2026-04-03
9,301111,粤万年青,20.8,3328000000.0,0.01,2026-04-02,2026-04-03
10,300854,中兰环保,33.79,3381323063.0,0.01,2026-04-02,2026-04-03
11,603637,镇海股份,14.31,3415594900.0,0.01,2026-04-02,2026-04-03
12,300998,宁波方正,24.91,3416885519.0,0.01,2026-04-02,2026-04-03
13,001256,炜冈科技,24.0,3422701392.0,0.01,2026-04-02,2026-04-03
14,600539,狮头股份,15.08,3468400000.0,0.01,2026-04-02,2026-04-03
15,300599,雄塑科技,10.25,3670848562.0,0.01,2026-04-02,2026-04-03
16,000889,中嘉博创,3.95,3698349908.0,0.01,2026-04-02,2026-04-03
17,603042,华脉科技,23.34,3748166866.0,0.01,2026-04-02,2026-04-03
18,300804,广康生化,51.92,3842080000.0,0.01,2026-04-02,2026-04-03
19,600594,益佰制药,5.06,4007152644.0,0.01,2026-04-02,2026-04-03
20,603036,如通股份,19.65,4048018391.0,0.01,2026-04-02,2026-04-03
21,301552,科力装备,43.11,4104072000.0,0.01,2026-04-02,2026-04-03
22,600337,美克家居,2.86,4109814672.0,0.01,2026-04-02,2026-04-03
23,603808,歌力思,11.36,4192895094.0,0.01,2026-04-02,2026-04-03
24,603863,松炀资源,20.6,4215790000.0,0.01,2026-04-02,2026-04-03
25,600218,全柴动力,9.98,4347287192.0,0.01,2026-04-02,2026-04-03
26,002107,沃华医药,7.65,4415653440.0,0.01,2026-04-02,2026-04-03
