change_date,total_shares_10k,reason
2020-08-28,43900.0,A股上市
2020-12-31,43900.0,定期报告
2021-06-30,43900.0,定期报告
2021-08-30,43900.0,限售股份上市
2021-12-31,43900.0,定期报告
2022-06-30,43900.0,定期报告
2022-12-31,43900.0,定期报告
2023-03-31,43900.0916,可转债转股
2023-06-30,43900.1061,"可转债转股,定期报告"
2023-09-28,43900.1185,可转债转股
2023-10-09,43900.1185,"可转债转股,限售股份上市"
2023-12-31,43900.1247,"可转债转股,定期报告"
2024-03-31,43900.1247,可转债转股
2024-04-15,51495.0614,增发新股上市
2024-05-28,66943.5885,"转增,可转债转股"
2024-06-25,66943.6061,可转债转股
2024-06-28,66943.6061,可转债转股
2024-06-30,66943.6061,定期报告
2024-09-30,66943.6414,可转债转股
2024-10-15,66943.6414,限售股份上市
2024-12-31,66943.6414,定期报告
2025-03-03,66943.6493,可转债转股
2025-03-31,66943.6493,可转债转股
2025-05-28,66943.6581,可转债转股
2025-06-16,66943.6581,其他
2025-06-30,66943.6581,定期报告
2025-12-31,66943.6836,可转债转股
