change_date,total_shares_10k,reason
2017-06-07,10000.0,A股上市
2017-06-30,10000.0,定期报告
2017-12-31,10000.0,定期报告
2018-05-09,10206.0,"增发新股上市,股权激励"
2018-06-07,10206.0,限售股份上市
2018-06-28,14206.0,转增
2018-06-30,14206.0,定期报告
2018-12-31,14206.0,定期报告
2019-03-07,14272.8124,"增发新股上市,股权激励"
2019-05-16,14272.8124,激励股份解禁
2019-06-27,14272.2821,股份回购
2019-06-30,14272.2821,定期报告
2019-07-11,20266.6406,转增
2019-12-31,20266.6406,定期报告
2020-03-03,20239.5699,股份回购
2020-03-27,20239.5699,其他
2020-05-28,20098.5205,股份回购
2020-06-08,20098.5205,限售股份上市
2020-06-30,20098.5205,定期报告
2020-12-31,20098.5205,定期报告
2021-02-05,20086.132,股份回购
2021-04-30,20086.132,其他
2021-06-17,19904.6493,股份回购
2021-06-30,19904.6493,定期报告
2021-08-23,22797.8929,增发新股上市
2021-12-31,22795.4505,定期报告
2022-02-24,22795.4505,限售股份上市
2022-06-30,22795.4505,定期报告
2022-07-07,22779.9938,股份回购
2022-12-31,22779.9938,定期报告
2023-03-20,22872.0888,期权行权
2023-06-08,32020.9243,转增
2023-06-30,32020.9243,定期报告
2023-12-31,32020.9243,定期报告
2024-06-30,32020.9243,定期报告
2024-12-31,32020.9243,定期报告
2025-06-30,32020.9243,定期报告
