change_date,total_shares_10k,reason
2018-12-13,8080.0,A股上市
2018-12-31,8080.0,定期报告
2019-06-30,8080.0,定期报告
2019-12-13,8080.0,限售股份上市
2019-12-31,8080.0,定期报告
2020-05-28,10504.0,转增
2020-06-30,10504.0,定期报告
2020-11-13,10504.0,限售股份上市
2020-12-31,10504.0,定期报告
2021-06-02,12604.8,转增
2021-06-30,12604.8,定期报告
2021-12-13,12604.8,限售股份上市
2021-12-31,12604.8,定期报告
2022-06-30,12604.8,定期报告
2022-12-31,12604.8,定期报告
2023-06-30,12604.8,定期报告
2023-12-31,12604.8,定期报告
2024-06-30,12604.8,定期报告
2024-12-31,12604.8,定期报告
2025-06-30,12604.8,定期报告
