change_date,total_shares_10k,reason
2020-05-07,16066.2382,A股上市
2020-06-30,16066.2382,定期报告
2020-12-31,16066.2382,定期报告
2021-05-07,16066.2382,限售股份上市
2021-05-26,22492.7334,转增
2021-06-30,22492.7334,定期报告
2021-12-31,22492.7334,定期报告
2022-05-19,31489.8267,转增
2022-06-30,31489.8267,定期报告
2022-12-31,31489.8267,定期报告
2023-05-08,31489.8267,限售股份上市
2023-05-16,44085.7573,转增
2023-06-30,44085.7573,定期报告
2023-10-12,44127.7573,"增发新股上市,股权激励"
2023-12-31,44127.7573,定期报告
2024-05-16,61778.8602,转增
2024-06-12,61790.7602,"增发新股上市,股权激励"
2024-06-30,61790.7602,定期报告
2024-11-01,61925.5711,期权行权
2024-11-14,61925.5711,激励股份解禁
2024-12-31,61937.4213,"定期报告,期权行权"
2025-01-24,61936.5813,"股份回购,期权行权"
2025-05-16,86768.7711,"转增,期权行权"
2025-06-30,86768.7711,定期报告
2025-07-29,86735.7451,股份回购
