change_date,total_shares_10k,reason
2015-12-23,20000.0,A股上市
2015-12-31,20000.0,定期报告
2016-06-30,20000.0,定期报告
2016-12-23,20000.0,限售股份上市
2016-12-31,20000.0,定期报告
2017-06-30,20000.0,定期报告
2017-12-31,20000.0,定期报告
2018-06-30,20000.0,定期报告
2018-12-24,20000.0,限售股份上市
2018-12-31,20000.0,定期报告
2019-06-30,20000.0,定期报告
2019-12-31,20000.0,定期报告
2020-06-30,20000.0,定期报告
2020-12-31,20000.0,定期报告
2021-06-30,20000.0,定期报告
2021-12-31,20000.0,定期报告
2022-06-13,20115.0,"增发新股上市,股权激励"
2022-06-30,20115.0,定期报告
2022-12-31,20115.0,定期报告
2023-06-30,20115.0,定期报告
2023-10-16,22696.4695,增发新股上市
2023-12-31,22696.4695,定期报告
2024-04-12,22661.9695,股份回购
2024-06-30,22661.9695,定期报告
2024-12-31,22661.9695,定期报告
2025-04-16,22661.9695,限售股份上市
2025-06-30,22661.9695,定期报告
