change_date,total_shares_10k,reason
1996-11-05,5860.0,A股上市
1996-12-31,5860.0,定期报告
1997-05-06,5860.0,职工股上市
1997-06-11,7911.0,"送股,转增"
1997-06-30,7911.0,定期报告
1997-12-31,7911.0,定期报告
1998-06-30,7911.0,定期报告
1998-12-31,7911.0,定期报告
1999-02-03,9344.348,配股上市
1999-06-30,9344.348,定期报告
1999-12-31,9344.348,定期报告
2000-03-09,18688.696,"送股,转增"
2000-06-30,18688.696,定期报告
2000-12-31,18688.696,定期报告
2001-06-30,18688.696,定期报告
2001-12-31,18688.696,定期报告
2002-06-30,18688.696,定期报告
2002-12-31,18688.696,定期报告
2003-06-30,18688.696,定期报告
2003-12-31,18688.696,定期报告
2004-06-30,18688.696,定期报告
2004-12-31,18688.696,定期报告
2005-06-30,18688.696,定期报告
2005-12-31,18688.696,定期报告
2006-06-30,18688.696,定期报告
2006-07-11,19975.696,股权分置
2006-12-31,19975.696,定期报告
2007-06-22,24380.8438,"送股,其他"
2007-06-30,24380.8438,定期报告
2007-08-28,24380.8438,股权分置受限股份上市
2007-09-11,24380.8438,股权分置受限股份上市
2007-12-31,24380.8438,定期报告
2008-06-30,24380.8438,定期报告
2008-12-31,24380.8438,定期报告
2009-06-18,24380.8438,股权分置受限股份上市
2009-06-30,24380.8438,定期报告
2009-12-31,24380.8438,定期报告
2010-06-30,24380.8438,定期报告
2010-12-31,24380.8438,定期报告
2011-06-30,24380.8438,定期报告
2011-12-31,24380.8438,定期报告
2012-06-30,24380.8438,定期报告
2012-12-31,24380.8438,定期报告
2013-05-16,24380.8438,股权分置受限股份上市
2013-06-30,24380.8438,定期报告
2013-12-31,24380.8438,定期报告
2014-06-30,24380.8438,定期报告
2014-12-31,24380.8438,定期报告
2015-06-30,24380.8438,定期报告
2015-07-28,27780.8438,增发新股上市
2015-08-07,27780.8438,股权分置受限股份上市
2015-12-31,27780.8438,定期报告
2016-06-30,27780.8438,定期报告
2016-12-20,35311.1304,增发新股上市
2016-12-31,35311.1304,定期报告
2017-06-30,35311.1304,定期报告
2017-12-21,35311.1304,限售股份上市
2017-12-31,35311.1304,定期报告
2018-06-30,35311.1304,定期报告
2018-07-30,35311.1304,限售股份上市
2018-09-10,35287.8988,股份回购
2018-12-31,35287.8988,定期报告
2019-05-30,49359.8023,转增
2019-06-12,49199.9697,股份回购
2019-06-30,49199.9697,定期报告
2019-12-23,49199.9697,限售股份上市
2019-12-31,49199.9697,定期报告
2020-06-30,49199.9697,定期报告
2020-12-31,49199.9697,定期报告
2021-06-30,49199.9697,定期报告
2021-12-31,49199.9697,定期报告
2022-06-30,49199.9697,定期报告
2022-12-08,48949.1141,股份回购
2022-12-31,48949.1141,定期报告
2023-06-30,48949.1141,定期报告
2023-12-31,48949.1141,定期报告
2024-06-30,48949.1141,定期报告
2024-12-31,48949.1141,定期报告
2025-06-30,48949.1141,定期报告
