change_date,total_shares_10k,reason
1998-12-31,8750.275,定期报告
1999-12-31,13250.275,定期报告
2000-01-13,13250.275,A股上市
2000-06-02,23850.4949,"送股,转增"
2000-06-30,23850.4949,定期报告
2000-12-31,23850.4949,定期报告
2001-06-30,23850.4949,定期报告
2001-12-31,23850.4949,定期报告
2002-06-30,23850.4949,定期报告
2002-09-20,23850.4949,职工股上市
2002-11-27,23850.4949,股权转让
2002-12-31,23850.4949,定期报告
2003-06-30,23850.4949,定期报告
2003-12-31,23850.495,定期报告
2004-06-30,23850.49,定期报告
2004-12-31,23850.495,定期报告
2005-06-30,23850.495,定期报告
2005-12-31,23850.495,定期报告
2006-06-20,23850.4949,股权分置
2006-06-30,23850.495,定期报告
2006-12-31,23850.495,定期报告
2007-06-22,23850.4949,股权分置受限股份上市
2007-06-30,23850.4949,定期报告
2007-09-03,23850.4949,股权分置受限股份上市
2007-12-31,23850.495,定期报告
2008-06-24,23850.4949,股权分置受限股份上市
2008-06-30,23850.495,定期报告
2008-12-31,23850.495,定期报告
2009-06-30,23850.495,定期报告
2009-12-31,23850.495,定期报告
2010-01-12,23850.495,股权分置受限股份上市
2010-06-30,23850.495,定期报告
2010-12-31,23850.495,定期报告
2011-06-30,23850.495,定期报告
2011-12-31,23850.495,定期报告
2012-06-30,23850.495,定期报告
2012-12-31,23850.495,定期报告
2013-06-30,23850.495,定期报告
2013-12-31,23850.495,定期报告
2014-06-30,23850.495,定期报告
2014-12-31,23850.495,定期报告
2015-06-30,23850.495,定期报告
2015-10-26,29645.1968,增发新股上市
2015-12-31,29645.1968,定期报告
2016-06-30,29645.1968,定期报告
2016-07-27,59290.3936,转增
2016-12-31,59290.3936,定期报告
2017-06-30,59290.3936,定期报告
2017-12-31,59290.3936,定期报告
2018-06-30,59290.3936,定期报告
2018-10-26,59290.3936,限售股份上市
2018-12-31,59290.3936,定期报告
2019-06-30,59290.3936,定期报告
2019-12-31,59290.3936,定期报告
2020-06-30,59290.3936,定期报告
2020-12-31,59290.3936,定期报告
2021-06-30,59290.3936,定期报告
2021-12-31,59290.3936,定期报告
2022-06-30,59290.3936,定期报告
2022-12-31,59290.3936,定期报告
2023-06-30,59290.3936,定期报告
2023-12-31,59290.3936,定期报告
2024-06-30,59290.3936,定期报告
2024-12-31,59290.3936,定期报告
2025-06-30,59290.3936,定期报告
