change_date,total_shares_10k,reason
1995-12-31,4500.0,定期报告
1996-06-30,4500.0,定期报告
1996-08-23,5887.5,A股上市
1996-12-31,5887.5,定期报告
1997-03-11,11186.25,"送股,转增"
1997-06-30,11186.25,定期报告
1997-12-31,11186.25,定期报告
1998-06-30,11186.25,定期报告
1998-12-31,11186.25,定期报告
1999-06-30,11186.25,定期报告
1999-12-31,11186.25,定期报告
2000-06-30,11186.25,定期报告
2000-12-31,11186.25,定期报告
2001-06-30,11186.25,定期报告
2001-12-31,11186.25,定期报告
2002-06-30,11186.25,定期报告
2002-12-31,11186.25,定期报告
2003-06-30,11186.25,定期报告
2003-12-31,11186.25,定期报告
2004-06-30,11186.25,定期报告
2004-12-31,11186.25,定期报告
2005-06-30,11186.25,定期报告
2005-12-31,11186.25,定期报告
2006-06-30,14036.25,"定期报告,股权分置"
2006-12-31,14036.25,定期报告
2007-06-30,14036.25,定期报告
2007-12-31,14036.25,定期报告
2008-06-30,14036.25,定期报告
2008-12-31,14036.25,定期报告
2009-06-30,14036.25,定期报告
2009-12-31,14036.25,定期报告
2010-06-30,14036.25,定期报告
2010-12-31,14036.25,定期报告
2011-06-30,14036.25,定期报告
2011-11-09,50498.8667,增发新股上市
2011-12-31,50498.8667,定期报告
2012-01-06,50498.8667,股权分置受限股份上市
2012-06-30,50498.8667,定期报告
2012-11-28,50498.8667,股权分置受限股份上市
2012-12-11,50498.8667,限售股份上市
2012-12-31,50498.8667,定期报告
2013-06-30,50498.8667,定期报告
2013-12-31,50498.8667,定期报告
2014-06-30,50498.8667,定期报告
2014-11-10,50498.8667,"股权分置受限股份上市,限售股份上市"
2014-12-31,50498.8667,定期报告
2015-03-16,50498.8667,股权分置受限股份上市
2015-06-30,50498.8667,定期报告
2015-12-31,50498.8667,定期报告
2016-06-30,50498.8667,定期报告
2016-07-18,63046.5767,增发新股上市
2016-07-28,72262.5223,增发新股上市
2016-12-31,72262.5223,定期报告
2017-06-30,72262.5223,定期报告
2017-08-03,72262.5223,限售股份上市
2017-12-31,72262.5223,定期报告
2018-01-03,68996.9346,股份回购
2018-06-30,68996.9346,定期报告
2018-12-31,68996.9346,定期报告
2019-06-30,68996.9346,定期报告
2019-08-08,68996.9346,限售股份上市
2019-12-31,68996.9346,定期报告
2020-06-30,68996.9346,定期报告
2020-12-31,68996.9346,定期报告
2021-04-06,68996.9346,限售股份上市
2021-06-30,68996.9346,定期报告
2021-12-31,68996.9346,定期报告
2022-06-30,68996.9346,定期报告
2022-12-31,68996.9346,定期报告
2023-06-30,68996.9346,定期报告
2023-11-09,68996.9346,限售股份上市
2023-12-31,68996.9346,定期报告
2024-06-30,68996.9346,定期报告
2024-09-03,68996.9346,其他
2024-12-31,68996.9346,定期报告
2025-02-19,68996.9346,股权分置受限股份上市
2025-03-11,68996.9346,股权分置受限股份上市
2025-06-30,68996.9346,定期报告
