change_date,total_shares_10k,reason
2019-06-30,36000.0,定期报告
2019-07-22,40600.0,A股上市
2019-12-31,40600.0,定期报告
2020-01-22,40600.0,限售股份上市
2020-06-30,40600.0,定期报告
2020-07-22,40600.0,限售股份上市
2020-12-31,40600.0,定期报告
2021-06-30,40600.0,定期报告
2021-07-22,40600.0,限售股份上市
2021-12-31,40600.0,定期报告
2022-06-30,40600.0,定期报告
2022-12-31,40600.0,定期报告
2023-01-30,40600.0,限售股份上市
2023-06-30,40600.0,定期报告
2023-12-31,40600.0,定期报告
2024-05-08,40600.0,其他
2024-06-27,40117.04,股份回购
2024-06-30,40117.04,定期报告
2024-12-31,40117.04,定期报告
2025-06-30,40117.04,定期报告
