change_date,total_shares_10k,reason
2011-11-23,6700.0,A股上市
2011-12-31,6700.0,定期报告
2012-02-23,6700.0,配售股份上市
2012-06-27,13400.0,转增
2012-06-30,13400.0,定期报告
2012-11-23,13400.0,限售股份上市
2012-12-31,13400.0,定期报告
2013-06-30,13400.0,定期报告
2013-12-31,13400.0,定期报告
2014-06-30,13400.0,定期报告
2014-11-23,13400.0,承诺限售
2014-12-30,13400.0,限售股份上市
2014-12-31,13400.0,定期报告
2015-06-30,13400.0,定期报告
2015-09-24,13400.0,限售股份上市
2015-12-31,13400.0,定期报告
2016-05-03,33500.0,转增
2016-06-30,33500.0,定期报告
2016-12-31,33500.0,定期报告
2017-06-30,33500.0,定期报告
2017-12-31,33500.0,定期报告
2018-06-30,33500.0,定期报告
2018-12-31,33500.0,定期报告
2019-06-30,33500.0,定期报告
2019-12-31,33500.0,定期报告
2020-06-30,33500.0,定期报告
2020-12-31,33500.0,定期报告
2021-06-30,33500.0,定期报告
2021-12-31,33500.0,定期报告
2022-06-30,33500.0,定期报告
2022-12-31,33500.0,定期报告
2023-06-30,33500.0,定期报告
2023-12-31,33500.0,定期报告
2024-06-30,33500.0,定期报告
2024-12-31,33500.0,定期报告
2025-06-11,34170.0,转增
2025-06-30,34170.0,定期报告
2026-02-11,151660.4765,增发新股上市
2026-03-19,151660.4765,激励股份解禁
