change_date,total_shares_10k,reason
1993-03-29,340000.0,H股上市
1994-12-31,340000.0,定期报告
1995-04-11,360000.0,A股上市
1995-04-26,400000.0,增发新股上市
1995-06-30,400000.0,定期报告
1995-12-31,400000.0,定期报告
1996-06-30,400000.0,定期报告
1996-12-31,400000.0,定期报告
1997-06-30,400000.0,定期报告
1997-12-31,400000.0,定期报告
1998-06-30,400000.0,定期报告
1998-12-31,400000.0,定期报告
1999-06-30,400000.0,定期报告
1999-12-31,400000.0,定期报告
2000-06-30,400000.0,定期报告
2000-12-31,400000.0,定期报告
2001-06-30,400000.0,定期报告
2001-12-31,400000.0,定期报告
2002-06-30,400000.0,定期报告
2002-12-31,400000.0,定期报告
2003-06-30,400000.0,定期报告
2003-12-31,400000.0,定期报告
2004-06-30,400000.0,定期报告
2004-12-31,400000.0,定期报告
2005-06-30,400000.0,定期报告
2005-12-31,400000.0,定期报告
2006-06-30,400000.0,定期报告
2006-12-31,400000.0,定期报告
2007-06-30,400000.0,定期报告
2007-12-31,400000.0,定期报告
2008-06-30,400000.0,定期报告
2008-12-31,400000.0,定期报告
2009-06-30,400000.0,定期报告
2009-12-31,400000.0,定期报告
2010-06-30,400000.0,定期报告
2010-12-31,400000.0,定期报告
2011-06-30,400000.0,定期报告
2011-12-31,400000.0,定期报告
2012-06-30,400000.0,定期报告
2012-12-31,400000.0,定期报告
2013-06-30,400000.0,定期报告
2013-08-20,400000.0,股权分置
2013-11-21,600000.0,转增
2013-12-31,600000.0,定期报告
2014-06-30,600000.0,定期报告
2014-12-30,358500.0,股份回购
2014-12-31,1280932.7662,"增发新股上市,定期报告"
2015-03-03,1414266.0995,增发新股上市
2015-06-30,1414266.0995,定期报告
2015-12-31,1414266.0995,定期报告
2016-03-03,1414266.0995,限售股份上市
2016-06-30,1414266.0995,定期报告
2016-08-22,1414266.0995,股权分置受限股份上市
2016-12-31,1414266.0995,定期报告
2017-06-30,1414266.0995,定期报告
2017-12-31,1414266.0995,定期报告
2018-01-02,1414266.0995,限售股份上市
2018-01-25,1898434.0033,"H股上市,增发新股上市"
2018-06-30,1898434.0033,定期报告
2018-12-31,1898434.0033,定期报告
2019-06-30,1898434.0033,定期报告
2019-12-31,1898434.0033,定期报告
2020-06-30,1898434.0033,定期报告
2020-12-31,1898434.0033,定期报告
2021-01-25,1898434.0033,限售股份上市
2021-06-30,1898434.0033,定期报告
2021-12-31,1898434.0033,定期报告
2022-06-30,1898434.0033,定期报告
2022-12-31,1898434.0033,定期报告
2023-06-30,1898434.0033,定期报告
2023-12-31,1898434.0033,定期报告
2024-06-30,1898434.0033,定期报告
2024-09-19,1897941.2033,股份回购
2024-12-31,1897941.2033,定期报告
2025-06-06,1895704.5833,股份回购
2025-06-30,1895704.5833,定期报告
2025-12-31,1895704.5833,定期报告
