change_date,total_shares_10k,reason
2019-05-08,30454.5,A股上市
2019-06-30,30454.5,定期报告
2019-12-31,30454.5,定期报告
2020-05-08,30454.5,限售股份上市
2020-06-30,30454.5,定期报告
2020-12-31,30454.5,定期报告
2021-03-24,30812.5,"增发新股上市,股权激励"
2021-06-30,30812.5,定期报告
2021-11-25,30904.56,"增发新股上市,股权激励"
2021-12-31,30904.56,定期报告
2022-05-09,30904.56,限售股份上市
2022-05-17,30904.56,激励股份解禁
2022-06-30,30904.56,定期报告
2022-07-20,30852.9015,股份回购
2022-12-05,30852.9015,激励股份解禁
2022-12-31,30852.9015,定期报告
2023-01-19,30821.8756,股份回购
2023-04-17,30549.4356,股份回购
2023-05-12,42769.2098,转增
2023-06-30,42769.2098,定期报告
2023-12-31,42769.2098,定期报告
2024-06-30,42769.2098,定期报告
2024-12-31,42769.2098,定期报告
2025-06-30,42769.2098,定期报告
2025-12-31,42769.2098,定期报告
