change_date,total_shares_10k,reason
1996-12-31,8460.0,定期报告
1997-06-20,11460.0,A股上市
1997-06-30,11460.0,定期报告
1997-12-31,11460.0602,定期报告
1998-06-30,11460.0602,定期报告
1998-07-03,14898.0783,"送股,转增"
1998-12-31,14898.0783,定期报告
1999-06-30,14898.0783,定期报告
1999-12-31,14898.0783,定期报告
2000-06-06,14898.0783,职工股上市
2000-06-30,14898.0783,定期报告
2000-12-31,14898.0783,定期报告
2001-06-30,14898.0783,定期报告
2001-12-31,14898.0783,定期报告
2002-06-30,14898.0783,定期报告
2002-12-31,14898.0783,定期报告
2003-06-30,14898.0783,定期报告
2003-12-31,14898.0783,定期报告
2004-06-16,26816.5413,"送股,转增"
2004-06-30,26816.5413,定期报告
2004-12-31,26816.5413,定期报告
2005-06-30,26816.5413,定期报告
2005-12-31,26816.5413,定期报告
2006-05-17,26816.5413,股权分置
2006-06-30,26816.5413,定期报告
2006-12-31,26816.5413,定期报告
2007-05-17,26816.5413,股权分置受限股份上市
2007-06-30,26816.5413,定期报告
2007-09-26,32305.7913,增发新股上市
2007-11-28,32305.7913,股权分置受限股份上市
2007-12-31,32305.7913,定期报告
2008-05-30,32305.7913,股权分置受限股份上市
2008-06-30,32305.7913,定期报告
2008-09-26,32305.7913,限售股份上市
2008-12-31,32305.7913,定期报告
2009-05-11,64611.5826,转增
2009-05-25,64611.5826,股权分置受限股份上市
2009-06-30,64611.5826,定期报告
2009-12-31,64611.5826,定期报告
2010-04-15,64611.5826,股权分置受限股份上市
2010-06-30,64611.5826,定期报告
2010-09-27,64611.5826,限售股份上市
2010-12-31,64611.5826,定期报告
2011-02-09,64611.5826,股权分置受限股份上市
2011-06-30,64611.5826,定期报告
2011-12-31,64611.5826,定期报告
2012-01-04,64611.5826,股权分置受限股份上市
2012-06-30,64611.5826,定期报告
2012-12-21,64611.5826,股权分置受限股份上市
2012-12-31,64611.5826,定期报告
2013-06-30,64611.5826,定期报告
2013-12-17,64611.5826,股权分置受限股份上市
2013-12-31,64611.5826,定期报告
2014-06-30,64611.5826,定期报告
2014-12-31,64611.5826,定期报告
2015-06-30,64611.5826,定期报告
2015-07-13,64611.5826,股权分置受限股份上市
2015-12-31,64611.5826,定期报告
2016-01-15,64611.5826,股权分置受限股份上市
2016-06-30,64611.5826,定期报告
2016-12-31,64611.5826,定期报告
2017-02-07,64611.5826,限售股份上市
2017-06-30,64611.5826,定期报告
2017-12-31,64611.5826,定期报告
2018-06-30,64611.5826,定期报告
2018-09-05,64611.5826,股权分置受限股份上市
2018-12-31,64611.5826,定期报告
2019-05-23,64611.5826,股权分置受限股份上市
2019-06-30,64611.5826,定期报告
2019-09-26,64611.5826,股权分置受限股份上市
2019-12-30,64611.5826,股权分置受限股份上市
2019-12-31,64611.5826,定期报告
2020-06-30,64611.5826,定期报告
2020-12-31,64611.5826,定期报告
2021-06-30,64611.5826,定期报告
2021-09-27,64611.5826,股权分置受限股份上市
2021-12-31,64611.5826,定期报告
2022-06-30,64611.5826,定期报告
2022-12-31,64611.5826,定期报告
2023-06-30,64611.5826,定期报告
2023-12-31,64611.5826,定期报告
2024-06-30,64611.5826,定期报告
2024-12-31,64611.5826,定期报告
2025-06-30,64611.5826,定期报告
