change_date,total_shares_10k,reason
2016-12-23,42156.0,A股上市
2016-12-31,42156.0,定期报告
2017-06-30,42156.0,定期报告
2017-12-25,42156.0,限售股份上市
2017-12-31,42156.0,定期报告
2018-03-05,42351.0,"增发新股上市,股权激励"
2018-06-30,42351.0,定期报告
2018-12-31,42351.0,定期报告
2019-01-24,42381.0,"增发新股上市,股权激励"
2019-03-20,41907.44,股份回购
2019-04-17,41907.44,激励股份解禁
2019-06-30,41907.44,定期报告
2019-12-31,41907.44,定期报告
2020-05-08,41907.44,激励股份解禁
2020-06-30,41907.44,定期报告
2020-12-23,41907.44,限售股份上市
2020-12-31,41907.44,定期报告
2021-05-14,41907.44,激励股份解禁
2021-06-30,41907.44,定期报告
2021-12-31,41907.44,定期报告
2022-06-15,41907.44,其他
2022-06-30,41907.44,定期报告
2022-12-31,41907.8858,"定期报告,可转债转股"
2023-02-27,41908.1442,"股权激励,股份回购,可转债转股"
2023-03-31,41908.3436,"可转债转股,股权激励"
2023-05-23,41996.6856,可转债转股
2023-06-30,41996.8066,"定期报告,可转债转股"
2023-09-30,41997.0365,可转债转股
2023-12-01,41997.9443,"股权激励,股份回购,可转债转股"
2023-12-04,41997.9443,"股份回购,股权激励"
2023-12-31,41997.9443,定期报告
2024-03-31,41998.0532,可转债转股
2024-04-30,41998.1016,"可转债转股,激励股份解禁"
2024-05-28,41998.4284,可转债转股
2024-06-30,41998.6115,"可转债转股,定期报告"
2024-09-30,41998.7581,可转债转股
2024-12-19,42005.9454,可转债转股
2024-12-31,42005.9942,"可转债转股,定期报告"
2025-02-25,41988.4997,"可转债转股,股份回购"
2025-03-31,41988.7439,可转债转股
2025-04-09,41988.7439,激励股份解禁
2025-04-30,41988.7805,可转债转股
2025-05-27,41989.4039,可转债转股
2025-06-30,41989.4162,"可转债转股,定期报告"
2025-09-30,41989.4901,可转债转股
2025-11-14,41466.2147,"可转债转股,股份回购"
2025-12-31,41466.2767,可转债转股
