change_date,total_shares_10k,reason
2020-09-21,40100.0,A股上市
2020-12-31,40100.0,定期报告
2021-06-30,40100.0,定期报告
2021-09-22,40100.0,限售股份上市
2021-12-31,40100.0,定期报告
2022-06-30,40100.0,定期报告
2022-11-07,40619.5,"增发新股上市,股权激励"
2022-12-31,40619.5,定期报告
2023-06-30,40619.5,定期报告
2023-09-21,40619.5,限售股份上市
2023-11-07,40619.5,激励股份解禁
2023-12-31,40619.5,定期报告
2024-06-30,40619.5,定期报告
2024-11-07,40619.5,激励股份解禁
2024-12-31,40619.5,定期报告
2025-03-31,40619.5234,可转债转股
2025-06-30,40619.5234,定期报告
2025-09-22,40619.5234,限售股份上市
2025-09-30,40619.5234,可转债转股
2025-10-31,40619.5234,其他
2025-11-07,40619.5234,激励股份解禁
2025-12-31,40619.5234,可转债转股
2026-01-06,40618.3234,股份回购
2026-01-20,40618.3234,其他
