change_date,total_shares_10k,reason
2017-06-27,8807.6,A股上市
2017-06-30,8807.6,定期报告
2017-12-31,8807.6,定期报告
2018-06-27,8807.6,限售股份上市
2018-06-30,8807.6,定期报告
2018-12-31,8807.6,定期报告
2019-06-30,8807.6,定期报告
2019-12-31,8807.6,定期报告
2020-06-30,8807.6,定期报告
2020-07-06,8807.6,限售股份上市
2020-12-31,8807.6,定期报告
2021-06-30,8807.6,定期报告
2021-09-17,8912.6,"增发新股上市,股权激励"
2021-12-31,8912.6,定期报告
2022-06-30,8912.6,定期报告
2022-07-20,8860.1,股份回购
2022-11-11,8807.6,股份回购
2022-12-31,8807.6,定期报告
2023-06-30,8807.6,定期报告
2023-10-19,11430.3931,增发新股上市
2023-12-31,11430.3931,定期报告
2024-04-19,11430.3931,限售股份上市
2024-06-30,11430.3931,定期报告
2024-07-09,11662.4931,"增发新股上市,股权激励"
2024-12-31,11662.4931,定期报告
2025-01-17,11659.1931,股份回购
2025-05-15,11701.6931,"增发新股上市,股权激励"
2025-06-06,11744.8931,期权行权
2025-06-27,11742.3931,股份回购
2025-06-30,11742.3931,定期报告
2025-07-09,11742.3931,激励股份解禁
2025-11-17,11739.5931,股份回购
2025-12-31,11739.5931,定期报告
