change_date,total_shares_10k,reason
2006-12-31,19520.0,定期报告
2007-01-12,19520.0,A股上市
2007-04-12,19520.0,配售股份上市
2007-05-15,25376.0,转增
2007-06-30,25376.0,定期报告
2007-12-31,25376.0,定期报告
2008-01-14,25376.0,限售股份上市
2008-05-05,25376.0,限售股份上市
2008-05-13,32988.8,转增
2008-06-30,32988.8,定期报告
2008-12-31,32988.8,定期报告
2009-01-12,32988.8,限售股份上市
2009-06-29,32988.8,限售股份上市
2009-06-30,32988.8,定期报告
2009-10-12,32988.8,限售股份上市
2009-12-31,32988.8,定期报告
2010-01-04,32988.8,限售股份上市
2010-01-12,32988.8,限售股份上市
2010-05-14,42885.44,转增
2010-06-30,42885.44,定期报告
2010-10-20,42885.44,限售股份上市
2010-12-31,42885.44,定期报告
2011-05-23,60039.616,转增
2011-06-30,60039.616,定期报告
2011-12-31,60039.616,定期报告
2012-06-30,60039.616,定期报告
2012-12-31,60039.616,定期报告
2013-03-19,70581.616,增发新股上市
2013-06-30,70581.616,定期报告
2013-12-31,70581.616,定期报告
2014-03-19,70581.616,限售股份上市
2014-06-30,70581.616,定期报告
2014-12-31,70581.616,定期报告
2015-04-08,70581.616,限售股份上市
2015-06-29,70581.616,限售股份上市
2015-06-30,70581.616,定期报告
2015-12-31,70581.616,定期报告
2016-03-21,70581.616,限售股份上市
2016-06-30,70581.616,定期报告
2016-12-31,70581.616,定期报告
2017-06-30,70581.616,定期报告
2017-12-31,70581.616,定期报告
2018-06-30,70581.616,定期报告
2018-12-31,70581.616,定期报告
2019-06-30,70581.616,定期报告
2019-12-31,70581.616,定期报告
2020-06-30,70581.616,定期报告
2020-12-31,70581.616,定期报告
2021-06-30,70581.616,定期报告
2021-12-31,70581.616,定期报告
2022-06-30,70581.616,定期报告
2022-12-31,70581.616,定期报告
2023-06-30,70581.616,定期报告
2023-12-31,70581.616,定期报告
2024-06-30,70581.616,定期报告
2024-12-31,70581.616,定期报告
2025-06-30,70581.616,定期报告
