change_date,total_shares_10k,reason
2010-07-13,12300.0,A股上市
2010-10-13,12300.0,配售股份上市
2010-12-31,12300.0,定期报告
2011-06-30,12300.0,定期报告
2011-07-13,12300.0,限售股份上市
2011-08-16,25215.0,转增
2011-12-31,25215.0,定期报告
2012-06-30,25215.0,定期报告
2012-12-31,25215.0,定期报告
2013-06-30,25215.0,定期报告
2013-07-15,25215.0,限售股份上市
2013-12-31,25215.0,定期报告
2014-06-30,25215.0,定期报告
2014-12-31,25215.0,定期报告
2015-01-23,36938.3298,增发新股上市
2015-06-30,36938.3298,定期报告
2015-07-13,73876.6596,转增
2015-12-31,73876.6596,定期报告
2016-01-28,73876.6596,限售股份上市
2016-05-26,74793.6596,"增发新股上市,股权激励"
2016-06-30,74793.6596,定期报告
2016-08-22,81095.1633,增发新股上市
2016-10-18,81095.1633,限售股份上市
2016-12-31,81095.1633,定期报告
2017-04-14,83253.1286,增发新股上市
2017-06-29,82978.0286,股份回购
2017-06-30,82978.0286,定期报告
2017-09-06,82978.0286,限售股份上市
2017-11-23,82978.0286,限售股份上市
2017-12-31,82978.0286,定期报告
2018-01-24,82978.0286,限售股份上市
2018-06-19,82978.0286,限售股份上市
2018-06-29,82978.0286,限售股份上市
2018-06-30,82978.0286,定期报告
2018-07-16,141062.6486,转增
2018-11-21,140883.907,股份回购
2018-12-20,140883.907,限售股份上市
2018-12-31,140883.907,定期报告
2019-06-30,140883.907,定期报告
2019-11-21,138939.0631,股份回购
2019-12-20,138939.0631,限售股份上市
2019-12-31,138939.0631,定期报告
2020-06-30,138939.0631,定期报告
2020-12-30,240258.0631,转增
2020-12-31,240258.0631,定期报告
2021-05-18,239166.8331,股份回购
2021-06-30,239166.8331,定期报告
2021-12-31,239166.8331,定期报告
2022-06-30,239166.8331,定期报告
2022-12-31,239166.8331,定期报告
2023-06-30,239166.8331,定期报告
2023-12-31,239166.8331,定期报告
2024-06-25,239166.8331,其他
2024-06-30,239166.8331,定期报告
2024-07-11,239166.8331,其他
2024-12-31,239166.8331,定期报告
2025-06-18,239166.8331,其他
2025-06-27,237660.7531,股份回购
2025-06-30,237660.7531,定期报告
