change_date,total_shares_10k,reason
2016-08-30,10000.0,A股上市
2016-12-31,10000.0,定期报告
2017-05-31,16000.0,转增
2017-06-30,16000.0,定期报告
2017-07-17,17421.3924,增发新股上市
2017-08-30,17421.3924,限售股份上市
2017-09-08,19302.7584,增发新股上市
2017-12-31,19302.7584,定期报告
2018-03-09,19302.7584,限售股份上市
2018-06-30,19302.7584,定期报告
2018-07-23,19302.7584,限售股份上市
2018-09-10,19302.7584,限售股份上市
2018-12-31,19302.7584,定期报告
2019-06-30,19302.7584,定期报告
2019-07-17,19302.7584,限售股份上市
2019-08-30,19302.7584,限售股份上市
2019-12-31,19302.7584,定期报告
2020-06-30,19302.7584,定期报告
2020-07-17,19302.7584,限售股份上市
2020-12-31,19302.7584,定期报告
2021-06-30,19302.7584,定期报告
2021-12-31,19302.7584,定期报告
2022-06-30,19302.7584,定期报告
2022-12-31,19302.7584,定期报告
2023-06-30,19302.7584,定期报告
2023-11-17,19894.8247,增发新股上市
2023-11-20,20012.1747,"增发新股上市,股权激励"
2023-12-31,20012.1747,定期报告
2024-05-21,20012.1747,限售股份上市
2024-06-30,20012.1747,定期报告
2024-09-05,20041.5122,"增发新股上市,股权激励"
2024-11-08,20041.5122,激励股份解禁
2024-12-31,20041.5122,定期报告
2025-01-10,20039.5122,股份回购
2025-06-30,20039.5122,定期报告
2025-07-10,20831.0179,增发新股上市
2025-08-25,20780.6521,股份回购
2026-01-12,20780.6521,限售股份上市
