change_date,total_shares_10k,reason
2015-12-31,8000.0,"A股上市,定期报告"
2016-05-17,20000.0,转增
2016-06-30,20000.0,定期报告
2016-12-31,20000.0,定期报告
2017-01-03,20000.0,限售股份上市
2017-06-08,50000.0,转增
2017-06-30,50000.0,定期报告
2017-12-31,50000.0,定期报告
2018-06-30,50000.0,定期报告
2018-12-31,50000.0,定期报告
2019-01-02,50000.0,限售股份上市
2019-06-30,50000.0,定期报告
2019-12-31,50000.0,定期报告
2020-06-30,50000.0,定期报告
2020-12-18,64285.7142,增发新股上市
2020-12-31,64285.7142,定期报告
2021-06-24,64285.7142,限售股份上市
2021-06-30,64285.7142,定期报告
2021-12-31,64285.7142,定期报告
2022-02-25,64285.7142,其他
2022-06-30,64285.7142,定期报告
2022-12-31,64285.7142,定期报告
2023-06-30,64285.7142,定期报告
2023-12-31,64285.7142,定期报告
2024-06-30,64285.7142,定期报告
2024-12-13,65664.212,"增发新股上市,股权激励"
2024-12-31,65664.212,定期报告
2025-06-30,65664.212,定期报告
