change_date,total_shares_10k,reason
2017-09-13,36866.67,A股上市
2017-12-31,36866.67,定期报告
2018-06-30,36866.67,定期报告
2018-09-13,36866.67,限售股份上市
2018-12-31,36866.67,定期报告
2019-06-30,36866.67,定期报告
2019-12-31,36866.67,定期报告
2020-06-30,36866.67,定期报告
2020-09-14,36866.67,限售股份上市
2020-12-31,36866.67,定期报告
2021-06-30,36866.67,定期报告
2021-12-31,36866.67,定期报告
2022-04-06,36241.28,股份回购
2022-06-30,36241.28,定期报告
2022-12-31,36241.28,定期报告
2023-06-30,36241.28,定期报告
2023-12-31,36241.28,定期报告
2024-06-30,36241.28,定期报告
2024-12-31,36241.28,定期报告
2025-06-30,36241.28,定期报告
