change_date,total_shares_10k,reason
2010-12-10,14725.0,A股上市
2010-12-31,14725.0,定期报告
2011-03-10,14725.0,配售股份上市
2011-05-09,20615.0,转增
2011-06-30,20615.0,定期报告
2011-12-12,20615.0,限售股份上市
2011-12-31,20615.0,定期报告
2012-06-30,20615.0,定期报告
2012-08-06,20615.0,承诺限售
2012-12-31,20615.0,定期报告
2013-03-04,20615.0,限售股份上市
2013-04-17,41230.0,转增
2013-05-28,42050.0,"增发新股上市,股权激励"
2013-06-30,42050.0,定期报告
2013-12-10,42050.0,限售股份上市
2013-12-31,42050.0,定期报告
2014-05-28,42050.0,激励股份解禁
2014-06-10,42044.0,股份回购
2014-06-30,42044.0,定期报告
2014-12-31,42044.0,定期报告
2015-03-31,42046.5637,可转债转股
2015-05-28,42046.5637,激励股份解禁
2015-06-16,49468.5819,可转债转股
2015-06-30,49468.5819,定期报告
2015-12-31,49468.5819,定期报告
2016-05-31,49468.5819,激励股份解禁
2016-06-30,49468.5819,定期报告
2016-12-31,49468.5819,定期报告
2017-06-30,49468.5819,定期报告
2017-12-31,49468.5819,定期报告
2018-06-30,49468.5819,定期报告
2018-12-31,49468.5819,定期报告
2019-06-30,49468.5819,定期报告
2019-12-31,49468.5819,定期报告
2020-06-30,49468.5819,定期报告
2020-12-31,49468.5819,定期报告
2021-06-30,49468.5819,定期报告
2021-12-31,49468.5819,定期报告
2022-06-30,49468.5819,定期报告
2022-12-31,49468.5819,定期报告
2023-06-30,49468.5819,定期报告
2023-12-31,49468.5819,定期报告
2024-06-30,49468.5819,定期报告
2024-12-11,56006.105,增发新股上市
2024-12-31,56006.105,定期报告
2025-06-30,56006.105,定期报告
