change_date,total_shares_10k,reason
2010-07-28,6840.0,A股上市
2010-10-28,6840.0,配售股份上市
2010-12-31,6840.0,定期报告
2011-05-18,8892.0,转增
2011-06-30,8892.0,定期报告
2011-07-28,8892.0,限售股份上市
2011-12-31,8892.0,定期报告
2012-05-29,17784.0,转增
2012-06-30,17784.0,定期报告
2012-12-31,17784.0,定期报告
2013-06-19,18402.0,"增发新股上市,股权激励"
2013-06-30,18402.0,定期报告
2013-08-02,18402.0,限售股份上市
2013-12-31,18402.0,定期报告
2014-05-07,18402.0,激励股份解禁
2014-06-30,18402.0,定期报告
2014-09-25,18402.0,承诺限售
2014-12-02,18349.02,股份回购
2014-12-31,18349.02,定期报告
2015-05-07,29358.432,转增
2015-06-16,29358.432,激励股份解禁
2015-06-30,29358.432,定期报告
2015-10-23,70460.2368,"送股,转增"
2015-11-18,89429.8985,增发新股上市
2015-12-04,107076.9571,增发新股上市
2015-12-31,107076.9571,定期报告
2016-04-13,107476.4571,"增发新股上市,股权激励"
2016-06-06,107476.4571,激励股份解禁
2016-06-30,107476.4571,定期报告
2016-11-18,107476.4571,限售股份上市
2016-12-31,107476.4571,定期报告
2017-05-12,110658.7571,"增发新股上市,股权激励"
2017-05-19,110658.7571,激励股份解禁
2017-06-30,110658.7571,定期报告
2017-08-03,110611.9491,股份回购
2017-11-24,110611.9491,限售股份上市
2017-12-22,114983.4086,增发新股上市
2017-12-31,114983.4086,定期报告
2018-01-05,117521.8701,增发新股上市
2018-03-12,117492.8701,股份回购
2018-05-09,118110.5701,"增发新股上市,股权激励"
2018-05-10,118110.5701,激励股份解禁
2018-05-15,118110.5701,激励股份解禁
2018-05-25,176856.996,转增
2018-06-30,176856.996,定期报告
2018-11-08,176475.1629,股份回购
2018-11-20,176475.1629,限售股份上市
2018-12-04,176475.1629,限售股份上市
2018-12-18,176449.3329,股份回购
2018-12-25,176449.3329,限售股份上市
2018-12-31,176449.3329,定期报告
2019-01-07,176449.3329,限售股份上市
2019-05-09,176449.3329,激励股份解禁
2019-05-16,176449.3329,激励股份解禁
2019-06-24,176386.2482,股份回购
2019-06-30,176386.2482,定期报告
2019-12-31,176386.2482,定期报告
2020-06-30,176386.2482,定期报告
2020-12-23,176386.2485,"限售股份上市,期权行权"
2020-12-31,176386.2485,定期报告
2021-06-30,176386.2485,定期报告
2021-07-07,173778.2275,股份回购
2021-12-31,173778.2275,定期报告
2022-06-30,173778.2275,定期报告
2022-12-31,173778.2275,定期报告
2023-06-30,173778.2275,定期报告
2023-10-26,173778.2275,其他
2023-12-31,173778.2275,定期报告
2024-06-30,173778.2275,定期报告
2024-10-28,173778.2275,其他
2024-12-31,173778.2275,定期报告
2025-06-30,173778.2275,定期报告
