change_date,total_shares_10k,reason
2010-12-31,8083.0,定期报告
2011-01-13,10783.0,A股上市
2011-04-13,10783.0,配售股份上市
2011-06-30,10783.0,定期报告
2011-12-31,10783.0,定期报告
2012-01-16,10783.0,限售股份上市
2012-06-30,10783.0,定期报告
2012-12-31,10783.0,定期报告
2013-06-30,10783.0,定期报告
2013-12-31,10783.0,定期报告
2014-01-14,10783.0,限售股份上市
2014-05-29,16174.5,转增
2014-06-30,16174.5,定期报告
2014-12-31,16174.5,定期报告
2015-06-30,16174.5,定期报告
2015-12-31,16174.5,定期报告
2016-06-30,16174.5,定期报告
2016-12-30,16811.829,增发新股上市
2016-12-31,16811.829,定期报告
2017-01-25,17279.1187,增发新股上市
2017-06-30,17279.1187,定期报告
2017-12-31,17279.1187,定期报告
2018-01-02,17279.1187,限售股份上市
2018-06-30,17279.1187,定期报告
2018-08-28,17276.5551,股份回购
2018-09-17,17276.5551,限售股份上市
2018-12-31,17276.5551,定期报告
2019-06-30,17276.5551,定期报告
2019-12-31,17276.5551,定期报告
2020-06-30,17276.5551,定期报告
2020-12-31,17276.5551,定期报告
2021-05-19,19869.6906,增发新股上市
2021-06-30,19869.6906,定期报告
2021-12-31,19869.6906,定期报告
2022-06-30,19869.6906,定期报告
2022-12-31,19869.6906,定期报告
2023-06-30,19869.6906,定期报告
2023-12-31,19869.6906,定期报告
2024-05-20,19869.6906,限售股份上市
2024-06-30,19869.6906,定期报告
2024-12-31,19869.6906,定期报告
2025-06-30,19869.6906,定期报告
