change_date,total_shares_10k,reason
2014-12-03,13600.0,A股上市
2014-12-31,13600.0,定期报告
2015-05-12,20400.0,转增
2015-06-30,20400.0,定期报告
2015-09-15,30600.0,转增
2015-12-04,30600.0,"限售股份上市,承诺限售"
2015-12-31,30600.0,定期报告
2016-06-30,30600.0,定期报告
2016-08-26,35011.3207,增发新股上市
2016-11-08,35011.3207,限售股份上市
2016-12-05,35011.3207,限售股份上市
2016-12-31,35011.3207,定期报告
2017-06-30,35011.3207,定期报告
2017-08-30,35011.3207,限售股份上市
2017-12-04,35011.3207,限售股份上市
2017-12-31,35011.3207,定期报告
2018-06-30,35011.3207,定期报告
2018-09-26,35011.3207,限售股份上市
2018-12-31,35011.3207,定期报告
2019-06-30,35011.3207,定期报告
2019-12-31,35011.3207,定期报告
2020-01-15,35011.3207,"股权激励,股份回购"
2020-06-30,35011.3207,定期报告
2020-09-09,38585.8813,增发新股上市
2020-12-31,38585.8813,定期报告
2021-01-20,38519.8321,股份回购
2021-03-09,38519.8321,限售股份上市
2021-04-14,38421.4913,股份回购
2021-06-30,38421.4913,定期报告
2021-12-31,38421.4913,定期报告
2022-06-30,38421.4913,定期报告
2022-12-31,38421.4913,定期报告
2023-06-30,38421.4913,定期报告
2023-11-03,38421.4913,其他
2023-12-31,38421.4913,定期报告
2024-06-30,38421.4913,定期报告
2024-12-31,38421.4913,定期报告
2025-06-30,38421.4913,定期报告
