change_date,total_shares_10k,reason
2014-12-31,9000.0,定期报告
2015-01-23,12000.0,A股上市
2015-06-30,12000.0,定期报告
2015-09-30,24000.0,转增
2015-12-31,24000.0,定期报告
2016-01-27,24000.0,限售股份上市
2016-06-30,24000.0,定期报告
2016-12-31,24000.0,定期报告
2017-06-23,43200.0,转增
2017-06-30,43200.0,定期报告
2017-12-31,43200.0,定期报告
2018-01-29,43200.0,限售股份上市
2018-06-30,43200.0,定期报告
2018-12-31,43200.0,定期报告
2019-06-30,43200.0,定期报告
2019-09-10,43200.0,"股权激励,股份回购"
2019-12-31,43200.0,定期报告
2020-01-23,43200.0,限售股份上市
2020-06-30,43200.0,"股权激励,股份回购,定期报告"
2020-12-30,43560.0,"增发新股上市,股权激励"
2020-12-31,43560.0,定期报告
2021-06-30,43560.0,定期报告
2021-09-03,46962.6084,增发新股上市
2021-09-24,46962.6084,激励股份解禁
2021-12-31,46914.5684,定期报告
2022-01-10,46914.5684,股份回购
2022-06-30,46914.5684,定期报告
2022-07-18,46914.5684,激励股份解禁
2022-09-26,46914.5684,激励股份解禁
2022-10-21,46893.0484,股份回购
2022-12-19,46877.2684,股份回购
2022-12-31,46877.2684,定期报告
2023-01-19,46877.2684,激励股份解禁
2023-04-10,46860.7084,股份回购
2023-06-30,46860.7084,定期报告
2023-07-19,46860.7084,激励股份解禁
2023-09-26,46860.7084,激励股份解禁
2023-10-31,46860.7084,其他
2023-11-02,46860.7084,其他
2023-11-14,46857.1084,股份回购
2023-12-31,46857.1084,定期报告
2024-01-26,46857.1084,激励股份解禁
2024-03-28,46856.2084,股份回购
2024-06-30,46856.2084,定期报告
2024-07-16,46856.2084,激励股份解禁
2024-09-05,46856.2084,限售股份上市
2024-12-31,46856.2084,定期报告
2025-01-16,46856.2084,激励股份解禁
2025-04-23,46856.2084,其他
2025-06-30,46856.2084,定期报告
