change_date,total_shares_10k,reason
2020-09-03,50000.0,A股上市
2020-12-31,50000.0,定期报告
2021-06-30,50000.0,定期报告
2021-09-09,50000.0,限售股份上市
2021-12-31,50000.0,定期报告
2022-05-10,60000.0,送股
2022-06-30,60000.4592,"定期报告,可转债转股"
2022-09-30,60000.5281,可转债转股
2022-12-31,60000.5625,"定期报告,可转债转股"
2023-03-31,60000.5625,可转债转股
2023-05-19,60000.597,可转债转股
2023-06-19,60961.3659,"增发新股上市,股权激励,可转债转股"
2023-06-27,61061.6259,"增发新股上市,股权激励"
2023-06-30,61061.6259,"可转债转股,定期报告"
2023-09-19,61061.6348,"可转债转股,限售股份上市"
2023-09-30,61061.6527,可转债转股
2023-11-16,61061.6705,可转债转股
2023-12-31,61061.6705,定期报告
2024-01-17,61095.6705,"增发新股上市,股权激励"
2024-03-31,61095.6705,可转债转股
2024-06-30,61095.6795,"可转债转股,定期报告"
2024-09-30,61095.6885,可转债转股
2024-12-31,61095.9412,"可转债转股,定期报告"
2025-03-31,61095.9502,可转债转股
2025-06-30,61095.9502,定期报告
2025-08-26,61096.7179,可转债转股
2025-09-30,61096.781,可转债转股
2025-12-31,61096.799,可转债转股
2026-01-19,60001.779,股份回购
