change_date,total_shares_10k,reason
2017-05-05,8000.0,A股上市
2017-06-30,8000.0,定期报告
2017-12-31,8000.0,定期报告
2018-05-07,8000.0,限售股份上市
2018-05-29,10400.0,转增
2018-06-30,10400.0,定期报告
2018-12-31,10400.0,定期报告
2019-05-20,14560.0,转增
2019-06-30,14560.0,定期报告
2019-12-31,14560.0,定期报告
2020-05-06,14560.0,限售股份上市
2020-06-16,20384.0,转增
2020-06-30,20384.0,定期报告
2020-12-31,20384.0,定期报告
2021-06-22,26499.2,转增
2021-06-30,26499.2,定期报告
2021-10-20,33912.1541,增发新股上市
2021-12-31,33912.1541,定期报告
2022-06-10,44085.8003,转增
2022-06-30,44085.8003,定期报告
2022-12-31,44085.8003,定期报告
2023-04-21,44085.8003,限售股份上市
2023-06-30,44085.8003,定期报告
2023-12-31,44085.8003,定期报告
2024-06-30,44085.8003,定期报告
2024-12-31,44085.8003,定期报告
2025-06-30,44085.8003,定期报告
2025-10-29,44085.8003,其他
2025-12-31,44085.8003,定期报告
