change_date,total_shares_10k,reason
1994-12-31,2400.0,定期报告
1995-12-31,2640.0,定期报告
1996-12-31,3168.0,定期报告
1997-01-10,5068.0,A股上市
1997-06-26,6841.8,"送股,转增"
1997-06-30,6841.8,定期报告
1997-12-31,6841.8,定期报告
1998-04-10,11631.0598,"送股,转增"
1998-06-30,11631.0598,定期报告
1998-08-28,12844.3576,配股上市
1998-12-31,12844.3576,定期报告
1999-06-30,12844.3576,定期报告
1999-12-31,12844.3576,定期报告
2000-01-10,12844.3576,职工股上市
2000-06-14,15413.2291,"送股,转增"
2000-06-30,15413.2291,定期报告
2000-10-10,18485.7643,配股上市
2000-12-31,18485.7643,定期报告
2001-06-30,18485.7643,定期报告
2001-12-31,18485.7643,定期报告
2002-06-30,18485.7643,定期报告
2002-12-31,18485.7643,定期报告
2003-04-22,21536.8579,配股上市
2003-06-30,21536.8579,定期报告
2003-09-16,38766.3442,"送股,转增"
2003-12-31,38766.3442,定期报告
2004-06-30,38766.3442,定期报告
2004-12-31,38766.3442,定期报告
2005-06-30,38766.3442,定期报告
2005-09-12,38766.3442,股权分置
2005-12-31,38766.3442,定期报告
2006-06-30,38766.3442,定期报告
2006-09-20,38766.3442,股权分置受限股份上市
2006-12-31,38766.3442,定期报告
2007-06-30,38766.3442,定期报告
2007-12-31,38766.3442,定期报告
2008-06-30,45206.3442,定期报告
2008-07-10,45206.3442,增发新股上市
2008-12-31,45206.3442,定期报告
2009-02-16,45206.3442,激励股份解禁
2009-04-07,45206.3442,激励股份解禁
2009-06-03,76850.7851,转增
2009-06-30,76850.7851,定期报告
2009-12-31,76850.7851,定期报告
2010-04-29,76850.7851,股权分置受限股份上市
2010-06-30,76850.7851,定期报告
2010-12-31,76850.7851,定期报告
2011-06-30,76850.7851,定期报告
2011-07-12,76850.7851,限售股份上市
2011-12-31,76850.7851,定期报告
2012-05-10,138331.4131,"送股,转增"
2012-06-30,138331.4131,定期报告
2012-12-31,138331.4131,定期报告
2013-01-24,169696.4131,增发新股上市
2013-06-30,169696.4131,定期报告
2013-12-31,169696.4131,定期报告
2014-01-24,169696.4131,限售股份上市
2014-06-30,169696.4131,定期报告
2014-12-31,169696.4131,定期报告
2015-06-30,169696.4131,定期报告
2015-12-31,169696.4131,定期报告
2016-01-25,169696.4131,限售股份上市
2016-06-30,169696.4131,定期报告
2016-12-31,169696.4131,定期报告
2017-06-30,169696.4131,定期报告
2017-12-31,169696.4131,定期报告
2018-06-30,169696.4131,定期报告
2018-12-31,169696.4131,定期报告
2019-06-30,169696.4131,定期报告
2019-12-31,169696.4131,定期报告
2020-06-30,169696.4131,定期报告
2020-12-31,169696.4131,定期报告
2021-06-30,169696.4131,定期报告
2021-12-31,169696.4131,定期报告
2022-06-30,169696.4131,定期报告
2022-12-31,169696.4131,定期报告
2023-06-30,169696.4131,定期报告
2023-12-31,169696.4131,定期报告
2024-06-30,169696.4131,定期报告
2024-12-31,169696.4131,定期报告
2025-06-30,169696.4131,定期报告
2025-09-30,198496.1198,增发新股上市
