change_date,total_shares_10k,reason
2015-06-30,12000.0,"A股上市,定期报告"
2015-12-31,12000.0,定期报告
2016-06-30,12000.0,"限售股份上市,定期报告"
2016-12-31,12000.0,定期报告
2017-06-30,12000.0,定期报告
2017-12-31,12000.0,定期报告
2018-03-30,14400.0,增发新股上市
2018-06-20,20160.0,转增
2018-06-30,20160.0,定期报告
2018-07-02,20160.0,限售股份上市
2018-12-31,20160.0,定期报告
2019-04-01,20160.0,限售股份上市
2019-06-13,28224.0,转增
2019-06-30,28224.0,定期报告
2019-12-31,28224.0,定期报告
2020-06-30,28224.0,定期报告
2020-12-31,28224.0,定期报告
2021-06-30,28224.0,定期报告
2021-12-31,28224.0,定期报告
2022-05-30,39513.6,转增
2022-06-30,39513.6,定期报告
2022-08-03,51013.3604,增发新股上市
2022-12-31,51013.3604,定期报告
2023-06-16,71418.7046,转增
2023-06-30,71418.7046,定期报告
2023-12-31,71418.7046,定期报告
2024-06-30,71418.7046,定期报告
2024-07-30,71418.7046,其他
2024-08-16,71418.7046,其他
2024-12-31,71418.7046,定期报告
2025-06-30,71418.7046,定期报告
2025-08-05,71418.7046,限售股份上市
2026-03-24,70582.2193,股份回购
