change_date,total_shares_10k,reason
1995-12-31,10078.62,定期报告
1996-12-31,10078.62,定期报告
1997-05-20,14078.62,A股上市
1997-06-30,14078.62,定期报告
1997-09-30,21117.93,"送股,转增"
1997-12-31,21117.93,定期报告
1998-06-30,21117.93,定期报告
1998-12-31,21117.93,定期报告
1999-06-30,21117.93,定期报告
1999-09-10,24133.74,配股上市
1999-12-31,24133.74,定期报告
2000-05-15,24133.74,职工股上市
2000-06-30,24133.74,定期报告
2000-09-20,31373.8619,"送股,转增"
2000-12-31,31373.8619,定期报告
2001-06-30,31373.8619,定期报告
2001-12-31,31373.8619,定期报告
2002-06-30,31373.8619,定期报告
2002-12-16,35915.7356,增发新股上市
2002-12-31,35915.7356,定期报告
2003-06-30,35915.7356,定期报告
2003-12-31,35915.7356,定期报告
2004-06-30,35915.7356,定期报告
2004-12-31,35915.7356,定期报告
2005-06-30,35915.7356,定期报告
2005-12-31,35915.7356,定期报告
2006-05-09,35915.7356,股权分置
2006-06-30,35915.7356,定期报告
2006-12-31,35915.7356,定期报告
2007-06-30,35915.7356,定期报告
2007-12-31,35915.7356,定期报告
2008-01-16,35915.7356,股权分置受限股份上市
2008-06-30,35915.7356,定期报告
2008-12-31,35915.7356,定期报告
2009-06-30,35915.7356,定期报告
2009-07-14,35915.7356,股权分置受限股份上市
2009-12-31,35915.7356,定期报告
2010-06-30,35915.7356,定期报告
2010-12-31,35915.7356,定期报告
2011-06-30,35915.7356,定期报告
2011-12-31,35915.7356,定期报告
2012-06-30,35915.7356,定期报告
2012-12-31,35915.7356,定期报告
2013-06-30,35915.7356,定期报告
2013-12-31,35915.7356,定期报告
2014-06-30,35915.7356,定期报告
2014-12-31,35915.7356,定期报告
2015-01-30,226478.349,增发新股上市
2015-06-30,226478.349,定期报告
2015-12-31,226478.349,定期报告
2016-02-01,226478.349,限售股份上市
2016-06-08,226478.349,股权分置受限股份上市
2016-06-24,452956.698,转增
2016-06-30,452956.698,定期报告
2016-12-31,452956.698,定期报告
2017-06-30,452956.698,定期报告
2017-12-31,452956.698,定期报告
2018-04-18,452956.698,限售股份上市
2018-06-30,452956.698,定期报告
2018-12-31,452956.698,定期报告
2019-06-30,452956.698,定期报告
2019-12-31,452956.698,定期报告
2020-06-30,452956.698,定期报告
2020-12-31,452956.698,定期报告
2021-02-09,452956.698,限售股份上市
2021-06-30,452956.698,定期报告
2021-12-31,452956.698,定期报告
2022-06-30,452956.698,定期报告
2022-12-31,452956.698,定期报告
2023-06-30,452956.698,定期报告
2023-12-31,452956.698,定期报告
2024-01-16,452956.698,限售股份上市
2024-06-30,452956.698,定期报告
2024-12-31,452956.698,定期报告
2025-06-30,452956.698,定期报告
