rule,full_annual,full_vol,full_sharpe,full_max_dd,full_total_return,full_annual_delta,full_sharpe_delta,full_max_dd_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_total_return,last_10y_annual_delta,last_10y_sharpe_delta,last_10y_max_dd_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_total_return,last_5y_annual_delta,last_5y_sharpe_delta,last_5y_max_dd_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_total_return,last_3y_annual_delta,last_3y_sharpe_delta,last_3y_max_dd_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_total_return,last_1y_annual_delta,last_1y_sharpe_delta,last_1y_max_dd_delta,source,column,direction,ma,days,scale,trigger_days,score_3_5_10,robust_pass
baseline,24.54757817954296,15.647478422553485,1.5436952757564726,-12.201612441149678,85.6022303809496,0.0,0.0,0.0,24.54757817954296,15.647478422553485,1.5436952757564726,-12.201612441149678,85.6022303809496,0.0,0.0,0.0,24.54757817954296,15.647478422553485,1.5436952757564726,-12.201612441149678,85.6022303809496,0.0,0.0,0.0,24.54757817954296,15.647478422553485,1.5436952757564726,-12.201612441149678,85.6022303809496,0.0,0.0,0.0,17.836069258459,15.385007484030691,1.1964323664337002,-12.201612441149756,17.822832661762654,0.0,0.0,0.0,,,,,,,,,False
ths_amount_below_ma20_days5:scale0.00,7.556396245269292,13.781052901237537,0.6209930203938613,-22.331034170220576,22.779866068989783,-16.99118193427367,-0.9227022553626113,-10.129421729070899,7.556396245269292,13.781052901237537,0.6209930203938613,-22.331034170220576,22.779866068989783,-16.99118193427367,-0.9227022553626113,-10.129421729070899,7.556396245269292,13.781052901237537,0.6209930203938613,-22.331034170220576,22.779866068989783,-16.99118193427367,-0.9227022553626113,-10.129421729070899,7.556396245269292,13.781052901237537,0.6209930203938613,-22.331034170220576,22.779866068989783,-16.99118193427367,-0.9227022553626113,-10.129421729070899,19.129584449992265,13.515729042019467,1.42662748634169,-12.11589255693487,19.115312450643394,1.2935151915332668,0.2301951199079897,0.08571988421488541,ths_883418,amount,below,20.0,5.0,0.0,157.0,-2.8041500399132544,False
ths_amount_below_ma20_days5:scale0.25,11.632461132648618,13.863955210633188,0.8983272944717684,-18.55888638693094,36.344527579286655,-12.915117046894341,-0.6453679812847042,-6.357273945781262,11.632461132648618,13.863955210633188,0.8983272944717684,-18.55888638693094,36.344527579286655,-12.915117046894341,-0.6453679812847042,-6.357273945781262,11.632461132648618,13.863955210633188,0.8983272944717684,-18.55888638693094,36.344527579286655,-12.915117046894341,-0.6453679812847042,-6.357273945781262,11.632461132648618,13.863955210633188,0.8983272944717684,-18.55888638693094,36.344527579286655,-12.915117046894341,-0.6453679812847042,-6.357273945781262,18.86455593851648,13.603365922431188,1.4011156558779276,-11.10879983194868,18.850496868821786,1.0284866800574832,0.20468328944422742,1.0928126092010757,ths_883418,amount,below,20.0,5.0,0.25,157.0,-2.051310616998201,False
ths_amount_below_ma20_days5:scale0.50,15.822180413459552,14.217015027954504,1.150218949263739,-14.922000173291128,51.257588236985164,-8.725397766083407,-0.3934763264927337,-2.7203877321414502,15.822180413459552,14.217015027954504,1.150218949263739,-14.922000173291128,51.257588236985164,-8.725397766083407,-0.3934763264927337,-2.7203877321414502,15.822180413459552,14.217015027954504,1.150218949263739,-14.922000173291128,51.257588236985164,-8.725397766083407,-0.3934763264927337,-2.7203877321414502,15.822180413459552,14.217015027954504,1.150218949263739,-14.922000173291128,51.257588236985164,-8.725397766083407,-0.3934763264927337,-2.7203877321414502,18.56060186639583,13.958647159021432,1.349706979820316,-10.092861588246604,18.546786502402867,0.7245326079368333,0.15327461338661585,2.1087508529031513,ths_883418,amount,below,20.0,5.0,0.5,157.0,-1.3149830822796205,False
ths_amount_below_ma20_days5:scale0.75,20.12682351767092,14.821142614050231,1.3664850496999885,-11.344124572654401,67.63536656556914,-4.420754661872039,-0.17721022605648407,0.8574878684952765,20.12682351767092,14.821142614050231,1.3664850496999885,-11.344124572654401,67.63536656556914,-4.420754661872039,-0.17721022605648407,0.8574878684952765,20.12682351767092,14.821142614050231,1.3664850496999885,-11.344124572654401,67.63536656556914,-4.420754661872039,-0.17721022605648407,0.8574878684952765,20.12682351767092,14.821142614050231,1.3664850496999885,-11.344124572654401,67.63536656556914,-4.420754661872039,-0.17721022605648407,0.8574878684952765,18.21775206972347,14.562195105305998,1.2788246561112826,-9.84696642245394,18.20421095775613,0.3816828112644721,0.08239228967758239,2.3546460186958154,ths_883418,amount,below,20.0,5.0,0.75,157.0,-0.6038509106107729,False
ths_amount_above_ma20_days5:scale0.00,12.715999250875454,13.947885723950998,0.9660270861929372,-12.37574604917473,40.10584518660878,-11.831578928667506,-0.5776681895635354,-0.17413360802505196,12.715999250875454,13.947885723950998,0.9660270861929372,-12.37574604917473,40.10584518660878,-11.831578928667506,-0.5776681895635354,-0.17413360802505196,12.715999250875454,13.947885723950998,0.9660270861929372,-12.37574604917473,40.10584518660878,-11.831578928667506,-0.5776681895635354,-0.17413360802505196,12.715999250875454,13.947885723950998,0.9660270861929372,-12.37574604917473,40.10584518660878,-11.831578928667506,-0.5776681895635354,-0.17413360802505196,6.603932309478333,12.91565366681635,0.5839909481455525,-12.375746049174719,6.5992661937818164,-11.232136948980665,-0.6124414182881477,-0.17413360802496314,ths_883418,amount,above,20.0,5.0,0.0,141.0,-1.7639604873747368,False
ths_amount_above_ma20_days5:scale0.25,15.622350335439128,14.017892986533123,1.151617291468628,-12.331963616637854,50.5235301952873,-8.925227844103832,-0.39207798428784457,-0.1303511754881761,15.622350335439128,14.017892986533123,1.151617291468628,-12.331963616637854,50.5235301952873,-8.925227844103832,-0.39207798428784457,-0.1303511754881761,15.622350335439128,14.017892986533123,1.151617291468628,-12.331963616637854,50.5235301952873,-8.925227844103832,-0.39207798428784457,-0.1303511754881761,15.622350335439128,14.017892986533123,1.151617291468628,-12.331963616637854,50.5235301952873,-8.925227844103832,-0.39207798428784457,-0.1303511754881761,9.380114663479544,13.054553019493822,0.7858603824886404,-12.331963616637886,9.373402410183163,-8.455954594979454,-0.4105719839450598,-0.1303511754881299,ths_883418,amount,above,20.0,5.0,0.25,141.0,-1.2869470898570148,False
ths_amount_above_ma20_days5:scale0.50,18.563868775936253,14.336486026030885,1.3122557336812755,-12.288347005336897,61.563100154796956,-5.9837094036067064,-0.23143954207519712,-0.08673456418721948,18.563868775936253,14.336486026030885,1.3122557336812755,-12.288347005336897,61.563100154796956,-5.9837094036067064,-0.23143954207519712,-0.08673456418721948,18.563868775936253,14.336486026030885,1.3122557336812755,-12.288347005336897,61.563100154796956,-5.9837094036067064,-0.23143954207519712,-0.08673456418721948,18.563868775936253,14.336486026030885,1.3122557336812755,-12.288347005336897,61.563100154796956,-5.9837094036067064,-0.23143954207519712,-0.08673456418721948,12.178843909424764,13.537726911696089,0.9584535518168396,-12.288347005336886,12.170020117170566,-5.657225349034235,-0.23797881461686066,-0.08673456418713066,ths_883418,amount,above,20.0,5.0,0.5,141.0,-0.8313717045912377,False
ths_amount_above_ma20_days5:scale0.75,21.539367001567776,14.887837203453785,1.443036971497307,-12.24489651394861,73.24820898977154,-3.008211177975184,-0.10065830425916555,-0.04328407279893298,21.539367001567776,14.887837203453785,1.443036971497307,-12.24489651394861,73.24820898977154,-3.008211177975184,-0.10065830425916555,-0.04328407279893298,21.539367001567776,14.887837203453785,1.443036971497307,-12.24489651394861,73.24820898977154,-3.008211177975184,-0.10065830425916555,-0.04328407279893298,21.539367001567776,14.887837203453785,1.443036971497307,-12.24489651394861,73.24820898977154,-3.008211177975184,-0.10065830425916555,-0.04328407279893298,14.998173111590551,14.33045222390246,1.094962240158977,-12.244896513948667,14.987173951691224,-2.837896146868447,-0.1014701262747233,-0.043284072798911666,ths_883418,amount,above,20.0,5.0,0.75,141.0,-0.40225853536706474,False
ths_amount_below_ma20_days7:scale0.00,15.333248024188117,14.401408477236929,1.106621920991161,-18.64981834288818,49.46561176749857,-9.214330155354842,-0.4370733547653116,-6.448205901738504,15.333248024188117,14.401408477236929,1.106621920991161,-18.64981834288818,49.46561176749857,-9.214330155354842,-0.4370733547653116,-6.448205901738504,15.333248024188117,14.401408477236929,1.106621920991161,-18.64981834288818,49.46561176749857,-9.214330155354842,-0.4370733547653116,-6.448205901738504,15.333248024188117,14.401408477236929,1.106621920991161,-18.64981834288818,49.46561176749857,-9.214330155354842,-0.4370733547653116,-6.448205901738504,26.584733831872853,14.1836693720582,1.815372286991584,-10.544042164907097,26.564310220094534,8.748664573413855,0.6189399205578838,1.6575702762426587,ths_883418,amount,below,20.0,7.0,0.0,99.0,-1.4745740765320887,False
