source,column,direction,scale,tested,robust_cells,best_score,median_score,best_10y_ann,best_5y_ann,best_3y_ann,best_10y_dd,best_5y_dd,best_3y_dd
ths_883418,amount,below,0.75,143,37,0.06419280295945462,-0.03873934869646347,0.0,0.0,0.0,1.9352311076420872,1.9352311076420872,1.9352311076420872
ths_883418,amount,below,0.5,143,19,0.07939181024872077,-0.09520441656888945,0.0,0.0,0.0,2.2718741399881157,2.2718741399881157,2.2718741399881157
ths_883418,volume,below,0.75,143,6,0.09166003807137627,-0.10927585676411168,1.0296002571516887,1.0296002571516887,1.0296002571516887,2.2951472020093053,2.2951472020093053,2.2951472020093053
ths_883418,amount,below,0.25,143,5,0.06454411791970549,-0.1680415961169654,0.0,0.0,0.0,2.413221099907691,2.413221099907691,2.413221099907691
ths_883418,volume,above,0.0,143,4,0.1333619712241528,-0.13295655117085,1.1575604262231067,1.1575604262231067,1.1575604262231067,0.953546355100265,0.953546355100265,0.953546355100265
ths_883418,volume,below,0.25,143,3,0.22358130329617265,-0.371137505558353,3.0683196410175704,3.0683196410175704,3.0683196410175704,3.122947783308815,3.122947783308815,3.122947783308815
ths_883418,volume,below,0.5,143,3,0.1691871327932221,-0.22514235722414466,2.052383672037905,2.052383672037905,2.052383672037905,2.861519754738616,2.861519754738616,2.861519754738616
ths_883418,volume,above,0.25,143,3,0.11429880103400455,-0.09295999247195329,0.8937909038518903,0.8937909038518903,0.8937909038518903,0.9535463551002419,0.9535463551002419,0.9535463551002419
ths_883418,volume,above,0.5,143,2,0.08491734296977942,-0.05873194588892446,0.6128857959824892,0.6128857959824892,0.6128857959824892,0.8658697983566768,0.8658697983566768,0.8658697983566768
ths_883418,amount,below,0.0,143,2,0.007736404353629194,-0.25521677155639544,0.0,0.0,0.0,2.0920224472531714,2.0920224472531714,2.0920224472531714
ths_883418,volume,below,0.0,143,1,0.2838064944234796,-0.5175979786236666,4.077376700371474,4.077376700371474,4.077376700371474,2.7733831754601415,2.7733831754601415,2.7733831754601415
ths_883418,amount,above,0.0,143,0,0.13951506573881245,-0.4157880550180049,2.1332835390137,2.1332835390137,2.1332835390137,0.08555995413420625,0.08555995413420625,0.08555995413420625
ths_883418,amount,above,0.25,143,0,0.1093364453775288,-0.2838147790706501,1.605770197776593,1.605770197776593,1.605770197776593,0.26283167121537865,0.26283167121537865,0.26283167121537865
ths_883418,amount,above,0.5,143,0,0.07583451840063221,-0.17896886259387998,1.0743747375256767,1.0743747375256767,1.0743747375256767,0.17543964388850775,0.17543964388850775,0.17543964388850775
ths_883418,volume,above,0.75,143,0,0.04631564383118301,-0.0277557801657944,0.3149267650053318,0.3149267650053318,0.3149267650053318,0.5417784480219332,0.5417784480219332,0.5417784480219332
ths_883418,amount,above,0.75,143,0,0.04330703393191606,-0.0830391991253584,0.5391127541745995,0.5391127541745995,0.5391127541745995,0.08782907766921966,0.08782907766921966,0.08782907766921966
