family,direction,scale,tested,robust_cells,best_score,median_score,best_10y_ann,best_5y_ann,best_3y_ann,best_10y_dd,best_5y_dd,best_3y_dd
holding_count_after,low,0.75,4,0,-0.013668240742191383,-0.01843312778587275,-0.18176146242341318,0.0,0.0,-1.0658141036401503e-14,2.3092638912203256e-14,3.375077994860476e-14
daily_holding_count,low,0.75,4,0,-0.020101964731316792,-0.026603105141592157,-0.27250663001170494,0.0,0.0,-2.3092638912203256e-14,1.0658141036401503e-14,2.3092638912203256e-14
holding_count_after,low,0.5,4,0,-0.0274980239445039,-0.037053754222839304,-0.36365367108488655,0.0,0.0,2.3092638912203256e-14,4.440892098500626e-14,1.2434497875801753e-14
daily_holding_count,low,0.5,4,0,-0.04056187053785124,-0.053605369303666536,-0.5455373973206825,0.0,0.0,-1.0658141036401503e-14,3.375077994860476e-14,0.0
holding_count_after,low,0.25,4,0,-0.04148740744325762,-0.05585874911501007,-0.5456775336429871,0.0,0.0,-1.0658141036401503e-14,1.0658141036401503e-14,0.0
holding_count_after,low,0.0,4,0,-0.05563416743635274,-0.07484458035531451,-0.7278339669972951,0.0,0.0,-4.440892098500626e-14,0.0,0.0
daily_holding_count,low,0.25,4,0,-0.06137621407169952,-0.08100080635503853,-0.8190891313590178,0.0,0.0,-1.0658141036401503e-14,2.3092638912203256e-14,3.375077994860476e-14
daily_holding_count,low,0.0,4,0,-0.08254021293433084,-0.1087816680852246,-1.0931586794842083,0.0,0.0,-3.375077994860476e-14,1.0658141036401503e-14,1.2434497875801753e-14
turnover_one_side,high,0.75,4,0,-0.09540499301685514,-0.26331316911618474,-0.8442061019106291,-0.5156718039554846,-0.396197491519068,-2.3092638912203256e-14,-4.440892098500626e-14,-3.197442310920451e-14
blocked_exit,high,0.75,4,0,-0.0963221844231454,-0.21204086383402845,-0.39648481968574956,0.0,0.0,-1.0658141036401503e-14,0.0,0.0
blocked_total,high,0.75,4,0,-0.0963221844231454,-0.2217761933948576,-0.39648481968574956,0.0,0.0,1.0658141036401503e-14,0.0,0.0
blocked_entry,high,0.75,4,0,-0.10232674895024998,-0.228809237595067,-0.476341101596379,0.0,0.0,-3.375077994860476e-14,0.0,0.0
market_cap_min,low,0.75,3,0,-0.15131196824676346,-0.2313965118422069,-0.8452979791413924,-0.5596096721062196,-0.8969969831244633,-0.06767964693622552,5.684341886080802e-14,2.3092638912203256e-14
market_cap_max,low,0.75,3,0,-0.15742530672242416,-0.22698800307299208,-0.4531954378149017,-0.8548439955789533,-1.306205879244704,-2.3092638912203256e-14,3.375077994860476e-14,6.750155989720952e-14
market_cap_median,low,0.75,3,0,-0.1607433714144345,-0.23580850637453993,-0.5363298598313442,-0.8548439955789533,-1.306205879244704,-2.3092638912203256e-14,2.3092638912203256e-14,-1.0658141036401503e-14
market_cap_mean,low,0.75,3,0,-0.17115035799977696,-0.23577106971813563,-0.5524176770261171,-1.0326832516387654,-1.5836307437977268,-1.0658141036401503e-14,1.0658141036401503e-14,0.0
turnover_one_side,low,0.75,3,0,-0.1757901537050751,-0.2541515925997113,-0.5009506338779168,-0.3261393638860106,-0.3311301955926993,0.0,0.0,0.0
market_cap_min,high,0.75,3,0,-0.18890627311482194,-0.2966816410941431,-1.1618312555007115,-0.6324155876448607,-1.0135109648725447,-0.5580177105415149,-0.5580177105415132,-0.5580177105414794
turnover_one_side,high,0.5,4,0,-0.19191872533680054,-0.5307212052709531,-1.6850769441146163,-1.0317973252063268,-0.7921045789481163,-5.5067062021407764e-14,-3.197442310920451e-14,-1.0658141036401503e-14
blocked_exit,high,0.5,4,0,-0.19262900839940958,-0.4223463988728029,-0.7922976764952914,0.0,0.0,1.0658141036401503e-14,0.0,0.0
blocked_total,high,0.5,4,0,-0.19262900839940958,-0.4416976588466661,-0.7922976764952914,0.0,0.0,1.0658141036401503e-14,0.0,0.0
market_cap_max,high,0.75,3,0,-0.19960207417496395,-0.3056109561103631,-1.459847551445705,-0.25894116152646873,-0.41537131726501286,-0.1973982492683657,-0.19739824926835325,-0.19739824926833194
market_cap_median,high,0.75,3,0,-0.2000985842713352,-0.30406067842776585,-1.4796439732131397,-0.25894116152646873,-0.41537131726501286,-0.197398249268387,-0.19739824926835325,-0.19739824926833194
market_cap_mean,high,0.75,3,0,-0.20033346082130565,-0.3027107892688201,-1.4992074058432188,-0.25894116152646873,-0.41537131726501286,-0.19739824926839944,-0.19739824926835325,-0.19739824926833194
blocked_entry,high,0.5,4,0,-0.2046518298749344,-0.45569708941787157,-0.951661396412895,0.0,0.0,-1.0658141036401503e-14,0.0,0.0
blocked_exit,high,0.25,4,0,-0.2888999353247978,-0.6308481325579782,-1.1874390298050272,0.0,0.0,-2.3092638912203256e-14,0.0,0.0
blocked_total,high,0.25,4,0,-0.2888999353247978,-0.6596835540394705,-1.1874390298050272,0.0,0.0,0.0,0.0,0.0
turnover_one_side,high,0.25,4,0,-0.2894857960839331,-0.801793020231877,-2.5226095886546,-1.5483547482783422,-1.1877139899956433,-3.375077994860476e-14,1.0658141036401503e-14,0.0
blocked_entry,high,0.25,4,0,-0.3069502148325876,-0.6805757972462951,-1.4259621315930069,0.0,0.0,0.0,0.0,0.0
market_cap_min,low,0.5,3,0,-0.3069810739618995,-0.4765798046659503,-1.686928064833392,-1.118499275615246,-1.7903074539419102,-1.0360023887640128,0.0,-4.263256414560601e-14
blocked_entry,low,0.75,3,0,-0.30931753988374433,-0.45181942277284637,-2.2906090103745242,-4.242999354619755,-3.979036058292305,-0.49253832361505445,-0.4925383236150438,-0.4925383236150864
blocked_total,low,0.75,3,0,-0.30931753988374433,-0.45181942277284637,-2.2906090103745242,-4.242999354619755,-3.979036058292305,-0.49253832361505445,-0.4925383236150438,-0.4925383236150864
market_cap_max,low,0.5,3,0,-0.31553570106391193,-0.4670019626986577,-0.9058620094358538,-1.7058044867971098,-2.6015865420854,-2.3092638912203256e-14,2.3092638912203256e-14,1.2434497875801753e-14
market_cap_median,low,0.5,3,0,-0.3221934276417908,-0.4843055704355834,-1.0716533811217417,-1.7058044867971098,-2.6015865420854,-5.5067062021407764e-14,2.3092638912203256e-14,1.2434497875801753e-14
blocked_exit,low,0.75,3,0,-0.3423319960937401,-0.45181942277284637,-2.5016021221677924,-4.640180779399071,-4.47983436946382,-0.4925383236150882,-0.49253832361503314,-0.49253832361505445
market_cap_mean,low,0.5,3,0,-0.3506099500031163,-0.48420728921251555,-1.1036631751426107,-2.059331305257725,-3.1517460123327226,-0.4039692683005516,-0.40396926830046276,-0.4039692683005178
turnover_one_side,low,0.5,3,0,-0.3511738077804264,-0.5080586466226387,-1.001141826523554,-0.6526618754302014,-0.6630980300142539,-3.375077994860476e-14,4.440892098500626e-14,-3.197442310920451e-14
market_cap_min,high,0.5,3,0,-0.37897770800228353,-0.6257890954987583,-2.3163568778582935,-1.2635961601710406,-2.0218112350484994,-1.1129403182410176,-1.112940318241007,-1.1129403182410176
blocked_exit,high,0.0,4,0,-0.3851115378022203,-0.8374661525813111,-1.5819093414470196,0.0,0.0,1.0658141036401503e-14,0.0,0.0
blocked_total,high,0.0,4,0,-0.3851115378022203,-0.8756391353461087,-1.5819093414470196,0.0,0.0,0.0,0.0,0.0
turnover_one_side,high,0.0,4,0,-0.3880421392653988,-1.0797658795055547,-3.3568013512089045,-2.065322526238763,-1.5830185351581,-6.572520305780927e-14,0.0,3.375077994860476e-14
market_cap_max,high,0.5,3,0,-0.3995906463970361,-0.6406970470814186,-2.9060608386700686,-0.5188280918881887,-0.831713956259982,-0.39450040121837837,-0.3945004012183446,-0.39450040121831087
market_cap_median,high,0.5,3,0,-0.40057925515686194,-0.6379428964131673,-2.945226082668828,-0.5188280918881887,-0.831713956259982,-0.3945004012183446,-0.3945004012183446,-0.39450040121831087
market_cap_mean,high,0.5,3,0,-0.40105129105185144,-0.635260973101504,-2.9839246990266624,-0.5188280918881887,-0.831713956259982,-0.3945004012183677,-0.3945004012183446,-0.39450040121831087
