rule,full_annual,full_vol,full_sharpe,full_max_dd,full_total_return,full_annual_delta,full_sharpe_delta,full_max_dd_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_total_return,last_10y_annual_delta,last_10y_sharpe_delta,last_10y_max_dd_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_total_return,last_5y_annual_delta,last_5y_sharpe_delta,last_5y_max_dd_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_total_return,last_3y_annual_delta,last_3y_sharpe_delta,last_3y_max_dd_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_total_return,last_1y_annual_delta,last_1y_sharpe_delta,last_1y_max_dd_delta,family,direction,threshold,scale,trigger_days,trigger_events,score_3_5_10,robust_pass
holding_count_below_95:scale0.75,30.95620862709787,11.730106790229364,2.448168107958116,-12.20161244114969,7866.632069314255,-0.1113257964715082,-0.006479235593444876,1.0658141036401503e-14,31.66378675153838,13.60177609275116,2.1695897857446216,-12.201612441149711,1464.947869782863,-0.18176146242341318,-0.009438687678591684,-1.0658141036401503e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,holding_count_after,low,95.0,0.75,4.0,4.0,-0.013668240742191383,False
holding_count_below_97:scale0.75,30.93154396103037,11.729581918677324,2.4466024307346705,-12.201612441149734,7842.310463081968,-0.13599046253900582,-0.00804491281689046,-3.375077994860476e-14,31.623529820021723,13.601048540847957,2.1673607023777586,-12.201612441149745,1460.1701863739047,-0.22201839394007195,-0.011667771045454689,-4.440892098500626e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,holding_count_after,low,97.0,0.75,5.0,5.0,-0.016737091744658438,False
daily_holding_count_below_97:scale0.75,30.900606671262665,11.721061598303853,2.446198797961587,-12.201612441149724,7811.901986663773,-0.1669277523067123,-0.008448545589974099,-2.3092638912203256e-14,31.57304158395009,13.5891275828808,2.166206798714862,-12.201612441149756,1454.1968114295064,-0.27250663001170494,-0.01282167470835116,-5.5067062021407764e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,daily_holding_count,low,97.0,0.75,45.0,45.0,-0.020101964731316792,False
holding_count_below_99:scale0.75,30.90466976067827,11.72979127363625,2.444741039138621,-12.201612441149734,7815.889384037358,-0.16286466289110635,-0.009906304412940159,-3.375077994860476e-14,31.579671934934495,13.60134948132059,2.164768137939691,-12.201612441149756,1454.980087093733,-0.2658762790272995,-0.014260335483522457,-5.5067062021407764e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,holding_count_after,low,99.0,0.75,7.0,7.0,-0.020129163827087057,False
daily_holding_count_below_95:scale0.75,30.875590561053112,11.723028672635513,2.4441126873674133,-12.201612441149711,7787.393402421016,-0.19194386251626483,-0.010534656184147728,-1.0658141036401503e-14,31.532221880748203,13.591889145474308,2.163420675205435,-12.201612441149779,1449.3823984669862,-0.3133263332135918,-0.015607798217778246,-7.815970093361102e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,daily_holding_count,low,95.0,0.75,35.0,35.0,-0.023369411513574915,False
holding_count_below_95:scale0.50,30.844743649515106,11.727078514727232,2.4412191092095252,-12.201612441149724,7757.27039622852,-0.22279077405427117,-0.013428234342035772,-2.3092638912203256e-14,31.48189454287691,13.597568326044138,2.1596478578987353,-12.201612441149678,1443.4651006726058,-0.36365367108488655,-0.019380615524478007,2.3092638912203256e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,holding_count_after,low,95.0,0.5,4.0,4.0,-0.0274980239445039,False
daily_holding_count_below_99:scale0.75,30.820311177332748,11.715142113795894,2.4419286853805833,-12.201612441149724,7733.487950493312,-0.24722324623662928,-0.012718658170977726,-2.3092638912203256e-14,31.442037737631324,13.580860735575238,2.159815431778859,-12.201612441149734,1438.793328778572,-0.4035104763304709,-0.019213041644354334,-3.375077994860476e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,daily_holding_count,low,99.0,0.75,64.0,64.0,-0.029836798769609398,False
holding_count_below_97:scale0.50,30.7954323028355,11.726351631571905,2.4380203378757397,-12.201612441149711,7709.340403722993,-0.2721021207338765,-0.016627005675821316,-1.0658141036401503e-14,31.40145748307892,13.596564061246152,2.1551173406007127,-12.201612441149711,1434.0498372315956,-0.44409073088287343,-0.02391113282250057,-1.0658141036401503e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,holding_count_after,low,97.0,0.5,5.0,5.0,-0.03365513920544763,False
holding_count_below_99:scale0.50,30.741713129914274,11.727014578480315,2.43424647925823,-12.201612441149711,7657.438377295594,-0.32582129365510326,-0.0204008642933311,-1.0658141036401503e-14,31.3138518583292,13.597506450208424,2.1498777061961643,-12.201612441149711,1423.8543160893753,-0.5316963556325938,-0.029150767227049013,-1.0658141036401503e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,holding_count_after,low,99.0,0.5,7.0,7.0,-0.040452369240230976,False
daily_holding_count_below_97:scale0.50,30.733224638451738,11.711382996961902,2.4367620412125164,-12.201612441149756,7649.266700885336,-0.33430978511763954,-0.017885302339044618,-5.5067062021407764e-14,31.300010816641112,13.575619279450482,2.152316664462189,-12.201612441149779,1422.2490897553919,-0.5455373973206825,-0.026711808961024097,-7.815970093361102e-14,32.14799880323535,16.317354931112167,1.8641553947721425,-12.201612441149734,302.9211754106408,0.0,3.042011087472929e-14,0.0,27.31786369697451,15.524023804723594,1.7079417057062316,-12.201612441149724,106.41431915551603,0.0,3.3306690738754696e-14,0.0,17.836069258459,15.38500748403072,1.1964323664337257,-12.201612441149756,17.822832661762654,0.0,2.55351295663786e-14,0.0,daily_holding_count,low,97.0,0.5,45.0,45.0,-0.04056187053785124,False
