rebalance_date,rank,symbol,market_cap
2023-01-03,1,600006,11320000000.0
2023-01-03,2,600007,16247467273.419998
2023-01-03,3,600008,21140901149.76
2023-01-03,4,600004,34459418200.48
2023-01-03,5,600000,212216219249.1
2023-02-01,1,600006,12280000000.0
2023-02-01,2,600007,17002929173.919998
2023-02-01,3,600008,21581336590.38
2023-02-01,4,600004,33039387230.68
2023-02-01,5,600000,216032001891.2
2023-03-01,1,600006,12200000000.0
2023-03-01,2,600007,18060575834.62
2023-03-01,3,600008,21874960217.46
2023-03-01,4,600004,33867738629.73
2023-03-01,5,600000,213096784474.19998
