date,return,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,futures_drag,active_spread_ret,nav
2010-07-05,0.0,cash,cash,False,862.268,3627.29,-0.012428990287703834,-0.008923619175125297,-0.13524062824998817,-0.12162158889752583,-0.013619039352462337,0.0,0.0,1.0
2010-07-06,0.0,cash,cash,False,893.718,3738.74,0.036473578980084964,0.030725417598262084,-0.10484438007439956,-0.0878674766400741,-0.016976903434325452,0.0,0.0,1.0
2010-07-07,0.0,cash,cash,False,908.549,3795.59,0.01659472003473139,0.015205657520983129,-0.11592313178895008,-0.08171135621883563,-0.034211775570114455,0.0,0.0,1.0
2010-07-08,0.0,cash,cash,False,905.509,3773.37,-0.003345994547349629,-0.005854162330494184,-0.15330893490969344,-0.08404901422946776,-0.06925992068022568,0.0,0.0,1.0
2010-07-09,0.0,cash,cash,False,932.147,3886.27,0.02941770871410454,0.029920203955615232,-0.12651126266686907,-0.07040821696303412,-0.05610304570383495,0.0,0.0,1.0
2010-07-12,0.0,cash,cash,False,930.173,3934.18,-0.002117691737462013,0.012328016324135938,-0.1369890974677661,-0.08270652148569557,-0.054282575982070536,0.0,0.0,1.0
2010-07-13,0.0,cash,cash,False,931.08,3878.64,0.0009750874299727652,-0.014117300174369185,-0.166802388950834,-0.09754576675011872,-0.06925662220071527,0.0,0.0,1.0
2010-07-14,0.0,cash,cash,False,922.362,3916.17,-0.009363320015466026,0.009676072025246008,-0.17807625920179937,-0.0843951799567001,-0.09368107924509927,0.0,0.0,1.0
2010-07-15,0.0,cash,cash,False,892.557,3816.8,-0.03231377702030214,-0.025374281504633278,-0.1617915947856905,-0.09801373019342796,-0.06377786459226253,0.0,0.0,1.0
2010-07-16,0.0,cash,cash,False,892.298,3841.83,-0.0002901775460839584,0.0065578495074407606,-0.10794909809982633,-0.05553698122298867,-0.05241211687683767,0.0,0.0,1.0
2010-07-19,0.0,cash,cash,False,908.049,3930.96,0.017652174497757356,0.023199881306564807,-0.12754875567110746,-0.05717903946888725,-0.07036971620222021,0.0,0.0,1.0
2010-07-20,0.0,cash,cash,False,937.017,4053.19,0.03190136215116146,0.031094185644219285,-0.094665191619283,-0.03665895808129904,-0.05800623353798395,0.0,0.0,1.0
