date,current_return_raw_return_net,current_return_raw_nav_net,current_return_raw_current_execution_scale,current_return_raw_next_session_target_scale,current_return_raw_target_vol_realized_vol,current_return_raw_target_vol_return,current_return_raw_target_vol_return_source,current_return_raw_holding,current_return_raw_next_holding,proposed_overlay_first_return_net,proposed_overlay_first_nav_net,proposed_overlay_first_current_execution_scale,proposed_overlay_first_next_session_target_scale,proposed_overlay_first_target_vol_realized_vol,proposed_overlay_first_target_vol_return,proposed_overlay_first_target_vol_return_source,proposed_overlay_first_holding,proposed_overlay_first_next_holding,constructed_spread_always_return_net,constructed_spread_always_nav_net,constructed_spread_always_current_execution_scale,constructed_spread_always_next_session_target_scale,constructed_spread_always_target_vol_realized_vol,constructed_spread_always_target_vol_return,constructed_spread_always_target_vol_return_source,constructed_spread_always_holding,constructed_spread_always_next_holding
2010-03-04,-0.0030000000000000027,0.997,0.0,1.0,,0.0,return_raw,cash,long_microcap_short_zz1000,-0.0030000000000000027,0.997,0.0,1.0,,0.0,overlay_pre_cost_return,cash,long_microcap_short_zz1000,-0.0030000000000000027,0.997,0.0,1.0,,0.0,constructed_microcap_minus_hedge,cash,long_microcap_short_zz1000
2010-03-05,0.008260931116850667,1.0052361483235002,1.0,1.0,,0.008260931116850596,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.008260931116850667,1.0052361483235002,1.0,1.0,,0.008260931116850667,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.008260931116850667,1.0052361483235002,1.0,1.0,,0.008500931116850597,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2010-03-08,0.0031862263181334782,1.0084390581952276,1.0,1.0,,0.0031862263181334513,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0031862263181334782,1.0084390581952276,1.0,1.0,,0.0031862263181334782,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0031862263181334782,1.0084390581952276,1.0,1.0,,0.003426226318133451,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2010-03-09,0.00016844979233088253,1.008608929545159,1.0,1.0,,0.00016844979233085608,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.00016844979233088253,1.008608929545159,1.0,1.0,,0.00016844979233088253,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.00016844979233088253,1.008608929545159,1.0,1.0,,0.00040844979233085606,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2010-03-10,0.002638090911500024,1.01126973159545,1.0,1.0,,0.0026380909115000647,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.002638090911500024,1.01126973159545,1.0,1.0,,0.002638090911500024,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.002638090911500024,1.01126973159545,1.0,1.0,,0.0028780909115000645,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2010-03-11,0.008579925630495255,1.0199463506849098,1.0,1.0,,0.008579925630495273,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.008579925630495255,1.0199463506849098,1.0,1.0,,0.008579925630495255,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.008579925630495255,1.0199463506849098,1.0,1.0,,0.008819925630495273,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2010-03-12,0.0013770066226950206,1.0213508235645965,1.0,1.0,,0.0013770066226950386,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0013770066226950206,1.0213508235645965,1.0,1.0,,0.0013770066226950206,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0013770066226950206,1.0213508235645965,1.0,1.0,,0.0016170066226950386,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2010-03-15,-0.001949635932797178,1.019359561298983,1.0,1.0,,-0.0019496359327971374,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.001949635932797178,1.019359561298983,1.0,1.0,,-0.001949635932797178,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,-0.001949635932797178,1.019359561298983,1.0,1.0,,-0.0017096359327971374,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2010-03-16,0.0032669706162411494,1.0226897790331313,1.0,1.0,,0.0032669706162411225,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0032669706162411494,1.0226897790331313,1.0,1.0,,0.0032669706162411494,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0032669706162411494,1.0226897790331313,1.0,1.0,,0.0035069706162411222,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
2010-03-17,0.002005003997951782,1.0247402761287572,1.0,1.0,,0.002005003997951887,return_raw,long_microcap_short_zz1000,long_microcap_short_zz1000,0.002005003997951782,1.0247402761287572,1.0,1.0,,0.002005003997951782,overlay_pre_cost_return,long_microcap_short_zz1000,long_microcap_short_zz1000,0.002005003997951782,1.0247402761287572,1.0,1.0,,0.0022450039979518867,constructed_microcap_minus_hedge,long_microcap_short_zz1000,long_microcap_short_zz1000
