label,reg_window,z_window,sample_start,sample_end,rows,total_return,annual_return,sharpe,max_drawdown,position_days_pct,trades
N24_M60,24,60,2010-01-04,2026-03-18,3934,74.28250686622819,0.30570868251615235,1.42617582086057,-0.5037022801804188,0.5218607015760041,268
N20_M80,20,80,2010-01-04,2026-03-18,3934,64.93908874866905,0.2950714310066851,1.3427974793162818,-0.32169844561710315,0.5172852058973055,314
N24_M80,24,80,2010-01-04,2026-03-18,3934,53.723846653179564,0.2802528744151598,1.3372238667788516,-0.49528618972443594,0.5190645653279106,262
N20_M60,20,60,2010-01-04,2026-03-18,3934,67.91845490385246,0.2986091569416085,1.3243611076385027,-0.3935067146980069,0.5238942552109812,318
N20_M200,20,200,2010-01-04,2026-03-18,3934,55.94010850552504,0.28339419149261147,1.288025784054888,-0.40940707193568615,0.4877986781901373,306
N40_M60,40,60,2010-01-04,2026-03-18,3934,44.63495499878403,0.2659794175961405,1.2816116476828814,-0.3699767760849625,0.5315200813421453,156
N30_M80,30,80,2010-01-04,2026-03-18,3934,43.90847802282349,0.2647259750619879,1.2730503863621645,-0.48384777292173864,0.5216065073716319,214
N24_M40,24,40,2010-01-04,2026-03-18,3934,48.95942829490846,0.2730744896088957,1.264403536165424,-0.41900015124513923,0.5129639044229791,262
N20_M250,20,250,2010-01-04,2026-03-18,3934,47.842485784503914,0.27129885587916336,1.2489870961295315,-0.3494164176268323,0.48576512455516013,300
N40_M80,40,80,2010-01-04,2026-03-18,3934,43.384233906881605,0.263809585268282,1.2473065389741291,-0.3981074938842778,0.5376207422470768,162
N30_M60,30,60,2010-01-04,2026-03-18,3934,39.88687342494613,0.25742279288688064,1.2468853749549835,-0.4797013477717209,0.5246568378240977,202
N20_M100,20,100,2010-01-04,2026-03-18,3934,46.59322797231366,0.26926716552733465,1.2402507975775214,-0.41256215913977845,0.509150991357397,308
N30_M40,30,40,2010-01-04,2026-03-18,3934,41.82448267070894,0.26102177885490696,1.2337251707102825,-0.40799896741229247,0.5213523131672598,218
N20_M160,20,160,2010-01-04,2026-03-18,3934,45.084245874964466,0.26674527415748917,1.2078042995665024,-0.33550028570619195,0.49669547534316216,290
N24_M500,24,500,2010-01-04,2026-03-18,3934,37.646629624715644,0.2530565796398334,1.1902526088646357,-0.29833282272030626,0.4440772750381291,226
N20_M300,20,300,2010-01-04,2026-03-18,3934,37.21782350282231,0.2521938400600954,1.1781849435490506,-0.36781400104460515,0.4697508896797153,288
N18_M80,18,80,2010-01-04,2026-03-18,3934,36.303259655208024,0.25032301733221285,1.1770861499235383,-0.426158199142443,0.5149974580579563,322
N20_M120,20,120,2010-01-04,2026-03-18,3934,37.32473330909565,0.252409784744847,1.1656335794456327,-0.37713643950491726,0.5086426029486528,318
N30_M120,30,120,2010-01-04,2026-03-18,3934,30.58698759808386,0.23755074900103423,1.1567006993174682,-0.503746296523624,0.5068632435180478,214
N20_M40,20,40,2010-01-04,2026-03-18,3934,36.5239855289456,0.25077844006757877,1.1433182755562061,-0.4168110638974324,0.5119471276054905,320
N30_M160,30,160,2010-01-04,2026-03-18,3934,30.92263903152344,0.2383584978577511,1.14330355810749,-0.4383297003487924,0.5027961362480935,204
N18_M60,18,60,2010-01-04,2026-03-18,3934,34.37708974560267,0.24623785121387032,1.1381056924654944,-0.4610658077429698,0.5167768174885613,330
N16_M60,16,60,2010-01-04,2026-03-18,3934,34.384919838792335,0.24625487630047194,1.1328566149508605,-0.46060004378746366,0.5198271479410269,358
N18_M250,18,250,2010-01-04,2026-03-18,3934,32.47951980464099,0.24200392825866168,1.1283688660443574,-0.35483177223282236,0.48525673614641585,312
N18_M500,18,500,2010-01-04,2026-03-18,3934,29.424777121581666,0.23469025646164932,1.122755100914214,-0.3820407190355787,0.4425521098118963,280
N18_M100,18,100,2010-01-04,2026-03-18,3934,31.135513346995722,0.23886666266694712,1.1220085868923328,-0.4000884029810544,0.5114387391967463,316
N20_M500,20,500,2010-01-04,2026-03-18,3934,29.40255888047501,0.23463457921148612,1.1081261083152487,-0.35285519145327726,0.44483985765124556,264
N24_M120,24,120,2010-01-04,2026-03-18,3934,25.37938354386062,0.2238639056053291,1.1060524702564205,-0.4877170541197078,0.5086426029486528,266
N30_M200,30,200,2010-01-04,2026-03-18,3934,27.316809556461884,0.22922992060174763,1.0932261803107102,-0.4545174688477921,0.5043213014743264,218
N40_M100,40,100,2010-01-04,2026-03-18,3934,23.643379716223095,0.21873181893960658,1.0762818875651674,-0.41462660351136316,0.5142348754448398,162
N24_M100,24,100,2010-01-04,2026-03-18,3934,22.01408370403249,0.21359672250947614,1.0667312743088613,-0.525544644639219,0.5116929334011184,284
N16_M500,16,500,2010-01-04,2026-03-18,3934,25.0999089051505,0.22305951395253487,1.0609823574393713,-0.42572283012067313,0.4494153533299441,294
N24_M160,24,160,2010-01-04,2026-03-18,3934,23.23362348878896,0.21747105657772492,1.0573445982800793,-0.44003124923025494,0.5027961362480935,268
N40_M300,40,300,2010-01-04,2026-03-18,3934,24.126203836818508,0.22019239939813806,1.0532092829697182,-0.5275423994657347,0.4796644636502288,158
N24_M200,24,200,2010-01-04,2026-03-18,3934,21.836992465109656,0.21301817475950235,1.046479196656699,-0.4739845126267266,0.4926283680732079,272
N16_M40,16,40,2010-01-04,2026-03-18,3934,26.787725912180598,0.22779958411307288,1.0439200102769675,-0.45766621065197033,0.5167768174885613,376
N18_M200,18,200,2010-01-04,2026-03-18,3934,24.995903559595053,0.22275809806238556,1.0428678484326757,-0.3831081562062779,0.48500254194204373,330
N30_M100,30,100,2010-01-04,2026-03-18,3934,21.19032590427175,0.210869180985658,1.0413900399153424,-0.496646513770462,0.5134722928317235,216
N18_M120,18,120,2010-01-04,2026-03-18,3934,23.922781328180875,0.2195802687426467,1.030353118723958,-0.4255984440912729,0.5078800203355364,336
N18_M160,18,160,2010-01-04,2026-03-18,3934,24.469526569013475,0.22121504286922433,1.0283146047828589,-0.3610170718019421,0.49211997966446364,314
N24_M300,24,300,2010-01-04,2026-03-18,3934,21.35458492832232,0.21142055697466589,1.0256291445714256,-0.4740528687865819,0.469242501270971,244
N18_M40,18,40,2010-01-04,2026-03-18,3934,24.798937190661558,0.22218416013579456,1.0228029882144227,-0.4453512069792396,0.5149974580579563,334
N40_M250,40,250,2010-01-04,2026-03-18,3934,20.63126259355146,0.2089634116855683,1.021458511578682,-0.5275423994657343,0.4941535332994408,160
N18_M300,18,300,2010-01-04,2026-03-18,3934,21.56086213545336,0.21210761795700073,1.0086478349553087,-0.3574280140548164,0.47763091001525165,294
N16_M120,16,120,2010-01-04,2026-03-18,3934,20.082062349261015,0.20704572164519597,0.9990055554343004,-0.44931612999850135,0.5076258261311642,356
N40_M160,40,160,2010-01-04,2026-03-18,3934,19.882899120381502,0.2063386869331023,0.9988973289268391,-0.5275423994657346,0.5195729537366548,186
N16_M80,16,80,2010-01-04,2026-03-18,3934,19.92533263422038,0.20648985583633994,0.9952492702382577,-0.45025820116080884,0.516268429079817,362
N16_M250,16,250,2010-01-04,2026-03-18,3934,20.386087303736076,0.20811302437739965,0.9951991001723413,-0.4592516320717812,0.49059481443823083,332
N16_M100,16,100,2010-01-04,2026-03-18,3934,20.394602770467312,0.20814271314910715,0.9914570471764043,-0.4540036622524304,0.5203355363497713,358
N24_M250,24,250,2010-01-04,2026-03-18,3934,18.059042674280278,0.19955248030889794,0.9843872158372551,-0.5305480845342232,0.48830706659888157,266
N16_M200,16,200,2010-01-04,2026-03-18,3934,19.774092313657178,0.20594974296844293,0.984348178460372,-0.4636427612604267,0.4949161159125572,352
N40_M500,40,500,2010-01-04,2026-03-18,3934,19.53769102292562,0.20509806561291977,0.9752391341178138,-0.5275423994657347,0.45729537366548045,144
N16_M300,16,300,2010-01-04,2026-03-18,3934,18.52586260324609,0.20134562545298618,0.9679199025503018,-0.4641826049739596,0.4829689883070666,308
N40_M200,40,200,2010-01-04,2026-03-18,3934,18.18457596763088,0.20003869425205378,0.9629101264987069,-0.5275423994657344,0.5116929334011184,174
N40_M120,40,120,2010-01-04,2026-03-18,3934,15.635592360962669,0.18952444036557892,0.9580255145362447,-0.47436340806673116,0.5106761565836299,172
N30_M500,30,500,2010-01-04,2026-03-18,3934,16.815516517310865,0.19456677494590302,0.954282941094444,-0.44166055836878715,0.4445856634468734,186
N16_M160,16,160,2010-01-04,2026-03-18,3934,18.46397947424697,0.201110247800647,0.9511155597081081,-0.42446139851495923,0.501779359430605,358
N30_M300,30,300,2010-01-04,2026-03-18,3934,13.483607956227077,0.179396038934301,0.8979727104859238,-0.4389836421527967,0.47127605490594815,198
N30_M250,30,250,2010-01-04,2026-03-18,3934,12.184240762077879,0.1725727292701098,0.8754362260769123,-0.4842444801499347,0.48957803762074226,192
