z_window,threshold,rows,sample_start,sample_end,total_return,annual_return,sharpe,max_drawdown,position_days_pct,trades
250,0.3,661,2023-07-05,2026-03-27,1.215650803889671,0.3387551664815176,1.9231880805295145,-0.09891616915469459,0.32223903177004537,20
250,0.5,661,2023-07-05,2026-03-27,1.1453409743882772,0.32301660444981817,1.849129257437494,-0.10347807693264688,0.3146747352496218,18
200,1.5,661,2023-07-05,2026-03-27,1.8514938921596515,0.46852972534350656,1.8387755219987263,-0.2198051268767497,0.6006051437216339,1
250,1.3,661,2023-07-05,2026-03-27,1.7627091599427964,0.4515936181294833,1.790745560586792,-0.21980512687675002,0.5975794251134644,1
250,1.5,661,2023-07-05,2026-03-27,1.730580525949129,0.4453800726331656,1.7720065892776735,-0.2198051268767499,0.5960665658093798,1
120,0.5,661,2023-07-05,2026-03-27,1.519786865059738,0.4034174696410968,1.6590236513826317,-0.27690431589222597,0.4372163388804841,22
100,1.5,661,2023-07-05,2026-03-27,1.710085447332121,0.44139218683728254,1.6430082116302531,-0.2198051268767498,0.6686838124054463,1
160,1.5,661,2023-07-05,2026-03-27,1.710085447332121,0.44139218683728254,1.6430082116302531,-0.2198051268767498,0.6686838124054463,1
200,1.3,661,2023-07-05,2026-03-27,1.710085447332121,0.44139218683728254,1.6430082116302531,-0.2198051268767498,0.6686838124054463,1
300,0.3,661,2023-07-05,2026-03-27,0.6191417062843869,0.19329628377064,1.5821146177345373,-0.09046438325009143,0.2405446293494705,16
400,0.3,661,2023-07-05,2026-03-27,0.382457615457102,0.12610632232108276,1.57895077406502,-0.09046438325009154,0.16792738275340394,10
60,0.5,661,2023-07-05,2026-03-27,1.2481643484734586,0.34592631003388963,1.5624171446610957,-0.20418852754355477,0.4886535552193646,26
250,1.1,661,2023-07-05,2026-03-27,1.349532437412349,0.3678710353948631,1.5471951373609982,-0.21980512687675002,0.556732223903177,3
60,0.3,661,2023-07-05,2026-03-27,1.204961133385844,0.3363829203333004,1.4778170542795719,-0.17576890232588516,0.4947049924357035,32
200,0.3,661,2023-07-05,2026-03-27,0.9205822213095376,0.270397489372455,1.45487241680583,-0.16827603514991085,0.3585476550680787,22
40,0.7,661,2023-07-05,2026-03-27,1.2642389166590706,0.34944744670408445,1.4544189042557736,-0.21777733695297408,0.5022692889561271,24
160,0.3,661,2023-07-05,2026-03-27,0.9896710185706923,0.2869691391993483,1.4514993307214157,-0.271143110722447,0.3918305597579425,24
100,0.7,661,2023-07-05,2026-03-27,1.1387622817157448,0.3215273749025749,1.4436902890898962,-0.24842552076071167,0.46444780635400906,16
120,0.3,661,2023-07-05,2026-03-27,1.2497723379857324,0.346279256626878,1.37396580622839,-0.2815333012836454,0.4175491679273828,26
80,0.5,661,2023-07-05,2026-03-27,1.0062107022967943,0.2908820996713475,1.335604674180748,-0.19879427804958316,0.4568835098335855,28
200,0.5,661,2023-07-05,2026-03-27,0.7797322058999128,0.2354047774708108,1.3055134116623957,-0.16761819889921725,0.340393343419062,20
80,0.3,661,2023-07-05,2026-03-27,1.1673569098948886,0.32797945666063266,1.288138503412532,-0.38434567758976623,0.4750378214826021,32
300,1.5,661,2023-07-05,2026-03-27,0.7976009653036733,0.2399390179499059,1.2410805338347828,-0.2198051268767498,0.5083207261724659,1
120,0.7,661,2023-07-05,2026-03-27,0.9355408687418767,0.2740171019353532,1.211762475002107,-0.31652977864039566,0.4720121028744327,15
400,1.3,661,2023-07-05,2026-03-27,0.44854088672611536,0.1455552065094885,1.2087892174855328,-0.1306952249836476,0.3040847201210287,1
400,1.5,661,2023-07-05,2026-03-27,0.44854088672611536,0.1455552065094885,1.2087892174855328,-0.1306952249836476,0.3040847201210287,1
120,1.5,661,2023-07-05,2026-03-27,1.1629782571059795,0.3269949688281557,1.1933015857032974,-0.32791991903765627,0.7276853252647504,1
400,1.1,661,2023-07-05,2026-03-27,0.4365761302031672,0.14207616574185966,1.1820691519232682,-0.1306952249836476,0.30559757942511345,1
250,0.9,661,2023-07-05,2026-03-27,0.7222992105603694,0.22063271922737382,1.1808411335689122,-0.2198051268767498,0.36459909228441756,7
