label,reg_window,z_window,sample_start,sample_end,rows,total_return,annual_return,sharpe,max_drawdown,position_days_pct,trades,param_name,delay_days,switch_cost
N24_M60_base_delay1_cost0bp,,,2010-01-04,2026-03-18,3934,74.28250686622819,0.30570868251615235,1.42617582086057,-0.5037022801804188,0.5218607015760041,268,N24_M60,1,0.0
N24_M60_delay2_cost0bp,,,2010-01-04,2026-03-18,3934,53.46844198236023,0.27988322556086165,1.3341668930969324,-0.47763686921910264,0.5218607015760041,268,N24_M60,2,0.0
N24_M60_delay1_cost10bp,,,2010-01-04,2026-03-18,3934,56.59137411345082,0.28429549096382334,1.3440798788246344,-0.5241377223576099,0.5218607015760041,268,N24_M60,1,0.001
N24_M60_delay1_cost20bp,,,2010-01-04,2026-03-18,3934,43.0457873846428,0.2632125635329807,1.2615511717732713,-0.5437509492743793,0.5218607015760041,268,N24_M60,1,0.002
N24_M60_delay2_cost10bp,,,2010-01-04,2026-03-18,3934,40.6654907697133,0.25888786938349084,1.2515364420853259,-0.49865927036211355,0.5218607015760041,268,N24_M60,2,0.001
N20_M80_base_delay1_cost0bp,,,2010-01-04,2026-03-18,3934,64.93908874866905,0.2950714310066851,1.3427974793162818,-0.32169844561710315,0.5172852058973055,314,N20_M80,1,0.0
N20_M80_delay2_cost0bp,,,2010-01-04,2026-03-18,3934,56.765473941071825,0.2845348111650694,1.3039313944838609,-0.4298276370803732,0.5172852058973055,314,N20_M80,2,0.0
N20_M80_delay1_cost10bp,,,2010-01-04,2026-03-18,3934,47.17863042624909,0.27022536870732794,1.2502529993493725,-0.3404231653990343,0.5172852058973055,314,N20_M80,1,0.001
N20_M80_delay1_cost20bp,,,2010-01-04,2026-03-18,3934,34.19083535521979,0.24583182973188644,1.1572768390458754,-0.37668519621686636,0.5172852058973055,314,N20_M80,1,0.002
N20_M80_delay2_cost10bp,,,2010-01-04,2026-03-18,3934,41.20399924573861,0.25988619532142687,1.2113654453783458,-0.45331068844187483,0.5172852058973055,314,N20_M80,2,0.001
