date,close,proxy_high,proxy_low,beta,r2,zscore,zscore_r2,right_skew,position,asset_nav,strategy_nav,strategy_drawdown
2010-01-04,1000.0,1000.0,1000.0,,,,,,0,1.0,1.0,0.0
2010-01-05,1010.5906438252296,1020.524722470646,982.7390055920588,,,,,,0,1.0105906438252297,1.0,0.0
2010-01-06,1006.9881364892188,1029.2734089980845,995.0597239283776,,,,,,0,1.006988136489219,1.0,0.0
2010-01-07,987.1852187010668,1020.940581138347,975.4178721037744,,,,,,0,0.987185218701067,1.0,0.0
2010-01-08,998.0057502920498,1005.312821427279,967.2242343151328,,,,,,0,0.9980057502920501,1.0,0.0
2010-01-11,1007.3607238734533,1024.5853382703249,981.3631634822884,,,,,,0,1.0073607238734534,1.0,0.0
2010-01-12,1028.9627781487525,1038.104523938924,995.6894636704292,,,,,,0,1.0289627781487527,1.0,0.0
2010-01-13,1021.0779781423864,1043.3018316943696,997.73193391633,,,,,,0,1.0210779781423867,1.0,0.0
2010-01-14,1048.5973730007554,1058.3668953260888,1015.5382064153076,,,,,,0,1.0485973730007556,1.0,0.0
2010-01-15,1057.2410962949075,1072.8706612996934,1036.1299745647082,,,,,,0,1.0572410962949077,1.0,0.0
2010-01-18,1073.8052405428818,1083.9814895092536,1044.929396290882,,,,,,0,1.073805240542882,1.0,0.0
2010-01-19,1073.9258295518086,1092.8719519842907,1053.3898634311831,,,,,,0,1.0739258295518088,1.0,0.0
2010-01-20,1034.178552039642,1089.2738501194733,1022.5734375726964,,,,,,0,1.0341785520396423,1.0,0.0
2010-01-21,1044.2987360063994,1060.1750292641595,1019.2253126182726,,,,,,0,1.0442987360063998,1.0,0.0
2010-01-22,1014.4421124893622,1046.784877908141,988.78274123972,,,,,,0,1.0144421124893626,1.0,0.0
2010-01-25,1001.594999882886,1028.287564096731,989.0475033669724,,,,,,0,1.0015949998828864,1.0,0.0
2010-01-26,961.750699772878,1014.1887691031192,947.4712185277042,,,,,,0,0.9617506997728783,1.0,0.0
2010-01-27,953.6972421342298,979.096574982744,937.451143159696,0.9266679113911725,0.8094029676097256,,,,0,0.9536972421342301,1.0,0.0
2010-01-28,964.7902457769198,975.0250671712082,940.6008945404496,0.9722786626490348,0.9191042265467554,,,,0,0.9647902457769202,1.0,0.0
