family,direction,scale,tested,robust_cells,best_score,median_score,best_10y_ann,best_5y_ann,best_3y_ann,best_10y_dd,best_5y_dd,best_3y_dd
zz2000_and_cyb,below,0.75,42,9,0.09998570253964864,-0.04090562659753537,0.45656088239038795,0.9888211786701859,1.044749257124412,2.099055624777767,2.739029098309299,2.739029098309288
zz2000_and_cyb,below,0.0,42,3,0.2876961614768017,-0.26670311773239797,1.7408634534045397,3.8421066203353504,4.138313007832316,2.109355241596422,2.109355241596468,2.1093552415964343
zz2000_and_cyb,below,0.25,42,3,0.2536907287243525,-0.17610041039446286,1.327032844103801,2.910170871765466,3.114058892092995,2.60836185427935,2.608361854279373,2.6083618542793516
zz2000_and_cyb,below,0.5,42,3,0.18911732330864983,-0.10226452410065028,0.8989188581995045,1.9589777648381101,2.082819897131305,2.8083395898903074,2.80833958989032,3.391150248728703
zz2000,below,0.5,42,3,0.10688572122206885,-0.2735771089236037,0.0,0.5748463721076078,0.0,2.808339589890318,2.80833958989032,3.391150248728703
cyb,below,0.75,42,3,0.10138757120091255,-0.17168651111800942,0.44960813735379546,1.7403641782475248,1.0800092662245788,2.1889297190244914,2.8083395898903625,3.0295464054253554
zz2000,below,0.75,42,3,0.06322198353763961,-0.1176044906220643,0.0,0.30684729847061476,0.0,2.739029098309265,2.739029098309331,2.73902909830932
cyb,below,0.0,42,2,0.28583308420051173,-0.9092453795432807,1.7129159467654809,6.960506521515967,4.270453526572847,2.1093552415964005,2.1093552415964556,2.1093552415964343
zz2000_or_cyb,below,0.75,42,2,0.0212651014773712,-0.19457382949255164,-0.052996361282264814,0.4121131540624887,0.0,2.808339589890286,2.8083395898903625,2.911115171375812
cyb,below,0.25,42,1,0.24939295289544344,-0.6190356559732108,1.3061068381787528,5.220988766783279,3.21543388221599,2.808339589890286,2.808339589890286,3.1368043533395635
cyb,below,0.5,42,1,0.1916699410438867,-0.3792864984863678,0.8849909305498294,3.480816753464765,2.15188658826224,2.8083395898903074,2.8083395898903625,3.3911502487287137
zz2000,below,0.25,42,1,0.1173290782272808,-0.47021774153211915,0.0,0.8039514739919937,0.0,2.8083395898903625,2.80833958989032,3.7018246188235366
zz1000,below,0.75,42,1,0.004287395121016904,-0.2329440539477564,0.0014667166852611047,0.7141174561042618,0.268252915534962,2.1951526462109516,2.5801386478254926,2.5801386478255264
sh_comp,below,0.75,42,1,-0.0012959307730631032,-0.22608286775946995,0.030303594388403354,0.16958404456138254,0.1153903584478293,1.4253245277331406,1.4253245277331743,2.5330832869511326
zz2000,below,0.0,42,0,0.08221222978129525,-0.6965334326179053,0.0,0.9941421707176303,0.0,2.6758632558368305,2.80833958989032,3.2123141497410472
zz2000_or_cyb,below,0.5,42,0,0.0208170430347194,-0.42620107373069005,-0.10641120102734547,0.7852755782645602,0.0,2.808339589890318,2.808339589890375,3.3911502487287137
