date,baseline_return,baseline_nav,zz2000_and_cyb_below_ma60_days15__scale0p00_return,zz2000_and_cyb_below_ma60_days15__scale0p00_nav,cyb_below_ma50_days20__scale0p00_return,cyb_below_ma50_days20__scale0p00_nav,zz2000_and_cyb_below_ma60_days15__scale0p25_return,zz2000_and_cyb_below_ma60_days15__scale0p25_nav,cyb_below_ma50_days20__scale0p25_return,cyb_below_ma50_days20__scale0p25_nav,zz2000_and_cyb_below_ma50_days20__scale0p00_return,zz2000_and_cyb_below_ma50_days20__scale0p00_nav,cyb_below_ma50_days20__scale0p50_return,cyb_below_ma50_days20__scale0p50_nav,zz2000_and_cyb_below_ma60_days15__scale0p50_return,zz2000_and_cyb_below_ma60_days15__scale0p50_nav,zz2000_and_cyb_below_ma50_days20__scale0p25_return,zz2000_and_cyb_below_ma50_days20__scale0p25_nav
2010-02-02,-0.003,0.997,-0.0030000000000000027,0.997,-0.0030000000000000027,0.997,-0.0030000000000000027,0.997,-0.0030000000000000027,0.997,-0.0030000000000000027,0.997,-0.0030000000000000027,0.997,-0.0030000000000000027,0.997,-0.0030000000000000027,0.997
2010-02-03,0.0017285294059565,0.9987233438177388,0.0017285294059565803,0.9987233438177388,0.0017285294059565803,0.9987233438177388,0.0017285294059565803,0.9987233438177388,0.0017285294059565803,0.9987233438177388,0.0017285294059565803,0.9987233438177388,0.0017285294059565803,0.9987233438177388,0.0017285294059565803,0.9987233438177388,0.0017285294059565803,0.9987233438177388
2010-02-04,0.0002036662929898,0.9989267500988965,0.00020366629298984584,0.9989267500988965,0.00020366629298984584,0.9989267500988965,0.00020366629298984584,0.9989267500988965,0.00020366629298984584,0.9989267500988965,0.00020366629298984584,0.9989267500988965,0.00020366629298984584,0.9989267500988965,0.00020366629298984584,0.9989267500988965,0.00020366629298984584,0.9989267500988965
2010-02-05,0.0062422895570644,1.0051623401193113,0.006242289557064407,1.0051623401193113,0.006242289557064407,1.0051623401193113,0.006242289557064407,1.0051623401193113,0.006242289557064407,1.0051623401193113,0.006242289557064407,1.0051623401193113,0.006242289557064407,1.0051623401193113,0.006242289557064407,1.0051623401193113,0.006242289557064407,1.0051623401193113
2010-02-08,0.0004706097996138,1.0056353793667743,0.0004706097996138858,1.0056353793667743,0.0004706097996138858,1.0056353793667743,0.0004706097996138858,1.0056353793667743,0.0004706097996138858,1.0056353793667743,0.0004706097996138858,1.0056353793667743,0.0004706097996138858,1.0056353793667743,0.0004706097996138858,1.0056353793667743,0.0004706097996138858,1.0056353793667743
2010-02-09,0.002510882228383,1.0081604113690594,0.0025108822283830268,1.0081604113690594,0.0025108822283830268,1.0081604113690594,0.0025108822283830268,1.0081604113690594,0.0025108822283830268,1.0081604113690594,0.0025108822283830268,1.0081604113690594,0.0025108822283830268,1.0081604113690594,0.0025108822283830268,1.0081604113690594,0.0025108822283830268,1.0081604113690594
2010-02-10,0.0001405202123641,1.008302078284162,0.00014052021236410361,1.008302078284162,0.00014052021236410361,1.008302078284162,0.00014052021236410361,1.008302078284162,0.00014052021236410361,1.008302078284162,0.00014052021236410361,1.008302078284162,0.00014052021236410361,1.008302078284162,0.00014052021236410361,1.008302078284162,0.00014052021236410361,1.008302078284162
2010-02-11,0.0032079453125184,1.0115366562097963,0.0032079453125184454,1.0115366562097963,0.0032079453125184454,1.0115366562097963,0.0032079453125184454,1.0115366562097963,0.0032079453125184454,1.0115366562097963,0.0032079453125184454,1.0115366562097963,0.0032079453125184454,1.0115366562097963,0.0032079453125184454,1.0115366562097963,0.0032079453125184454,1.0115366562097963
2010-02-12,-0.0053292070398851,1.0061459679404212,-0.005329207039885153,1.0061459679404212,-0.005329207039885153,1.0061459679404212,-0.005329207039885153,1.0061459679404212,-0.005329207039885153,1.0061459679404212,-0.005329207039885153,1.0061459679404212,-0.005329207039885153,1.0061459679404212,-0.005329207039885153,1.0061459679404212,-0.005329207039885153,1.0061459679404212
2010-02-22,-0.0012128322725922,1.0049256816395646,-0.001212832272592168,1.0049256816395646,-0.001212832272592168,1.0049256816395646,-0.001212832272592168,1.0049256816395646,-0.001212832272592168,1.0049256816395646,-0.001212832272592168,1.0049256816395646,-0.001212832272592168,1.0049256816395646,-0.001212832272592168,1.0049256816395646,-0.001212832272592168,1.0049256816395646
2010-02-23,-0.00853914216636,0.9963444783774182,-0.008539142166359981,0.9963444783774182,-0.008539142166359981,0.9963444783774182,-0.008539142166359981,0.9963444783774182,-0.008539142166359981,0.9963444783774182,-0.008539142166359981,0.9963444783774182,-0.008539142166359981,0.9963444783774182,-0.008539142166359981,0.9963444783774182,-0.008539142166359981,0.9963444783774182
2010-02-24,0.0033197496289081,0.9996520925897764,0.0033197496289081307,0.9996520925897764,0.0033197496289081307,0.9996520925897764,0.0033197496289081307,0.9996520925897764,0.0033197496289081307,0.9996520925897764,0.0033197496289081307,0.9996520925897764,0.0033197496289081307,0.9996520925897764,0.0033197496289081307,0.9996520925897764,0.0033197496289081307,0.9996520925897764
2010-02-25,-0.0051172875839224,0.9945365853481247,-0.005117287583922381,0.9945365853481247,-0.005117287583922381,0.9945365853481247,-0.005117287583922381,0.9945365853481247,-0.005117287583922381,0.9945365853481247,-0.005117287583922381,0.9945365853481247,-0.005117287583922381,0.9945365853481247,-0.005117287583922381,0.9945365853481247,-0.005117287583922381,0.9945365853481247
2010-02-26,0.0049054110464157,0.999415196099956,0.004905411046415731,0.999415196099956,0.004905411046415731,0.999415196099956,0.004905411046415731,0.999415196099956,0.004905411046415731,0.999415196099956,0.004905411046415731,0.999415196099956,0.004905411046415731,0.999415196099956,0.004905411046415731,0.999415196099956,0.004905411046415731,0.999415196099956
2010-03-01,0.0002637966842575,0.9996788385148838,0.00026379668425757785,0.9996788385148838,0.00026379668425757785,0.9996788385148838,0.00026379668425757785,0.9996788385148838,0.00026379668425757785,0.9996788385148838,0.00026379668425757785,0.9996788385148838,0.00026379668425757785,0.9996788385148838,0.00026379668425757785,0.9996788385148838,0.00026379668425757785,0.9996788385148838
2010-03-02,0.0069718667873326,1.006648466207125,0.006971866787332637,1.006648466207125,0.006971866787332637,1.006648466207125,0.006971866787332637,1.006648466207125,0.006971866787332637,1.006648466207125,0.006971866787332637,1.006648466207125,0.006971866787332637,1.006648466207125,0.006971866787332637,1.006648466207125,0.006971866787332637,1.006648466207125
2010-03-03,0.0010160939145384,1.0076713155877175,0.0010160939145384962,1.0076713155877175,0.0010160939145384962,1.0076713155877175,0.0010160939145384962,1.0076713155877175,0.0010160939145384962,1.0076713155877175,0.0010160939145384962,1.0076713155877175,0.0010160939145384962,1.0076713155877175,0.0010160939145384962,1.0076713155877175,0.0010160939145384962,1.0076713155877175
2010-03-04,0.0053939655736412,1.0131066599735434,0.005393965573641246,1.0131066599735434,0.005393965573641246,1.0131066599735434,0.005393965573641246,1.0131066599735434,0.005393965573641246,1.0131066599735434,0.005393965573641246,1.0131066599735434,0.005393965573641246,1.0131066599735434,0.005393965573641246,1.0131066599735434,0.005393965573641246,1.0131066599735434
2010-03-05,0.0110636133183581,1.0243152803097442,0.011063613318358145,1.0243152803097442,0.011063613318358145,1.0243152803097442,0.011063613318358145,1.0243152803097442,0.011063613318358145,1.0243152803097442,0.011063613318358145,1.0243152803097442,0.011063613318358145,1.0243152803097442,0.011063613318358145,1.0243152803097442,0.011063613318358145,1.0243152803097442
2010-03-08,0.0012588327075562,1.0256047218874478,0.0012588327075562233,1.0256047218874478,0.0012588327075562233,1.0256047218874478,0.0012588327075562233,1.0256047218874478,0.0012588327075562233,1.0256047218874478,0.0012588327075562233,1.0256047218874478,0.0012588327075562233,1.0256047218874478,0.0012588327075562233,1.0256047218874478,0.0012588327075562233,1.0256047218874478
2010-03-09,-0.0007065420257998,1.0248800890495755,-0.0007065420257997834,1.0248800890495755,-0.0007065420257997834,1.0248800890495755,-0.0007065420257997834,1.0248800890495755,-0.0007065420257997834,1.0248800890495755,-0.0007065420257997834,1.0248800890495755,-0.0007065420257997834,1.0248800890495755,-0.0007065420257997834,1.0248800890495755,-0.0007065420257997834,1.0248800890495755
2010-03-10,0.0039093521500108,1.0288867062292049,0.00390935215001087,1.0288867062292049,0.00390935215001087,1.0288867062292049,0.00390935215001087,1.0288867062292049,0.00390935215001087,1.0288867062292049,0.00390935215001087,1.0288867062292049,0.00390935215001087,1.0288867062292049,0.00390935215001087,1.0288867062292049,0.00390935215001087,1.0288867062292049
2010-03-11,0.0112549683138714,1.040466793506378,0.011254968313871405,1.040466793506378,0.011254968313871405,1.040466793506378,0.011254968313871405,1.040466793506378,0.011254968313871405,1.040466793506378,0.011254968313871405,1.040466793506378,0.011254968313871405,1.040466793506378,0.011254968313871405,1.040466793506378,0.011254968313871405,1.040466793506378
2010-03-12,0.0034903484195969,1.044098385134736,0.0034903484195969448,1.044098385134736,0.0034903484195969448,1.044098385134736,0.0034903484195969448,1.044098385134736,0.0034903484195969448,1.044098385134736,0.0034903484195969448,1.044098385134736,0.0034903484195969448,1.044098385134736,0.0034903484195969448,1.044098385134736,0.0034903484195969448,1.044098385134736
2010-03-15,-0.0006975541192083,1.0433700700053266,-0.0006975541192083545,1.0433700700053266,-0.0006975541192083545,1.0433700700053266,-0.0006975541192083545,1.0433700700053266,-0.0006975541192083545,1.0433700700053266,-0.0006975541192083545,1.0433700700053266,-0.0006975541192083545,1.0433700700053266,-0.0006975541192083545,1.0433700700053266,-0.0006975541192083545,1.0433700700053266
2010-03-16,0.0001555858080581,1.043532403580772,0.00015558580805818956,1.043532403580772,0.00015558580805818956,1.043532403580772,0.00015558580805818956,1.043532403580772,0.00015558580805818956,1.043532403580772,0.00015558580805818956,1.043532403580772,0.00015558580805818956,1.043532403580772,0.00015558580805818956,1.043532403580772,0.00015558580805818956,1.043532403580772
2010-03-17,-0.0026208178202087,1.0407974952615022,-0.0026208178202087318,1.0407974952615022,-0.0026208178202087318,1.0407974952615022,-0.0026208178202087318,1.0407974952615022,-0.0026208178202087318,1.0407974952615022,-0.0026208178202087318,1.0407974952615022,-0.0026208178202087318,1.0407974952615022,-0.0026208178202087318,1.0407974952615022,-0.0026208178202087318,1.0407974952615022
2010-03-18,0.0027929205929313,1.0437043600190894,0.002792920592931347,1.0437043600190894,0.002792920592931347,1.0437043600190894,0.002792920592931347,1.0437043600190894,0.002792920592931347,1.0437043600190894,0.002792920592931347,1.0437043600190894,0.002792920592931347,1.0437043600190894,0.002792920592931347,1.0437043600190894,0.002792920592931347,1.0437043600190894
2010-03-19,0.0004101715257143,1.0441324578288331,0.00041017152571432014,1.0441324578288331,0.00041017152571432014,1.0441324578288331,0.00041017152571432014,1.0441324578288331,0.00041017152571432014,1.0441324578288331,0.00041017152571432014,1.0441324578288331,0.00041017152571432014,1.0441324578288331,0.00041017152571432014,1.0441324578288331,0.00041017152571432014,1.0441324578288331
2010-03-22,0.0033422592659329,1.0476222192108728,0.003342259265932901,1.0476222192108728,0.003342259265932901,1.0476222192108728,0.003342259265932901,1.0476222192108728,0.003342259265932901,1.0476222192108728,0.003342259265932901,1.0476222192108728,0.003342259265932901,1.0476222192108728,0.003342259265932901,1.0476222192108728,0.003342259265932901,1.0476222192108728
2010-03-23,0.0036300129394311,1.0514251014222438,0.0036300129394311043,1.0514251014222438,0.0036300129394311043,1.0514251014222438,0.0036300129394311043,1.0514251014222438,0.0036300129394311043,1.0514251014222438,0.0036300129394311043,1.0514251014222438,0.0036300129394311043,1.0514251014222438,0.0036300129394311043,1.0514251014222438,0.0036300129394311043,1.0514251014222438
2010-03-24,0.0002519169722945,1.0516899732503886,0.00025191697229454135,1.0516899732503886,0.00025191697229454135,1.0516899732503886,0.00025191697229454135,1.0516899732503886,0.00025191697229454135,1.0516899732503886,0.00025191697229454135,1.0516899732503886,0.00025191697229454135,1.0516899732503886,0.00025191697229454135,1.0516899732503886,0.00025191697229454135,1.0516899732503886
2010-03-25,0.006601258739677,1.0586324508777385,0.006601258739677096,1.0586324508777385,0.006601258739677096,1.0586324508777385,0.006601258739677096,1.0586324508777385,0.006601258739677096,1.0586324508777385,0.006601258739677096,1.0586324508777385,0.006601258739677096,1.0586324508777385,0.006601258739677096,1.0586324508777385,0.006601258739677096,1.0586324508777385
2010-03-26,-0.0050541003193678,1.0532820162696641,-0.005054100319367816,1.0532820162696641,-0.005054100319367816,1.0532820162696641,-0.005054100319367816,1.0532820162696641,-0.005054100319367816,1.0532820162696641,-0.005054100319367816,1.0532820162696641,-0.005054100319367816,1.0532820162696641,-0.005054100319367816,1.0532820162696641,-0.005054100319367816,1.0532820162696641
2010-03-29,-0.0015292107263151,1.0516713261125499,-0.0015292107263150667,1.0516713261125499,-0.0015292107263150667,1.0516713261125499,-0.0015292107263150667,1.0516713261125499,-0.0015292107263150667,1.0516713261125499,-0.0015292107263150667,1.0516713261125499,-0.0015292107263150667,1.0516713261125499,-0.0015292107263150667,1.0516713261125499,-0.0015292107263150667,1.0516713261125499
2010-03-30,0.0020606071996112,1.0538384076187621,0.0020606071996112085,1.0538384076187621,0.0020606071996112085,1.0538384076187621,0.0020606071996112085,1.0538384076187621,0.0020606071996112085,1.0538384076187621,0.0020606071996112085,1.0538384076187621,0.0020606071996112085,1.0538384076187621,0.0020606071996112085,1.0538384076187621,0.0020606071996112085,1.0538384076187621
2010-03-31,0.0032802570766026,1.0572952685129493,0.0032802570766026218,1.0572952685129493,0.0032802570766026218,1.0572952685129493,0.0032802570766026218,1.0572952685129493,0.0032802570766026218,1.0572952685129493,0.0032802570766026218,1.0572952685129493,0.0032802570766026218,1.0572952685129493,0.0032802570766026218,1.0572952685129493,0.0032802570766026218,1.0572952685129493
2010-04-01,-0.0043919796963047,1.0526516491606415,-0.004391979696304671,1.0526516491606415,-0.004391979696304671,1.0526516491606415,-0.004391979696304671,1.0526516491606415,-0.004391979696304671,1.0526516491606415,-0.004391979696304671,1.0526516491606415,-0.004391979696304671,1.0526516491606415,-0.004391979696304671,1.0526516491606415,-0.004391979696304671,1.0526516491606415
2010-04-02,0.0013191607134184,1.0540402658611292,0.0013191607134184213,1.0540402658611292,0.0013191607134184213,1.0540402658611292,0.0013191607134184213,1.0540402658611292,0.0013191607134184213,1.0540402658611292,0.0013191607134184213,1.0540402658611292,0.0013191607134184213,1.0540402658611292,0.0013191607134184213,1.0540402658611292,0.0013191607134184213,1.0540402658611292
2010-04-06,0.0061810700145448,1.0605553625425663,0.0061810700145448205,1.0605553625425663,0.0061810700145448205,1.0605553625425663,0.0061810700145448205,1.0605553625425663,0.0061810700145448205,1.0605553625425663,0.0061810700145448205,1.0605553625425663,0.0061810700145448205,1.0605553625425663,0.0061810700145448205,1.0605553625425663,0.0061810700145448205,1.0605553625425663
2010-04-07,0.0063552829055104,1.0672954919084805,0.006355282905510462,1.0672954919084805,0.006355282905510462,1.0672954919084805,0.006355282905510462,1.0672954919084805,0.006355282905510462,1.0672954919084805,0.006355282905510462,1.0672954919084805,0.006355282905510462,1.0672954919084805,0.006355282905510462,1.0672954919084805,0.006355282905510462,1.0672954919084805
2010-04-08,-0.0017153965763746,1.0654646568756805,-0.0017153965763746504,1.0654646568756805,-0.0017153965763746504,1.0654646568756805,-0.0017153965763746504,1.0654646568756805,-0.0017153965763746504,1.0654646568756805,-0.0017153965763746504,1.0654646568756805,-0.0017153965763746504,1.0654646568756805,-0.0017153965763746504,1.0654646568756805,-0.0017153965763746504,1.0654646568756805
2010-04-09,-0.0042941350987193,1.0608894076961457,-0.004294135098719343,1.0608894076961457,-0.004294135098719343,1.0608894076961457,-0.004294135098719343,1.0608894076961457,-0.004294135098719343,1.0608894076961457,-0.004294135098719343,1.0608894076961457,-0.004294135098719343,1.0608894076961457,-0.004294135098719343,1.0608894076961457,-0.004294135098719343,1.0608894076961457
