rank,symbol,name,rt_price,market_cap,target_weight,open_price,high_price,low_price,prev_close,amount,signal_date,effective_date
51,002207,准油股份,7.81,2046652502.0,0.01,7.71,7.89,7.55,7.99,273506842.0,2026-04-10,2026-04-03
52,002188,中天服务,6.26,2047670189.0,0.01,6.4,6.44,6.24,6.4,155766714.0,2026-04-10,2026-04-03
53,600448,华纺股份,3.26,2053212098.0,0.01,3.23,3.32,3.18,3.2,59954207.0,2026-04-10,2026-04-03
54,300106,西部牧业,9.74,2058376699.0,0.01,9.83,9.96,9.73,9.66,61051177.0,2026-04-10,2026-04-03
55,603779,威龙股份,6.2,2058913075.0,0.01,6.24,6.29,6.14,6.14,37212793.0,2026-04-10,2026-04-03
56,688695,中创股份,24.27,2064196944.0,0.01,24.39,24.64,24.22,24.16,26105673.0,2026-04-10,2026-04-03
57,300958,建工修复,13.17,2064220745.0,0.01,13.09,13.35,13.05,13.01,41971717.0,2026-04-10,2026-04-03
58,301336,趣睡科技,51.69,2067600000.0,0.01,51.39,52.26,51.17,51.17,29825249.54,2026-04-10,2026-04-03
59,603022,新通联,10.37,2074000000.0,0.01,10.35,10.5,10.27,10.22,32976418.0,2026-04-10,2026-04-03
60,300535,达威股份,19.4,2076185342.0,0.01,19.54,19.71,19.31,19.3,34525421.98,2026-04-10,2026-04-03
61,688193,仁度生物,51.87,2078424157.0,0.01,50.86,52.38,50.28,50.61,16290580.0,2026-04-10,2026-04-03
62,002910,庄园牧场,10.64,2080538652.0,0.01,10.75,10.85,10.63,10.71,35387441.0,2026-04-10,2026-04-03
63,301139,元道通信,17.12,2081463296.0,0.01,17.15,17.36,17.11,17.06,43371898.0,2026-04-10,2026-04-03
64,002820,桂发祥,10.37,2083004219.0,0.01,10.37,10.5,10.28,10.28,66047828.28,2026-04-10,2026-04-03
65,001336,楚环科技,26.0,2089711000.0,0.01,26.16,26.43,25.71,25.96,36252388.92,2026-04-10,2026-04-03
66,301030,仕净科技,10.33,2090619799.0,0.01,10.38,10.54,10.3,10.31,58219716.8,2026-04-10,2026-04-03
67,600847,万里股份,13.65,2092373010.0,0.01,12.96,13.7,12.96,12.81,66763257.0,2026-04-10,2026-04-03
68,301049,超越科技,22.2,2092424015.0,0.01,21.91,22.55,21.89,21.79,25224471.0,2026-04-10,2026-04-03
69,002316,亚联发展,5.33,2095329600.0,0.01,5.37,5.46,5.3,5.36,95217802.0,2026-04-10,2026-04-03
70,300081,ST恒信,3.47,2098640097.0,0.01,3.55,3.56,3.46,3.5,185831677.56,2026-04-10,2026-04-03
71,688573,信宇人,21.5,2101719342.0,0.01,19.52,23.29,19.52,19.41,243988324.0,2026-04-10,2026-04-03
72,300838,浙江力诺,15.24,2102784720.0,0.01,15.28,15.49,15.15,15.2,38965273.0,2026-04-10,2026-04-03
73,300614,百川畅银,13.13,2106586115.0,0.01,13.07,13.38,13.07,13.0,35713310.0,2026-04-10,2026-04-03
74,688466,金科环境,17.31,2114488371.0,0.01,17.16,17.56,17.15,17.09,20971819.0,2026-04-10,2026-04-03
75,688189,南新制药,7.71,2115624000.0,0.01,7.69,7.89,7.6,7.61,59440483.0,2026-04-10,2026-04-03
76,300013,新宁物流,3.79,2116180208.0,0.01,3.83,3.84,3.78,3.77,32800588.0,2026-04-10,2026-04-03
77,300717,华信新材,20.64,2121276000.0,0.01,20.68,20.78,20.4,20.41,35928055.0,2026-04-10,2026-04-03
78,300220,金运激光,14.03,2121336000.0,0.01,13.98,14.23,13.96,13.87,24839572.62,2026-04-10,2026-04-03
79,603908,牧高笛,22.78,2121432787.0,0.01,22.64,23.08,22.51,22.5,33508338.0,2026-04-10,2026-04-03
80,301372,科净源,30.94,2121600044.0,0.01,28.49,31.99,28.3,28.28,162768287.73,2026-04-10,2026-04-03
81,603860,中公高科,31.85,2123758000.0,0.01,31.58,32.23,31.36,31.36,44407388.0,2026-04-10,2026-04-03
82,603709,中源家居,16.99,2142051628.0,0.01,16.6,17.15,16.6,16.6,28730216.0,2026-04-10,2026-04-03
83,300823,建科智能,16.38,2145497068.0,0.01,16.35,16.78,16.33,16.29,38635944.2,2026-04-10,2026-04-03
84,000056,皇庭国际,1.82,2152201360.0,0.01,1.85,1.87,1.82,1.84,57667823.0,2026-04-10,2026-04-03
85,600303,曙光股份,3.15,2153353265.0,0.01,3.15,3.2,3.1,3.11,52612460.0,2026-04-10,2026-04-03
86,300556,丝路视觉,17.73,2155352999.0,0.01,17.64,17.9,17.64,17.47,40540060.0,2026-04-10,2026-04-03
87,688058,宝兰德,28.46,2158308042.0,0.01,28.56,29.17,28.4,28.29,30685781.0,2026-04-10,2026-04-03
88,002524,光正眼科,4.19,2159239295.0,0.01,4.21,4.26,4.16,4.2,66578053.0,2026-04-10,2026-04-03
89,688670,金迪克,17.55,2162160000.0,0.01,17.43,17.92,17.43,17.46,23980959.0,2026-04-10,2026-04-03
90,002963,豪尔赛,14.38,2162175793.0,0.01,14.73,14.9,14.2,14.65,44742181.08,2026-04-10,2026-04-03
91,300886,华业香料,28.97,2166898060.0,0.01,28.91,29.28,28.54,28.69,36637253.5,2026-04-10,2026-04-03
92,600137,浪莎股份,22.36,2173785268.0,0.01,22.13,22.75,21.93,22.13,95458934.0,2026-04-10,2026-04-03
93,300163,先锋新材,4.6,2180400000.0,0.01,4.65,4.67,4.59,4.62,91027405.0,2026-04-10,2026-04-03
94,300923,研奥股份,27.75,2181150000.0,0.01,27.58,28.01,27.43,27.25,39391601.42,2026-04-10,2026-04-03
95,002622,皓宸医疗,2.6,2184000000.0,0.01,2.6,2.66,2.57,2.59,37780370.0,2026-04-10,2026-04-03
96,605567,春雪食品,10.93,2186000000.0,0.01,10.9,11.03,10.75,10.85,33663072.0,2026-04-10,2026-04-03
97,688420,美腾科技,24.76,2189526800.0,0.01,24.4,24.89,24.4,24.26,17189031.0,2026-04-10,2026-04-03
98,600119,长江投资,6.02,2198927627.0,0.01,5.95,6.1,5.95,5.95,23284741.0,2026-04-10,2026-04-03
99,002227,奥 特 迅,8.88,2200518790.0,0.01,8.9,9.08,8.86,8.9,33728845.2,2026-04-10,2026-04-03
100,300675,建科院,15.02,2202933834.0,0.01,15.0,15.19,14.84,14.84,24651588.0,2026-04-10,2026-04-03
