action,symbol,name,prev_rank,new_rank,realtime_market_cap,realtime_price,signal_date,effective_date
enter,688701,卓锦股份,,1.0,1215210216.6000001,9.05,2026-04-02,2026-04-03
enter,688296,和达科技,,2.0,1460947856.3999999,13.54,2026-04-02,2026-04-03
enter,688659,元琛科技,,7.0,1526399999.9999998,9.54,2026-04-02,2026-04-03
enter,688217,睿昂基因,,11.0,1553352467.76,27.81,2026-04-02,2026-04-03
enter,300621,维业股份,,16.0,1656131332.0,7.96,2026-04-02,2026-04-03
enter,688671,碧兴物联,,17.0,1670882192.0,21.28,2026-04-02,2026-04-03
enter,688078,龙软科技,,20.0,1737040189.9999998,23.83,2026-04-02,2026-04-03
enter,300295,三六五网,,22.0,1765303677.3400002,9.31,2026-04-02,2026-04-03
enter,688528,秦川物联,,23.0,1779120000.0,10.59,2026-04-02,2026-04-03
enter,301372,科净源,,24.0,1790400037.3,26.11,2026-04-02,2026-04-03
enter,300500,启迪设计,,26.0,1805859140.22,10.38,2026-04-02,2026-04-03
enter,688067,爱威科技,,29.0,1829880000.0,26.91,2026-04-02,2026-04-03
enter,688565,力源科技,,30.0,1844673600.0,12.32,2026-04-02,2026-04-03
enter,688793,倍轻松,,31.0,1846107600.1200001,21.48,2026-04-02,2026-04-03
enter,688329,艾隆科技,,32.0,1847396000.0,23.93,2026-04-02,2026-04-03
enter,688573,信宇人,,33.0,1856355828.12,18.99,2026-04-02,2026-04-03
enter,688096,京源环保,,37.0,1876553011.8,7.95,2026-04-02,2026-04-03
enter,688681,科汇股份,,39.0,1894527000.0000002,18.1,2026-04-02,2026-04-03
enter,300670,大烨智能,,46.0,1936384126.69,6.11,2026-04-02,2026-04-03
exit,001211,双枪科技,26.0,,,,2026-04-02,2026-04-03
exit,600493,凤竹纺织,31.0,,,,2026-04-02,2026-04-03
exit,301336,趣睡科技,32.0,,,,2026-04-02,2026-04-03
exit,300535,达威股份,34.0,,,,2026-04-02,2026-04-03
exit,301049,超越科技,35.0,,,,2026-04-02,2026-04-03
exit,603022,新通联,36.0,,,,2026-04-02,2026-04-03
exit,603779,威龙股份,37.0,,,,2026-04-02,2026-04-03
exit,600448,华纺股份,39.0,,,,2026-04-02,2026-04-03
exit,002188,中天服务,40.0,,,,2026-04-02,2026-04-03
exit,001336,楚环科技,41.0,,,,2026-04-02,2026-04-03
exit,300614,百川畅银,42.0,,,,2026-04-02,2026-04-03
exit,300106,西部牧业,43.0,,,,2026-04-02,2026-04-03
exit,301024,霍普股份,44.0,,,,2026-04-02,2026-04-03
exit,688058,宝兰德,45.0,,,,2026-04-02,2026-04-03
exit,300717,华信新材,46.0,,,,2026-04-02,2026-04-03
exit,301273,瑞晨环保,47.0,,,,2026-04-02,2026-04-03
exit,300556,丝路视觉,48.0,,,,2026-04-02,2026-04-03
exit,600137,浪莎股份,49.0,,,,2026-04-02,2026-04-03
exit,300886,华业香料,50.0,,,,2026-04-02,2026-04-03
