序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
223,000066,上证商品,4067.43,0.0,-0.19,43307311,74573643074.0,1.18,4101.69,4053.78,4091.61,4067.62,0.92
224,000022,沪公司债,255.71,0.0,0.01,414081,414618742.0,0.0,255.72,255.71,255.71,255.7,0.29
225,000937,800公用,2595.29,-0.01,-0.19,29663095,18980974204.0,0.82,2610.16,2588.99,2602.63,2595.48,0.86
226,000909,300材料,4381.34,-0.02,-1.04,35218185,69528008675.0,1.47,4432.7,4368.24,4416.13,4382.38,0.96
227,000979,大宗商品,7591.07,-0.04,-3.1,64746088,130242119029.0,1.38,7671.11,7566.24,7625.59,7594.17,0.94
228,000821,300红利,6746.58,-0.04,-2.62,28491936,34963729125.0,0.45,6763.5,6733.29,6750.4,6749.2,0.74
229,000152,上央红利,2933.47,-0.06,-1.74,23020540,21118489335.0,0.62,2949.36,2931.16,2949.36,2935.21,0.8
230,000929,800材料,4883.77,-0.06,-2.8,65452952,133353924628.0,1.45,4946.88,4876.24,4916.96,4886.57,1.01
231,000105,380材料,6058.21,-0.06,-3.72,18137046,31541924106.0,1.52,6140.06,6048.13,6106.41,6061.93,1.0
232,000149,180红利,4138.37,-0.08,-3.14,21526495,24917425826.0,0.45,4149.48,4130.95,4142.64,4141.51,0.73
233,000125,180稳定,11732.96,-0.08,-9.68,50269793,83761324012.0,0.36,11758.49,11715.63,11757.18,11742.64,0.82
234,000820,煤炭指数,4911.38,-0.1,-4.9,12559950,9002534380.0,1.39,4946.78,4878.49,4908.44,4916.28,0.8
235,000160,沪新丝路,2392.69,-0.1,-2.42,73000033,109755617734.0,0.93,2412.94,2390.75,2409.34,2395.11,0.87
236,000854,500原料,6679.77,-0.11,-7.12,30234767,63825915953.0,1.82,6778.18,6656.47,6713.8,6686.89,1.07
237,000033,上证材料,3941.34,-0.11,-4.22,41431900,71581264215.0,1.31,3988.05,3936.41,3978.84,3945.56,0.95
238,000805,A股资源,8149.65,-0.13,-10.94,37090526,94372035541.0,1.51,8252.26,8129.18,8195.71,8160.59,0.91
239,000092,资源50,5455.61,-0.13,-7.02,31514996,75700568824.0,1.11,5502.23,5441.7,5487.5,5462.63,0.88
240,000007,公用指数,4699.62,-0.15,-7.17,53710118,35712959125.0,0.74,4729.25,4694.4,4725.29,4706.79,0.91
241,000961,中证上游,5599.96,-0.16,-9.17,36011412,100788069612.0,1.36,5667.66,5591.47,5637.26,5609.13,0.95
242,000917,300公用,2442.73,-0.17,-4.12,9515194,7216234568.0,0.6,2453.05,2438.26,2450.57,2446.85,0.84
243,000134,上证银行,978.81,-0.18,-1.75,17296841,14175476475.0,0.3,981.11,978.13,980.87,980.56,0.71
244,000136,180低贝,12709.49,-0.2,-25.26,33674453,36080191894.0,0.36,12741.62,12695.2,12741.05,12734.75,0.77
245,000825,央企红利,3578.19,-0.2,-7.09,33753468,34125954301.0,0.66,3598.8,3575.28,3598.8,3585.28,0.82
246,000145,优势资源,9224.96,-0.24,-22.53,25803396,61612851652.0,1.19,9327.63,9217.99,9311.92,9247.49,0.96
247,000990,全指消费,12029.83,-0.25,-29.79,6965948,20952884571.0,0.72,12097.0,12009.95,12080.47,12059.62,0.85
248,000032,上证能源,2312.95,-0.25,-5.7,19660325,18160394422.0,1.15,2325.93,2299.26,2304.59,2318.65,0.68
249,000068,上证资源,4532.46,-0.26,-11.86,32938808,67546312232.0,1.07,4575.81,4527.36,4566.82,4544.32,0.88
250,000944,内地资源,5860.65,-0.26,-15.2,36425678,100478156442.0,1.27,5931.0,5856.59,5905.31,5875.85,0.97
251,000932,中证消费,14324.54,-0.27,-38.98,6356977,19260789673.6,0.78,14408.57,14297.15,14390.24,14363.52,0.85
252,000832,中证转债,504.88,-0.3,-1.5,41177596,78565174340.0,1.5,512.41,504.81,508.2,506.38,1.07
253,000071,材料等权,5457.11,-0.32,-17.51,41431900,71581264215.0,1.5,5533.7,5451.76,5521.02,5474.62,0.95
254,000094,上证上游,4961.68,-0.32,-15.73,32504841,66845427707.0,1.12,5015.71,4960.0,5006.62,4977.41,0.88
255,000811,细分有色,12332.37,-0.35,-43.64,33097537,92595315860.0,1.74,12523.92,12308.5,12466.68,12376.01,1.02
256,000139,上证转债,436.11,-0.35,-1.52,25228150,47907620042.0,1.57,442.89,436.01,439.08,437.63,1.06
257,000026,180资源,5968.36,-0.39,-23.31,16721399,41685825802.0,1.07,6029.79,5965.63,6024.15,5991.67,0.92
258,000912,300消费,20182.13,-0.43,-86.2,2244651,14201658669.0,0.66,20281.6,20147.03,20281.6,20268.33,0.97
259,000819,有色金属,10176.81,-0.44,-44.82,31873691,91432199127.3,1.74,10339.47,10161.34,10289.37,10221.63,1.02
260,000823,800有色,11820.23,-0.46,-55.03,29790097,84458334695.0,1.73,12009.08,11803.85,11947.77,11875.26,1.02
261,000908,300能源,2724.15,-0.52,-14.18,5324043,8439331135.0,0.85,2738.4,2715.13,2723.87,2738.33,0.72
262,000122,农业主题,1739.4,-0.6,-10.45,6625773,6434388059.0,0.98,1754.97,1737.85,1752.5,1749.85,0.84
263,000945,内地运输,1487.97,-0.6,-9.03,17304842,15784992636.0,1.24,1504.04,1485.5,1502.5,1497.0,1.0
264,000949,中证农业,5825.91,-0.73,-43.02,11580258,16775576402.0,1.04,5880.32,5819.4,5879.21,5868.93,0.83
265,000027,180运输,797.71,-0.88,-7.08,6805549,7934062704.0,1.46,807.11,795.33,805.92,804.79,0.94
266,000078,电信等权,4043.63,-0.99,-40.27,15925377,60971029645.0,1.52,4096.12,4034.18,4096.12,4083.9,1.16
267,000040,上证电信,4654.35,-1.4,-65.94,15925377,60971029645.0,1.95,4731.87,4639.72,4731.87,4720.29,1.16
268,000112,380电信,8213.78,-2.13,-178.84,5949180,36732198579.0,2.54,8395.81,8182.76,8395.81,8392.62,1.15
