序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
23,000158,上证环保,1389.53,1.86,25.32,19780333,33930428473.0,2.08,1403.01,1374.7,1377.69,1364.21,0.92
24,000891,新兴综指,1995.19,1.86,36.39,446876756,1351869275917.0,1.59,2006.61,1975.49,1975.49,1958.8,1.09
25,000936,800通信,11742.04,1.85,213.39,39833780,161107858710.0,2.66,11826.12,11519.84,11588.43,11528.65,1.17
26,000682,科创信息,2086.96,1.84,37.63,6479958,83361917948.0,1.61,2113.04,2080.12,2080.12,2049.33,1.13
27,000689,科创材料,1323.16,1.82,23.67,4646266,23709522736.0,1.88,1335.03,1310.58,1310.58,1299.49,1.18
28,000856,500工业,8050.49,1.78,140.64,48761654,115283888318.0,2.2,8151.18,7977.52,7977.52,7909.85,1.22
29,000690,科创成长,2062.61,1.78,35.98,3994420,45815673096.0,1.69,2081.96,2047.61,2047.75,2026.63,1.11
30,000097,高端装备,12568.51,1.77,218.37,31337175,166053793014.0,1.46,12716.37,12535.81,12535.81,12350.14,1.15
31,000994,全指通信,13164.51,1.76,228.05,46002360,193590503865.0,2.64,13261.1,12918.96,13002.62,12936.46,1.14
32,000077,信息等权,6233.16,1.72,105.16,15946001,119657670870.0,1.39,6311.08,6225.67,6225.67,6128.0,1.21
33,000161,沪中国造,1822.81,1.69,30.36,43511882,113015047537.0,1.62,1837.82,1808.71,1808.71,1792.45,1.08
34,000111,380信息,10739.21,1.65,174.61,7201434,48074112043.0,1.75,10908.44,10723.98,10723.98,10564.6,1.16
35,000146,优势制造,8284.86,1.63,132.59,22124944,59290950982.0,1.44,8365.28,8248.08,8248.08,8152.27,1.07
36,000137,380高贝,6383.59,1.62,101.99,17334941,86816086344.0,1.54,6452.14,6355.2,6355.2,6281.6,1.16
37,000903,中证A100,4521.71,1.55,69.23,93848328,331559346078.9,1.56,4543.5,4473.9,4479.46,4452.48,1.08
38,000971,等权90,3297.78,1.53,49.82,80126995,374176401306.0,1.44,3312.47,3265.84,3266.83,3247.96,1.17
39,000688,科创50,1364.32,1.52,20.37,8365241,74668617578.0,1.53,1382.94,1362.4,1363.58,1343.95,1.05
40,000300,沪深300,4635.31,1.51,69.09,206027853,618518219054.2,1.42,4655.1,4590.11,4594.95,4566.22,1.08
