序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301696,N三瑞,91.57,271.03,66.89,243536.0,2286984128.8,67.95,102.5,85.73,90.0,24.68,,80.95,86.93,28.43,36628915700.0,2754732726.0,-0.9,-2.49,271.03,271.03
2,688811,N有研,17.15,167.55,10.74,705881.0,1284549929.0,57.72,20.5,16.8,20.01,6.41,,76.62,124.87,7.9,8603702326.0,1579962564.0,0.29,0.06,167.55,167.55
3,920181,N赛英,62.1,121.79,34.1,89865.0,566331450.95,30.71,68.6,60.0,60.0,28.0,,89.69,30.46,4.29,2682720000.0,622242000.0,0.58,0.55,121.79,121.79
4,920237,力佳科技,23.67,28.02,5.18,105175.0,244284887.11,29.85,24.03,18.51,18.51,18.49,14.76,12.41,49.41,3.91,2044917576.0,2006215351.0,-0.08,-0.08,-7.18,1.37
5,688690,纳微科技,31.54,20.02,5.26,223256.0,697137766.0,6.13,31.54,29.93,30.0,26.28,5.9,5.53,93.64,6.63,12736317688.0,12736317688.0,0.0,0.0,17.55,22.2
6,300131,英唐智控,15.42,20.0,2.57,2550944.0,3736452375.38,18.99,15.42,12.98,13.0,12.85,3.36,24.47,503.51,9.9,17502000459.0,16071765097.0,1.31,0.0,-1.72,5.18
7,688478,晶升股份,35.88,20.0,5.98,108213.0,371797408.0,18.73,35.88,30.28,30.49,29.9,7.1,10.46,-141.45,3.29,4964575524.0,3710331640.0,0.0,0.0,-9.71,-4.09
8,300561,*ST汇科,13.57,19.98,2.26,13960.0,18943652.15,0.0,13.57,13.57,13.57,11.31,0.12,0.58,-291.25,7.64,4452425221.0,3271151279.0,0.0,0.0,-28.54,-7.75
9,301189,奥尼电子,57.25,14.68,7.33,99884.0,554418589.13,15.77,57.88,50.01,50.01,49.92,2.78,8.94,-55.51,3.17,6663697621.0,6398138229.0,0.07,-0.17,31.13,31.64
10,300207,欣旺达,28.6,14.58,3.64,2875035.0,8267920740.22,16.79,29.95,25.76,25.85,24.96,4.67,16.78,28.2,2.12,52837425956.0,49015744063.0,0.14,-0.14,10.6,9.37
11,300468,四方精创,33.82,12.36,3.72,846495.0,2798754243.41,17.24,35.45,30.26,30.48,30.1,2.38,15.98,241.54,10.92,17946558481.0,17918083461.0,0.15,-0.06,-3.81,-12.9
12,301055,张小泉,25.91,12.07,2.79,129418.0,323261568.82,15.79,26.74,23.09,23.1,23.12,2.54,8.3,79.83,6.18,4041960000.0,4041960000.0,0.54,0.27,25.84,32.13
13,301246,宏源药业,25.02,11.95,2.67,402852.0,943418380.06,14.59,25.17,21.91,22.31,22.35,1.94,23.69,-6822.76,2.31,10008170136.0,4255337799.0,1.05,0.08,9.74,0.08
14,301369,联动科技,161.09,11.88,17.1,33854.0,537699762.73,12.33,164.97,147.22,155.58,143.99,3.64,9.31,338.84,7.52,11368990864.0,5857779784.0,-0.07,-0.11,20.37,20.31
15,688046,药康生物,18.88,11.32,1.92,178163.0,324350132.0,15.8,19.48,16.8,16.8,16.96,1.7,4.35,53.61,3.46,7740800000.0,7740800000.0,0.59,0.91,11.45,22.92
16,688573,信宇人,21.6,11.28,2.19,107467.0,239702901.0,19.42,23.29,19.52,19.52,19.41,6.81,20.19,-4.47,6.69,2111494781.0,1149470460.0,-0.09,0.0,-10.0,-5.22
17,300866,安克创新,116.25,11.14,11.65,137356.0,1549870298.54,11.06,118.28,106.71,106.71,104.6,2.51,4.47,24.49,5.92,62328476891.0,35749665000.0,-0.04,0.17,6.99,1.63
18,300355,蒙草生态,4.04,10.68,0.39,2057433.0,871607346.48,9.86,4.38,4.02,4.17,3.65,11.46,15.85,65.37,1.51,6481138007.0,5245814590.0,-0.25,-0.49,-0.49,0.0
19,300868,杰美特,63.31,10.55,6.04,93052.0,562987045.42,21.23,66.66,54.5,57.38,57.27,2.05,11.52,-241.85,5.37,8100641120.0,5113137248.0,-0.17,-0.38,93.02,99.72
20,300489,光智科技,67.85,10.43,6.41,298459.0,1980606867.13,13.07,69.42,61.39,61.39,61.44,2.8,21.53,-284.4,14.76,9441859105.0,9407299436.0,0.22,0.13,31.98,33.56
21,301197,工大科雅,26.22,10.4,2.47,172570.0,459946580.72,10.11,27.98,25.58,27.04,23.75,3.99,15.87,-109.85,2.46,3160558800.0,2851405335.0,0.15,0.11,25.57,25.82
