action,symbol,name,prev_rank,new_rank,signal_date,effective_date
enter,688021,奥福科技,,18.0,2026-04-02,2026-04-03
enter,600847,万里股份,,22.0,2026-04-02,2026-04-03
enter,300169,天晟新材,,23.0,2026-04-02,2026-04-03
enter,002715,登云股份,,30.0,2026-04-02,2026-04-03
enter,301336,趣睡科技,,32.0,2026-04-02,2026-04-03
enter,000610,西安旅游,,33.0,2026-04-02,2026-04-03
enter,300535,达威股份,,34.0,2026-04-02,2026-04-03
enter,301049,超越科技,,35.0,2026-04-02,2026-04-03
enter,603022,新通联,,36.0,2026-04-02,2026-04-03
enter,603779,威龙股份,,37.0,2026-04-02,2026-04-03
enter,002591,恒大高新,,38.0,2026-04-02,2026-04-03
enter,002188,中天服务,,40.0,2026-04-02,2026-04-03
enter,001336,楚环科技,,41.0,2026-04-02,2026-04-03
enter,300614,百川畅银,,42.0,2026-04-02,2026-04-03
enter,300106,西部牧业,,43.0,2026-04-02,2026-04-03
enter,301024,霍普股份,,44.0,2026-04-02,2026-04-03
enter,688058,宝兰德,,45.0,2026-04-02,2026-04-03
enter,300717,华信新材,,46.0,2026-04-02,2026-04-03
enter,301273,瑞晨环保,,47.0,2026-04-02,2026-04-03
enter,300556,丝路视觉,,48.0,2026-04-02,2026-04-03
enter,600137,浪莎股份,,49.0,2026-04-02,2026-04-03
enter,300886,华业香料,,50.0,2026-04-02,2026-04-03
exit,688701,卓锦股份,1.0,,2026-04-02,2026-04-03
exit,688296,和达科技,5.0,,2026-04-02,2026-04-03
exit,688217,睿昂基因,7.0,,2026-04-02,2026-04-03
exit,688659,元琛科技,10.0,,2026-04-02,2026-04-03
exit,688793,倍轻松,15.0,,2026-04-02,2026-04-03
exit,688671,碧兴物联,16.0,,2026-04-02,2026-04-03
exit,300621,维业股份,18.0,,2026-04-02,2026-04-03
exit,301372,科净源,21.0,,2026-04-02,2026-04-03
exit,688067,爱威科技,23.0,,2026-04-02,2026-04-03
exit,688528,秦川物联,24.0,,2026-04-02,2026-04-03
exit,688078,龙软科技,25.0,,2026-04-02,2026-04-03
exit,688329,艾隆科技,27.0,,2026-04-02,2026-04-03
exit,300295,三六五网,32.0,,2026-04-02,2026-04-03
exit,688573,信宇人,35.0,,2026-04-02,2026-04-03
exit,688193,仁度生物,39.0,,2026-04-02,2026-04-03
exit,688565,力源科技,40.0,,2026-04-02,2026-04-03
exit,300500,启迪设计,41.0,,2026-04-02,2026-04-03
exit,688681,科汇股份,42.0,,2026-04-02,2026-04-03
exit,688096,京源环保,45.0,,2026-04-02,2026-04-03
exit,603860,中公高科,46.0,,2026-04-02,2026-04-03
exit,688156,路德科技,49.0,,2026-04-02,2026-04-03
exit,688189,南新制药,50.0,,2026-04-02,2026-04-03
