symbol,code,name,change_date,total_shares
sh600162,600162,香江控股,2025-07-02,3268438122.0
sh600163,600163,中闽能源,2025-06-30,1902996142.9999998
sh600166,600166,福田汽车,2025-09-03,7917400367.000001
sh600167,600167,联美控股,2025-06-30,2262840463.0
sh600168,600168,武汉控股,2025-12-31,993397568.9999999
sh600170,600170,上海建工,2025-06-30,8885939744.0
sh600171,600171,上海贝岭,2025-06-30,708923303.0
sh600172,600172,黄河旋风,2025-06-30,1442184476.0000002
sh600173,600173,卧龙新能,2025-12-31,700506244.0
sh600176,600176,中国巨石,2025-12-31,4003136728.0
sh600177,600177,XD雅戈尔,2026-01-09,4623441902.0
sh600178,600178,东安动力,2025-06-30,466476161.0
sh600179,600179,安通控股,2025-12-31,4231526979.0000005
sh600180,600180,瑞茂通,2025-06-30,1086627464.0
sh600182,600182,S佳通,2025-06-30,340000000.0
sh600183,600183,生益科技,2025-10-31,2429119230.0
sh600184,600184,光电股份,2026-01-19,582727468.0
sh600185,600185,珠免集团,2025-06-30,1885005795.0
sh600186,600186,莲花控股,2026-02-13,1792764641.0000002
sh600187,600187,国中水务,2025-06-30,1613781103.0
sh600188,600188,兖矿能源,2026-03-17,10037480544.0
sh600189,600189,泉阳泉,2025-06-30,715197812.0
sh600191,600191,华资实业,2025-06-30,484932000.0
sh600192,600192,长城电工,2025-06-30,441748000.0
sh600195,600195,中牧股份,2025-06-30,1021148260.0
sh600196,600196,复星医药,2025-12-31,2670429325.0
sh600197,600197,伊力特,2025-06-30,473174717.0
sh600198,600198,大唐电信,2025-06-30,1303603541.0
sh600199,600199,金种子酒,2025-06-30,657796824.0
sh600201,600201,生物股份,2025-10-29,1111747826.0
sh600202,600202,哈空调,2025-06-30,383340672.0
sh600203,600203,福日电子,2025-06-30,592988082.0
sh600206,600206,有研新材,2025-06-30,846553331.9999999
sh600207,600207,安彩高科,2025-06-30,1089312554.0
sh600208,600208,衢州发展,2025-07-02,8508940800.0
sh600210,600210,紫江企业,2025-06-30,1516736158.0
sh600211,600211,西藏药业,2025-12-31,322319196.0
sh600212,600212,绿能慧充,2026-01-27,704150212.9999999
sh600215,600215,派斯林,2025-11-19,456882880.0
sh600216,600216,浙江医药,2026-01-05,961637750.0
sh600217,600217,中再资环,2025-06-30,1657653673.0000002
sh600218,600218,全柴动力,2025-12-31,435599919.0
sh600219,600219,南山铝业,2025-12-31,11483701558.999998
sh600221,600221,海航控股,2025-12-26,43215632535.0
sh600222,600222,太龙药业,2025-06-30,573886283.0
sh600223,600223,福瑞达,2025-06-30,1016568775.0
sh600226,600226,亨通股份,2025-06-30,2974381224.0
sh600227,600227,赤天化,2025-06-30,1688727685.0
sh600229,600229,城市传媒,2025-07-02,660707784.0
sh600230,600230,沧州大化,2025-06-30,413961015.0
sh600231,600231,凌钢股份,2025-12-31,2849624158.0
sh600232,600232,金鹰股份,2025-06-30,364718543.99999994
sh600233,600233,圆通速递,2025-12-31,3422574671.0
sh600234,600234,科新发展,2025-06-30,262520973.0
sh600235,600235,民丰特纸,2025-12-31,351300000.0
