candidate,version,target_vol,vol_window,max_leverage,scale_threshold,financing_rate,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,final_nav,holding_days,holding_day_ratio,avg_execution_scale,max_execution_scale,cap_clipped_days,cap_clipped_ratio,avg_target_vol_turnover,cost_total,cost_days
v2_0_tv10,v2.0,0.1,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.22268937664662114,0.09130178951671704,2.43904722815808,-0.15979861609147783,25.156145616504627,2908,0.748712667353244,0.7155539600634119,1.5,523,0.13465499485066942,0.004868517176054127,1.4341798849454017,1588
v2_0_tv10,v2.0,0.1,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.1857630351168884,0.08961582540460639,2.072882041516519,-0.08341992585921743,5.493862401801873,1780,0.7367549668874173,0.5822031242482284,1.467716618067599,97,0.04014900662251655,0.0037043479348521703,0.7848629254405345,664
v2_0_tv10,v2.0,0.1,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.14254733065083314,0.08986167966611201,1.5862971978765446,-0.08033361998696598,1.9468450500711167,889,0.7408333333333333,0.4393452323256123,0.8536894831736956,0,0.0,0.001910663344357794,0.38160584655557894,158
v2_0_tv10,v2.0,0.1,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.152663810670286,0.08508999256676669,1.794145305048615,-0.08033361998696598,1.5304260249773447,538,0.7535014005602241,0.41501602478669075,0.8132701492362645,0,0.0,0.0016938627331674835,0.2086848347696081,94
v2_0_tv10,v2.0,0.1,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.05983442077066847,0.07495794650007419,0.798239860674535,-0.06559707061873199,1.0597922656691539,149,0.6422413793103449,0.33555255432986186,0.6800315695803684,0,0.0,0.001937782096304836,0.07955582503741425,31
v2_0_tv12,v2.0,0.12,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.25662806307390595,0.10485600976735733,2.4474330431158244,-0.16690969592657534,39.02853647998578,2908,0.748712667353244,0.8119206359247307,1.5,1065,0.27420185375901135,0.0044432093393119146,1.539940134844801,1863
v2_0_tv12,v2.0,0.12,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.21253856408986338,0.10511263193538534,2.022007823194026,-0.10084245982208351,6.868169851322348,1780,0.7367549668874173,0.6807961699768714,1.5,219,0.09064569536423842,0.004530016150098694,0.8556268831622118,874
v2_0_tv12,v2.0,0.12,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.17215442154838478,0.10744787164158268,1.602213416778006,-0.0968493155267307,2.212467669124632,889,0.7408333333333333,0.527835752030882,1.0244273798084347,0,0.0,0.0036172519033015106,0.4111595156797554,203
v2_0_tv12,v2.0,0.12,60,1.5,0.1,0.03,last_3y,2023-05-22,2026-05-20,714,0.18985433776059368,0.10297817037344216,1.8436367345826985,-0.0968493155267307,1.6831378477482861,538,0.7535014005602241,0.503035623705266,1.0188123191208396,0,0.0,0.004136820129896852,0.2244998745929377,102
v2_0_tv12,v2.0,0.12,60,1.5,0.1,0.03,last_1y,2025-05-20,2026-05-20,232,0.06743400380506182,0.09203113603129075,0.7327303205529717,-0.07870799612836588,1.0673863264132588,149,0.6422413793103449,0.4136913485417132,0.9175854242236473,0,0.0,0.0023124473972955823,0.08552118850346493,31
v2_0_tv15,v2.0,0.15,60,1.5,0.1,0.03,full,2010-05-05,2026-05-20,3884,0.29431413898142944,0.12233201260441787,2.405863622412116,-0.17944351121831914,62.69549648012659,2908,0.748712667353244,0.916735518700019,1.5,1710,0.44026776519052524,0.003954664651843164,1.6599250278893485,2386
v2_0_tv15,v2.0,0.15,60,1.5,0.1,0.03,last_10y,2016-05-20,2026-05-20,2416,0.24939679989224306,0.12748678650814915,1.9562560695362827,-0.12601405886636674,9.265556673869883,1780,0.7367549668874173,0.8166171951488715,1.5,547,0.22640728476821192,0.0043035661859048,0.9586858634451612,1319
v2_0_tv15,v2.0,0.15,60,1.5,0.1,0.03,last_5y,2021-05-20,2026-05-20,1200,0.2114296634826005,0.13458500350272015,1.5709749079014381,-0.12079934870491471,2.608759263326507,889,0.7408333333333333,0.6644317943074236,1.3439703757003025,0,0.0,0.004716833683213838,0.4606014455934013,475
