candidate,version,target_vol,vol_window,max_leverage,scale_threshold,financing_rate,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_execution_scale_full,avg_execution_scale_last_10y,avg_execution_scale_last_1y,avg_execution_scale_last_3y,avg_execution_scale_last_5y,max_execution_scale_full,max_execution_scale_last_10y,max_execution_scale_last_1y,max_execution_scale_last_3y,max_execution_scale_last_5y,cap_clipped_ratio_full,cap_clipped_ratio_last_10y,cap_clipped_ratio_last_1y,cap_clipped_ratio_last_3y,cap_clipped_ratio_last_5y,avg_target_vol_turnover_full,avg_target_vol_turnover_last_10y,avg_target_vol_turnover_last_1y,avg_target_vol_turnover_last_3y,avg_target_vol_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,cost_days_full,cost_days_last_10y,cost_days_last_1y,cost_days_last_3y,cost_days_last_5y
v2_0_tv12,v2.0,0.12,60,1.5,0.1,0.03,0.25662806307390595,0.21253856408986338,0.06743400380506182,0.18985433776059368,0.17215442154838478,0.10485600976735733,0.10511263193538534,0.09203113603129075,0.10297817037344216,0.10744787164158268,2.4474330431158244,2.022007823194026,0.7327303205529717,1.8436367345826985,1.602213416778006,-0.16690969592657534,-0.10084245982208351,-0.07870799612836588,-0.0968493155267307,-0.0968493155267307,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,0.8119206359247307,0.6807961699768714,0.4136913485417132,0.503035623705266,0.527835752030882,1.5,1.5,0.9175854242236473,1.0188123191208396,1.0244273798084347,0.27420185375901135,0.09064569536423842,0.0,0.0,0.0,0.0044432093393119146,0.004530016150098694,0.0023124473972955823,0.004136820129896852,0.0036172519033015106,1.539940134844801,0.8556268831622118,0.08552118850346493,0.2244998745929377,0.4111595156797554,1863,874,31,102,203
v2_0_tv10,v2.0,0.1,60,1.5,0.1,0.03,0.22268937664662114,0.1857630351168884,0.05983442077066847,0.152663810670286,0.14254733065083314,0.09130178951671704,0.08961582540460639,0.07495794650007419,0.08508999256676669,0.08986167966611201,2.43904722815808,2.072882041516519,0.798239860674535,1.794145305048615,1.5862971978765446,-0.15979861609147783,-0.08341992585921743,-0.06559707061873199,-0.08033361998696598,-0.08033361998696598,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,0.7155539600634119,0.5822031242482284,0.33555255432986186,0.41501602478669075,0.4393452323256123,1.5,1.467716618067599,0.6800315695803684,0.8132701492362645,0.8536894831736956,0.13465499485066942,0.04014900662251655,0.0,0.0,0.0,0.004868517176054127,0.0037043479348521703,0.001937782096304836,0.0016938627331674835,0.001910663344357794,1.4341798849454017,0.7848629254405345,0.07955582503741425,0.2086848347696081,0.38160584655557894,1588,664,31,94,158
v2_0_tv15,v2.0,0.15,60,1.5,0.1,0.03,0.29431413898142944,0.24939679989224306,0.08446191573986717,0.23375201557854153,0.2114296634826005,0.12233201260441787,0.12748678650814915,0.11540177052336441,0.12921521237429975,0.13458500350272015,2.405863622412116,1.9562560695362827,0.7318944532377594,1.8090131284343547,1.5709749079014381,-0.17944351121831914,-0.12601405886636674,-0.0980882581563558,-0.1207993487049146,-0.12079934870491471,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,0.916735518700019,0.8166171951488715,0.5185296455103912,0.63223770481318,0.6644317943074236,1.5,1.5,1.127804176481935,1.3439703757003025,1.3439703757003025,0.44026776519052524,0.22640728476821192,0.0,0.0,0.0,0.003954664651843164,0.0043035661859048,0.002945904379817158,0.005408585330546503,0.004716833683213838,1.6599250278893485,0.9586858634451612,0.09410271913747839,0.2501897962282206,0.4606014455934013,2386,1319,56,265,475
v2_0_tv18,v2.0,0.18,60,1.5,0.1,0.03,0.3189527242855428,0.27361865094538684,0.09803050997531959,0.27902715308197257,0.25122162523645364,0.13578128338718712,0.14562410981429688,0.13844700934475043,0.15398702206505932,0.15995267451435566,2.349018335436064,1.8789378441132547,0.7080724274166972,1.8120173332794496,1.5705997164424197,-0.17944351121831914,-0.15047113904175724,-0.11712921093081463,-0.14461444605640417,-0.1446144460564046,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,0.9864781702826154,0.9143150238999256,0.6222730514207349,0.7528082697144706,0.7890601399998246,1.5,1.5,1.353365011778322,1.5,1.5,0.5514933058702368,0.36961920529801323,0.0,0.056022408963585436,0.06416666666666666,0.003338812886017453,0.0040532565757843576,0.0035350852557805884,0.006500213514951308,0.006030226995367732,1.7484621584682265,1.0427429343172299,0.10321980254458668,0.2768920161565924,0.513405156660502,2562,1443,60,270,553
v2_0_tv20,v2.0,0.2,60,1.5,0.1,0.03,0.331259037510929,0.2863276342406744,0.1075416408050982,0.3012253711506607,0.2720271469833335,0.14277575909789486,0.15504940701201803,0.15378247187339844,0.16442270121455582,0.17295118006963361,2.3201350117410318,1.8466864192423573,0.699310132650436,1.8320181393783974,1.5728551078622877,-0.17944351121831914,-0.16644021325296576,-0.1296432481181421,-0.14488928415857805,-0.1448892841585777,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,1.0178727044915146,0.9594927374052606,0.6913714285511329,0.8049553386386226,0.8513945254398697,1.5,1.5,1.5,1.5,1.5,0.6261585993820803,0.46771523178807944,0.017241379310344827,0.14985994397759103,0.16083333333333333,0.0022435482041903293,0.002634400102365946,0.0038988637841959614,0.004221994325954935,0.0042497106898002875,1.7902274798604263,1.0830352445319225,0.10946353713463172,0.2887216083733596,0.5408704993457678,2692,1566,115,360,676
v2_0_tv22,v2.0,0.22,60,1.5,0.1,0.03,0.339570309176382,0.29451276610781085,0.11640140011544498,0.3209908689404286,0.28717962741157543,0.1494050237209769,0.16393924518393074,0.16590234744103657,0.17760040142855085,0.18642076803505067,2.2728172100193267,1.7964750647557506,0.7016259981301063,1.8073769336020569,1.5404916010086396,-0.17944351121831914,-0.17550488486277516,-0.14202620513184416,-0.15370882627435478,-0.15370882627435434,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,1.0452821460622554,0.9990422783995939,0.7487179015575819,0.8670049020230359,0.9138676901130938,1.5,1.5,1.4960694530768104,1.5,1.5,0.7273429454170958,0.6158940397350994,0.12931034482758622,0.26750700280112044,0.3275,0.0018112351108035653,0.002106991368912813,0.0034754494594791993,0.0037834917300265058,0.0035207250449117854,1.8271888267219838,1.118221480643705,0.1155706758229771,0.30431920766286613,0.5677875718305246,2841,1715,141,436,800
v2_0_tv25,v2.0,0.25,60,1.5,0.1,0.03,0.35387953645793635,0.3077299348862321,0.12737250417041168,0.34856960418112437,0.3127747404144652,0.15602239540360624,0.1721363486529187,0.182108937813826,0.19190802451505667,0.1992634473628765,2.268132953237282,1.7877103661976295,0.6994302734368119,1.816336784571384,1.5696543673906962,-0.18333843538827044,-0.1833384353882711,-0.16040697565467754,-0.1604069756546782,-0.16040697565467787,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,1.0707559852845456,1.0312016069755934,0.8252154341159904,0.9299874811673036,0.9695938015575013,1.5,1.5,1.5,1.5,1.5,0.7754891864057673,0.6858443708609272,0.16379310344827586,0.2927170868347339,0.4091666666666667,0.0013628476721813275,0.0016491676094251384,0.002397037906842259,0.004046773775351956,0.0029771068872406865,1.863956515421812,1.1513387555650036,0.12393315637632199,0.32298266514329593,0.5952567374140099,2891,1765,156,486,850
v2_0_tv28,v2.0,0.28,60,1.5,0.1,0.03,0.361492787600594,0.31852940871669233,0.1385414562640599,0.37501284607780083,0.3301985200028008,0.16112623272682225,0.17928151151449015,0.1973217073055158,0.2067714041864522,0.21082556890785467,2.243537762181026,1.7766997055407339,0.7021095557903031,1.813659135088332,1.5662166677094103,-0.18707993046423632,-0.1870799304642362,-0.17847454961113451,-0.17847454961113474,-0.17847454961113474,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,1.089034389010003,1.0593168737230345,0.8985722908894126,0.9912784147744222,1.0213286851464598,1.5,1.5,1.5,1.5,1.5,0.8300720906282183,0.7549668874172185,0.24568965517241378,0.3627450980392157,0.5341666666666667,0.001078538100791262,0.0013613584368680717,0.0,0.0037715516288900335,0.0024314399572388052,1.8898292862255432,1.1770184665534207,0.13143824526984738,0.34007385282869707,0.619207053907352,2893,1767,156,488,852
v2_0_tv30,v2.0,0.3,60,1.5,0.1,0.03,0.3632150102889311,0.3212062489344507,0.13576275271376148,0.383660450967489,0.33375316393668486,0.16303585200624252,0.18203780440102554,0.20509571844669774,0.21269636533941388,0.21522230990288918,2.227822934767893,1.764502983275056,0.6619482539273233,1.8037941097641996,1.5507368361917413,-0.1881467315548555,-0.1881467315548554,-0.18814673155485517,-0.18814673155485573,-0.1881467315548555,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,1.0959439196182184,1.070424744949156,0.9288997248520555,1.0189976536741852,1.0413718198309672,1.5,1.5,1.5,1.5,1.5,0.8861997940267765,0.8418874172185431,0.6594827586206896,0.5770308123249299,0.7008333333333333,0.0008509898145476284,0.0009955481952413033,0.0,0.002862409218633312,0.0020043703664191573,1.899110508439282,1.1862996887671593,0.13546039933990184,0.3474103201109404,0.6283500986032275,2917,1791,156,512,876
v2_0_tv32,v2.0,0.32,60,1.5,0.1,0.03,0.36540126289086206,0.32460727287465296,0.1348178318972506,0.39044272724534546,0.340628645867896,0.16455371939008784,0.1842224808966775,0.20991361252405102,0.21779847857012208,0.218932256654542,2.220559123459549,1.7620394172018088,0.6422538789941683,1.792678855282449,1.5558632203082865,-0.1949583847565428,-0.1949583847565427,-0.1949583847565427,-0.1949583847565427,-0.19495838475654292,0.748712667353244,0.7367549668874173,0.6422413793103449,0.7535014005602241,0.7408333333333333,1.1013412652227454,1.079101603528619,0.956250490423094,1.042170131827932,1.0588412284376194,1.5,1.5,1.5,1.5,1.5,0.9235324407826982,0.9019039735099338,0.8448275862068966,0.6722689075630253,0.8025,0.0006617114583146016,0.0006912613013633743,0.0,0.002339057848871026,0.0013917394200782603,1.9057135065766828,1.19290268690456,0.13826069141378788,0.3535002278881701,0.634953096740628,2917,1791,156,512,876
