scenario,window,start,end,days,avg_active_scale,max_active_scale,pct_active_days_above_1x,scale_change_cost_sum,financing_cost_sum,annual,vol,sharpe,max_dd,total_return
baseline_v1_0_costed,full,2010-02-02,2026-04-24,3936,1.0,1.0,0.0,0.0,0.0,0.310914754067654,0.11550479790111234,2.415998559406688,-0.122016124411497,79.77281669509388
baseline_v1_0_costed,10y,2016-04-25,2026-04-24,2427,1.0,1.0,0.0,0.0,0.0,0.31965198975993325,0.13389816514229577,2.149787553916634,-0.12201612441149745,14.999244280175152
baseline_v1_0_costed,5y,2021-04-26,2026-04-24,1208,1.0,1.0,0.0,0.0,0.0,0.31995396879362326,0.16059405666812468,1.8248110589928563,-0.12201612441149767,2.9999196644808435
baseline_v1_0_costed,3y,2023-04-25,2026-04-24,723,1.0,1.0,0.0,0.0,0.0,0.2734594842176459,0.15265163415020963,1.6794383713103127,-0.12201612441149723,1.0641431915551602
baseline_v1_0_costed,1y,2025-04-25,2026-04-24,239,1.0,1.0,0.0,0.0,0.0,0.17680205219997647,0.15172347490939592,1.1677137495796754,-0.12201612441149712,0.1761465738997965
fixed_1.2x_no_financing,full,2010-02-02,2026-04-24,3936,1.1999999999999997,1.2,1.0,0.2544,0.0,0.3925744934137172,0.13810407221365553,2.481930204451955,-0.1430641063497078,214.2727248386276
fixed_1.2x_no_financing,10y,2016-04-25,2026-04-24,2427,1.1999999999999997,1.2,1.0,0.15239999999999998,0.0,0.40240647127912266,0.16023096733005965,2.2025788711264713,-0.14306410634970768,28.38569000075815
fixed_1.2x_no_financing,5y,2021-04-26,2026-04-24,1208,1.1999999999999997,1.2,1.0,0.0876,0.0,0.4028872136507107,0.19224988915365815,1.8735066327362275,-0.1430641063497078,4.4226066258526275
fixed_1.2x_no_financing,3y,2023-04-25,2026-04-24,723,1.2,1.2,1.0,0.045599999999999995,0.0,0.3431184757534169,0.18275336132843284,1.7257147326698354,-0.14306410634970712,1.421474507489143
fixed_1.2x_no_financing,1y,2025-04-25,2026-04-24,239,1.2,1.2,1.0,0.0204,0.0,0.222881265951002,0.18189992061336246,1.2166286316794346,-0.14306410634970756,0.22203947622612197
