candidate,version,lookback,halflife,exit_buffer,target_vol,scale_threshold,execution_hedge_ratio,signal_spread_hedge_ratio,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_return_last_8y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,ann_vol_last_8y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,sharpe_repo_last_8y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,max_dd_last_8y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,holding_day_ratio_last_8y,avg_execution_scale_full,avg_execution_scale_last_10y,avg_execution_scale_last_1y,avg_execution_scale_last_3y,avg_execution_scale_last_5y,avg_execution_scale_last_8y,avg_target_vol_turnover_full,avg_target_vol_turnover_last_10y,avg_target_vol_turnover_last_1y,avg_target_vol_turnover_last_3y,avg_target_vol_turnover_last_5y,avg_target_vol_turnover_last_8y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,cost_total_last_8y,cost_days_full,cost_days_last_10y,cost_days_last_1y,cost_days_last_3y,cost_days_last_5y,cost_days_last_8y
v2_0_lb12_gap05_tv15_thr10_exec0p60,v2_0,12,,0.05,0.15,0.1,0.6,,0.3113270489034179,0.2440099588109465,0.1046127646816446,0.2405560098708155,0.2422586018434573,0.2066276312595565,0.146820737538533,0.1455295705763235,0.139061375486504,0.141150688171497,0.1446279343235182,0.1446528165754805,2.1204569199341488,1.6767036269304083,0.7522776494598769,1.7042496426127354,1.6750470991416435,1.4284383543388337,-0.2833057010638387,-0.1686817897241648,-0.0962052810049262,-0.1686817897241642,-0.168681789724165,-0.1686817897241649,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.0350483402554842,0.9098009315173624,0.6113340492425997,0.6515858481481109,0.7241994934909131,0.8497456153528269,0.0063320305455179,0.0068718214996768,0.0041153386775486,0.0057448754482009,0.0054698618147511,0.0066696783249522,0.8943205017720184,0.6115773524712784,0.076337742249256,0.1780803713661182,0.318065470942858,0.5041677024159839,2525,1323,45,250,439,950
v2_0_lb12_gap05_tv15_thr10_exec0p80,v2_0,12,,0.05,0.15,0.1,0.8,,0.3135707213076537,0.2441601352039162,0.0411252190475712,0.2314378014735896,0.2278376954609815,0.2013514048045028,0.1339393981933142,0.1404397864966718,0.1395624498995032,0.1393241627530703,0.1433459762366775,0.1415769605018136,2.341138795136875,1.738539635345447,0.2946725217075575,1.6611461852728,1.5894251198568723,1.422204602294196,-0.2364933721204641,-0.1774745246234526,-0.1188296928597387,-0.1500884473708273,-0.1500884473708276,-0.1774745246234529,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.1382404238078911,0.9883517258392452,0.6413377729366494,0.6952467778459814,0.7554109264515857,0.9217390972851744,0.0047150655022477,0.0055259986788565,0.0039341090819897,0.0050685100326527,0.0054751941631723,0.0058034519023587,0.9611745269955064,0.6454857172820812,0.0775081079111519,0.1835613770169569,0.3256593799332086,0.52938624979209,2863,1540,63,270,499,1110
v2_0_lb12_gap05_tv15_thr10_exec1p00,v2_0,12,,0.05,0.15,0.1,1.0,,0.290536556209247,0.2318989709861563,-0.0138276776714028,0.2106461414150371,0.2034526255658932,0.1770991148969563,0.1304751360767652,0.1385698680315985,0.1400803561116729,0.1373980707540549,0.1417974357227283,0.1400084246872194,2.2267580241365628,1.6735165752865957,-0.0987124680092852,1.533108436377521,1.4348117406278489,1.2649175597296944,-0.2230640688666043,-0.22228512083408,-0.139470714941525,-0.1394707149415243,-0.1394707149415242,-0.2222851208340804,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.1674353258810906,1.0087513550508729,0.6504502897908032,0.7063730284562093,0.7484141897469997,0.9156161263069164,0.0044418392667466,0.006014134393364,0.0036264136782469,0.0060217862516929,0.0064647908238536,0.0060502207001501,0.9782867623834416,0.6535470152692902,0.0771246970653229,0.1847266441898198,0.3239005693738583,0.5231627730078127,2933,1551,60,269,467,1077
v2_0_lb12_gap05_tv15_thr20_exec0p60,v2_0,12,,0.05,0.15,0.2,0.6,,0.3071142186872824,0.2400959540203535,0.0875516255071773,0.2324106589686181,0.2339241169415142,0.2008336990570476,0.145418731776868,0.1453899352789211,0.1369319679018385,0.1368874963260145,0.1429788280924373,0.1438787980749309,2.1119302509013878,1.6513932244329368,0.6393804664367333,1.6978224104201838,1.6360752152079452,1.395853327551812,-0.267522310003237,-0.1627083791737433,-0.0910688277701706,-0.1559759035056166,-0.1559759035056169,-0.1627083791737433,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.01223354591194,0.9051012727992496,0.5919021325230941,0.6323056791273685,0.7100952848742785,0.840534316333673,0.004243212283938,0.0046926261787568,0.0024389143404523,0.0016991753493845,0.0031374602849829,0.004724878464039,0.8730201514375512,0.6060736786402787,0.0756459120950734,0.1743376730233528,0.314237054218383,0.4995262684602565,2572,1360,31,236,422,932
v2_0_lb12_gap05_tv15_thr20_exec0p80,v2_0,12,,0.05,0.15,0.2,0.8,,0.3162298355925539,0.2458612261131156,0.031115844849934,0.2236925768386974,0.222644168105297,0.198578418742209,0.133637619419719,0.139415044089143,0.137702292446518,0.1365498414135361,0.1407223212390324,0.1389887854711974,2.366323472130724,1.763520054233962,0.2259646102988376,1.638175295724093,1.5821524698069134,1.4287369881605323,-0.2364933721204641,-0.1744873898373935,-0.1172709115370196,-0.1430813816241706,-0.1430813816241711,-0.1744873898373944,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.135296071701043,0.9802145721274528,0.6261918810112156,0.6835882826391317,0.7423833370836934,0.8982911139910271,0.0030549973916356,0.0031976283789097,0.0033173592293287,0.0021124945595511,0.002339930491768,0.0032730541278393,0.953890158857131,0.6373622269884491,0.0772885814992942,0.1812328969266498,0.3211642580632453,0.5171933239083437,2810,1462,60,265,415,1024
v2_0_lb12_gap05_tv15_thr20_exec1p00,v2_0,12,,0.05,0.15,0.2,1.0,,0.2870260660770425,0.2260446424000608,-0.0241673375325011,0.1939819042119119,0.1934723054269764,0.1687925305728934,0.1293240890686136,0.1368210381624757,0.1401058786910163,0.1379833897381311,0.1405580349162028,0.1375643971785674,2.2194323435346925,1.6521190413102378,-0.1724933868463773,1.4058351848005506,1.3764585250663168,1.2270073800693495,-0.2230640688666043,-0.2147686149599158,-0.1432480262383247,-0.1432480262383247,-0.1432480262383247,-0.2147686149599161,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.152348402964784,0.9854994529487284,0.6421152541361836,0.701190247754451,0.7364262121215628,0.8849308583418891,0.0026471016320548,0.0034126563749508,0.0036101129779774,0.0034272108313481,0.003612295758955,0.0035842583662609,0.9636718509647464,0.6397656478374253,0.0773367591877189,0.183699570102783,0.3204495853647531,0.5103187273704333,2838,1456,59,264,374,982
v2_0_lb12_gap05_tv15_thr30_exec0p60,v2_0,12,,0.05,0.15,0.3,0.6,,0.3021782982442409,0.2382602190618059,0.0875516255071773,0.228316477482364,0.2349651844899412,0.2091193054043238,0.1447281985093899,0.143894509089534,0.1369319679018385,0.1365377917435093,0.1435472867347754,0.1449290964185735,2.0879020215582638,1.655797851977491,0.6393804664367333,1.6721852211530124,1.6368486638418571,1.4429076739729398,-0.2722133478313967,-0.1596112810105736,-0.0910688277701706,-0.1559759035056166,-0.1559759035056165,-0.1596112810105743,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.0066809863882549,0.894007089327137,0.5919021325230941,0.6311150289763635,0.7155040730638713,0.8502732655630058,0.0023044446907579,0.0023431453628401,0.0024389143404523,0.0016504340106483,0.0015636515627818,0.0024248129399946,0.8586321625866449,0.5939591420265177,0.0756459120950734,0.1740890845933497,0.3137308284369821,0.4966826984932427,2380,1191,31,235,385,918
v2_0_lb12_gap05_tv15_thr30_exec0p80,v2_0,12,,0.05,0.15,0.3,0.8,,0.3202226515051736,0.2549218693134472,0.0300211939470758,0.2211078886810811,0.2255868686949529,0.2063550106023366,0.1354829421620793,0.1421921511010143,0.1359897833579096,0.135036896036105,0.1423907294750135,0.1419932848650436,2.363564345407325,1.792798458561533,0.2207606572036623,1.6373887076163474,1.5842805885374618,1.4532730248368084,-0.2364933721204641,-0.1744873898373944,-0.1146697251147903,-0.1430813816241706,-0.1430813816241708,-0.1744873898373942,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.1509466026764092,1.0070692259452294,0.617277283598554,0.6772006879833716,0.7505263076842488,0.9255828932657044,0.0022652070548713,0.0018934466710822,0.0029639721986435,0.00174956799611,0.0017897071778218,0.0020807787311877,0.9611924218265552,0.6449059366297909,0.0766775833910203,0.1799059799621464,0.3215034263611249,0.5230911948924664,2808,1497,62,266,416,1023
v2_0_lb12_gap05_tv15_thr30_exec1p00,v2_0,12,,0.05,0.15,0.3,1.0,,0.2952303964163845,0.2371250186306694,-0.021030103696548,0.2041018730569892,0.2037286627330361,0.1802621007464879,0.130512982901438,0.1381880837194311,0.1346181250643805,0.1362314148379314,0.1418949989125826,0.1392928122795751,2.262076843645043,1.715958512834682,-0.1562204471833971,1.4981997603107944,1.4357705648142498,1.2941234927806844,-0.2230640688666043,-0.2112481650433584,-0.1351299263080377,-0.1351299263080362,-0.1351299263080366,-0.2112481650433584,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.1596717769999874,0.9950296421635598,0.6158734151381315,0.695953508530702,0.7444595463073701,0.8986042627116163,0.0016754317980702,0.0017657649809449,0.0026008933235611,0.0016952496543733,0.0018969444100063,0.0015225484177401,0.9629853774672548,0.637599762596488,0.0759506743877573,0.1815857750462579,0.319300425312381,0.5084950449283069,2806,1424,31,235,343,950
v2_0_lb12_gap05_tv15_thr50_exec0p60,v2_0,12,,0.05,0.15,0.5,0.6,,0.2959168499533995,0.2299819900208435,0.0684355360981971,0.2112790770826405,0.2235374183777696,0.2035962276081719,0.1445292911688684,0.1420381664468309,0.1277559428735784,0.1282496628176459,0.1369109531762506,0.140383834375491,2.04745244067965,1.61915628576445,0.5356739933884558,1.6474045423655526,1.6327212190977989,1.4502825664641978,-0.2623411242569367,-0.1720139549751674,-0.0901533495256416,-0.1559759035056166,-0.155975903505617,-0.1596112810105743,0.9255921730175076,0.8961092715231788,0.7887931034482759,0.8487394957983193,0.8558333333333333,0.8766839378238342,1.0095208638071378,0.8775482884576282,0.5370265598629165,0.6025598401599962,0.6821550171618369,0.8209939367344956,0.0013011221940723,0.0014167848537645,0.0,0.0,0.0,0.0013586743951199,0.862031380838429,0.5882358915315804,0.0734462552514194,0.1696688188819555,0.3045812784991377,0.4861822288325029,2273,1091,30,233,344,692
