candidate,version,lookback,halflife,exit_buffer,target_vol,scale_threshold,execution_hedge_ratio,signal_spread_hedge_ratio,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_return_last_8y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,ann_vol_last_8y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,sharpe_repo_last_8y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,max_dd_last_8y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,holding_day_ratio_last_8y,avg_execution_scale_full,avg_execution_scale_last_10y,avg_execution_scale_last_1y,avg_execution_scale_last_3y,avg_execution_scale_last_5y,avg_execution_scale_last_8y,avg_target_vol_turnover_full,avg_target_vol_turnover_last_10y,avg_target_vol_turnover_last_1y,avg_target_vol_turnover_last_3y,avg_target_vol_turnover_last_5y,avg_target_vol_turnover_last_8y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,cost_total_last_8y,cost_days_full,cost_days_last_10y,cost_days_last_1y,cost_days_last_3y,cost_days_last_5y,cost_days_last_8y,distance
v2_3_lb17_h4p00_gap13_tv25_thr30_exec0p80,v2_3,17,4.0,0.13,0.25,0.3,0.8,1.0,0.3844032481178119,0.3404076456883163,0.1671703139422735,0.3946028496242777,0.3507468675151153,0.2977362811489692,0.1532859072298522,0.1688700141471439,0.181443756082491,0.1856433955391069,0.1957933631744658,0.1739868773924793,2.5077533549212654,2.015796868422738,0.9213340682071844,2.1255959495803998,1.7914134668731072,1.7112571109448451,-0.16242975105649,-0.1365173601216043,-0.1282091698002893,-0.129814593176193,-0.1344110198826144,-0.1365173601216042,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,0.7119170984455958,1.0373757886832329,1.0135213424030114,0.7857034745687601,0.9217862931604888,0.967460742942706,0.9679624680029404,0.0003403895249606,0.0005472156104914,0.0,0.0010713916809403,0.0011017274291227,0.0006850118730296,1.6253684657906722,1.04002321988904,0.1027444589124961,0.2859333507840942,0.5157504736916335,0.8491322362824838,2784,1724,150,475,839,1330,0.0
v2_3_lb15_h4p00_gap13_tv25_thr30_exec0p80,v2_3,15,4.0,0.13,0.25,0.3,0.8,1.0,0.3701493842562358,0.3163046275207235,0.1949189037694274,0.4008850083105362,0.3491466524842033,0.296620612322745,0.1515524653623173,0.1662209359077553,0.1757666762858133,0.1778608203037951,0.1911578710954125,0.1710109222047483,2.4423844466753977,1.9029168966793537,1.108963928136587,2.253925331198882,1.8264832647667115,1.7345126761412728,-0.1624297510564899,-0.1388416638577061,-0.1329818012777203,-0.13298180127772,-0.1388416638577061,-0.138841663857706,0.7216786817713697,0.7135761589403974,0.6120689655172413,0.7464985994397759,0.7383333333333333,0.7020725388601037,1.0282059256135776,0.990708532733086,0.7701619178907072,0.8993816295346557,0.9527809528072564,0.953394722841003,0.0003403895249606,0.0005472156104914,0.0,0.0010713916809403,0.0011017274291227,0.0006850118730296,1.7957282967666166,1.1914609197174435,0.1026699948367615,0.31552367164,0.5589250587659383,0.9164764934879366,2773,1697,147,465,829,1315,0.4845015831115093
v2_3_lb17_h3p00_gap13_tv25_thr30_exec0p80,v2_3,17,3.0,0.13,0.25,0.3,0.8,1.0,0.386517220014489,0.3513727955400807,0.258480776203708,0.4098351643971074,0.361277056407463,0.3192929201003636,0.1510475422435785,0.1659982091935324,0.1715158213808481,0.175936926326026,0.1901123629653168,0.1705776630069427,2.5589110175072785,2.116726422815957,1.5070375089756625,2.329443698690337,1.9003343642273949,1.871833125579684,-0.1699509224994403,-0.1404705675047021,-0.1059344452088919,-0.1081412167690404,-0.1404705675047021,-0.1404705675047022,0.7255406797116375,0.7214403973509934,0.603448275862069,0.7394957983193278,0.7366666666666667,0.7041450777202073,1.0352700625323512,1.003927534302836,0.7600146084153881,0.8912553715016859,0.9516091874293764,0.9582844159977474,0.0003403895249606,0.0005472156104914,0.0,0.0010713916809403,0.0011017274291227,0.0006850118730296,1.743268745149821,1.1221128435104837,0.1012852079765808,0.3273531069776885,0.57092186975366,0.9014062861334357,2788,1712,145,462,829,1319,0.5812381937190965
v2_3_lb17_h5p00_gap13_tv25_thr30_exec0p80,v2_3,17,5.0,0.13,0.25,0.3,0.8,1.0,0.3664868893388995,0.300978868572413,0.0836878816574386,0.3584253079105557,0.3070130805711009,0.2674083086242975,0.1529430749312554,0.1683473845154936,0.1805668933962242,0.1837643240628427,0.1936202615831214,0.1735677258173219,2.396230685852415,1.7878440430698397,0.4634730103806984,1.950461874133868,1.5856454177927026,1.540656866736514,-0.1624297510564899,-0.1569864028432486,-0.1547489451384066,-0.1547489451384065,-0.1547489451384064,-0.1569864028432486,0.7270854788877446,0.7264072847682119,0.6206896551724138,0.7591036414565826,0.7425,0.71139896373057,1.035014721594696,1.0074491633583604,0.7707839992885701,0.9099403974401088,0.9541139324715509,0.9642472428361653,0.0004836617208034,0.0007775422697022,0.0024105034474969,0.0018507603205108,0.0015654517696672,0.0009733378878759,1.5412867612177703,1.0084611874472862,0.1030584020014852,0.2704614017279991,0.4998959263326449,0.8180275808899105,2778,1716,149,472,831,1327,0.5812381937190965
v2_3_lb17_h4p00_gap13_tv25_thr20_exec0p80,v2_3,17,4.0,0.13,0.25,0.2,0.8,1.0,0.383652070714243,0.3392410017843339,0.1698216277652455,0.3944210769034162,0.348396605151837,0.2963242646630157,0.1536994567555921,0.1694727642015353,0.1869644221194693,0.1875575652387072,0.1968400081210615,0.1747183394674441,2.496118586315592,2.001743485938023,0.9083098583148104,2.1029334455340725,1.769948134413632,1.6960112233566125,-0.16242975105649,-0.1389819002323784,-0.1302875092714144,-0.1302875092714144,-0.1389819002323784,-0.138981900232378,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,0.7119170984455958,1.0397208804966458,1.017291349275237,0.8132046145046534,0.933273357796746,0.9750510234454534,0.9726818133932498,0.0005261262898206,0.0008458089857877,0.0016500683961535,0.0022313630641107,0.0017028954247193,0.001058795082727,1.6292398348547108,1.0438945889530786,0.1048942942537457,0.2895485870373188,0.519621842755672,0.8530036053465224,2785,1725,150,476,840,1331,0.6761234037828131
v2_3_lb20_h4p00_gap13_tv25_thr30_exec0p80,v2_3,20,4.0,0.13,0.25,0.3,0.8,1.0,0.3712249936907323,0.3072188240559563,0.0959225662010272,0.3535735581708108,0.3205677174506962,0.2707892450341647,0.1528753741204508,0.1684186164148308,0.1807365788676843,0.182500242691001,0.1938791388150631,0.1739067857747234,2.4282851036442485,1.8241381540580264,0.5307313372975334,1.937386783476564,1.6534410014915448,1.5570941859907723,-0.1982447753787898,-0.1982447753787897,-0.1450178089559768,-0.1450178089559768,-0.1461495612640938,-0.1982447753787893,0.733264675592173,0.7334437086092715,0.6293103448275862,0.7633053221288515,0.7483333333333333,0.7207253886010363,1.0436482122880395,1.017189427370342,0.7768884010058743,0.9112950921728832,0.96122433068234,0.9772174386148942,0.0007202410276877,0.0007853543673588,0.0025069894294752,0.0018859876860359,0.0015811801262825,0.0009831171769632,1.4932612148971884,0.9719167886676884,0.1040998120405857,0.2603699705908866,0.4774367734546864,0.7815446575201486,2798,1732,151,476,838,1344,0.726752374667264
v2_3_lb17_h4p00_gap08_tv25_thr30_exec0p80,v2_3,17,4.0,0.08,0.25,0.3,0.8,1.0,0.377320574072328,0.329172171655415,0.1671703139422735,0.3951281186296276,0.3409779518741811,0.2929183792023122,0.1527455241680721,0.1681680781003198,0.181443756082491,0.1851292791382004,0.1950870951267991,0.1734563801460766,2.470256173641768,1.9573998547991316,0.9213340682071844,2.134336181013601,1.7478242302626863,1.688714931994029,-0.1624297510564898,-0.1365173601216047,-0.1282091698002893,-0.129814593176193,-0.134411019882615,-0.1365173601216045,0.717816683831102,0.7206125827814569,0.625,0.7535014005602241,0.7425,0.7067357512953368,1.0230558129002651,1.0014688647784065,0.7857034745687601,0.9104154445035628,0.9594450879918348,0.9606470348728654,0.0003403895249606,0.0005472156104914,0.0,0.0010713916809403,0.0011017274291227,0.0006850118730296,1.7072512526759187,1.108605187102155,0.1027444589124961,0.3006259737349139,0.5440316212326171,0.8754289575939596,2758,1710,150,471,835,1323,0.8804509063256238
v2_3_lb17_h4p00_gap13_tv20_thr30_exec0p80,v2_3,17,4.0,0.13,0.2,0.3,0.8,1.0,0.3575390643406113,0.3110237050256192,0.1426269250681926,0.3268460347024917,0.2987329647916843,0.2637162548330178,0.1408981860528506,0.1524063122964069,0.1542294448573346,0.1565023936939548,0.1698395578737331,0.1541497839763928,2.5375703857997087,2.0407534329728145,0.9247710461522144,2.0884411221316466,1.7589127558479436,1.710779269553855,-0.16242975105649,-0.1297356841505682,-0.1142766280489923,-0.1142766280489917,-0.1283383768812832,-0.1297356841505682,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,0.7119170984455958,0.9881629614664263,0.9449192647484372,0.6712615113227837,0.7878443851579889,0.8498412135386505,0.88447302505636,0.0007603861810491,0.0007718412429858,0.0025619239000665,0.0016895592058382,0.0015539737025448,0.0009662012658309,1.5617205280531694,0.9800788045888392,0.0910400484398534,0.2539678176311954,0.4663181073945546,0.7914306941847721,2729,1669,135,420,784,1275,0.8944271909999157
v2_3_lb17_h4p00_gap13_tv30_thr30_exec0p80,v2_3,17,4.0,0.13,0.3,0.3,0.8,1.0,0.3939509177083644,0.3552693173141172,0.1908283776659014,0.4368167998501611,0.3764419143550674,0.3157505593585779,0.160773010832051,0.1797239428462529,0.2140021535757665,0.2087359576671457,0.2135215037125777,0.1871157570466622,2.4503547931928638,1.9767500739622477,0.8917124172693875,2.0926763396784627,1.763016407292624,1.6874610900878708,-0.16242975105649,-0.1616567098454264,-0.1507938933232894,-0.1507938933232891,-0.1616567098454262,-0.1616567098454263,0.7281153450051493,0.7288907284768212,0.625,0.7619047619047619,0.7483333333333333,0.7119170984455958,1.064229808266567,1.056692291104034,0.9242385669146728,1.0188635508506243,1.0487238127561216,1.022004443164428,0.0002995453732555,0.0004815539030317,0.0,0.0016294597054966,0.0009695285247705,0.0006028156630697,1.6638237434835177,1.0784784975818855,0.1165016537648319,0.3136629238113974,0.5520252188933636,0.8875875139753294,2810,1750,150,501,865,1356,0.8944271909999157
v2_3_lb15_h3p00_gap13_tv25_thr30_exec0p80,v2_3,15,3.0,0.13,0.25,0.3,0.8,1.0,0.3856472647723958,0.3386170821120899,0.2771987809562499,0.3976084569245943,0.3709339707122012,0.3218148188431537,0.1507412453311075,0.1655821469525901,0.1702384104010768,0.1749779789561197,0.1893701065021255,0.170246143527792,2.558339384322521,2.0450096121114045,1.6282975170126264,2.2723342634121124,1.9587778533991465,1.8902913873677183,-0.1699509224994405,-0.1404705675047022,-0.1031754408797392,-0.1035189308497765,-0.1404705675047022,-0.1404705675047018,0.717816683831102,0.7081953642384106,0.6077586206896551,0.7324929971988795,0.7333333333333333,0.6979274611398963,1.0238883932773497,0.9837675991263352,0.764329390347062,0.8793241241880867,0.9459289975325466,0.9485919790099616,0.0003403895249606,0.0005472156104914,0.0,0.0010713916809403,0.0011017274291227,0.0006850118730296,1.836514434127005,1.2145711554384873,0.0989384202757602,0.3378032631178582,0.581537990146036,0.9379441062581606,2766,1686,146,457,825,1309,1.0657397768306058
