candidate,version,lookback,halflife,exit_buffer,target_vol,scale_threshold,execution_hedge_ratio,signal_spread_hedge_ratio,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,final_nav,holding_days,holding_day_ratio,avg_execution_scale,avg_target_vol_turnover,cost_total,cost_days
v2_3_lb12_h3p00_gap05_tv15_thr10_exec0p60,v2_3,12,3.0,0.05,0.15,0.1,0.6,1.0,full,2010-05-05,2026-05-20,3884,0.2604126668325033,0.1235907284300458,2.1070566549812084,-0.1771219623634204,40.95736224628087,2631,0.677394438722966,0.7382710909778997,0.0034693720003672,2.041142343068816,1868
v2_3_lb12_h3p00_gap05_tv15_thr10_exec0p60,v2_3,12,3.0,0.05,0.15,0.1,0.6,1.0,last_10y,2016-05-20,2026-05-20,2416,0.2062999705868549,0.1204307402047427,1.713017542166784,-0.1212487584479743,6.522914201030758,1607,0.6651490066225165,0.6587648720147529,0.0036221165991674,1.290940853174177,988
v2_3_lb12_h3p00_gap05_tv15_thr10_exec0p60,v2_3,12,3.0,0.05,0.15,0.1,0.6,1.0,last_8y,2018-05-21,2026-05-20,1930,0.1702245614061714,0.1197335431368189,1.4216948479646736,-0.1212487584479735,3.5153353547883364,1262,0.6538860103626943,0.6106443282211891,0.0035898566879233,1.0101507989821692,723
v2_3_lb12_h3p00_gap05_tv15_thr10_exec0p60,v2_3,12,3.0,0.05,0.15,0.1,0.6,1.0,last_5y,2021-05-20,2026-05-20,1200,0.1753949469513385,0.1237145352562678,1.4177392057288785,-0.1096060045847905,2.2432158168653094,827,0.6891666666666667,0.5743251731413359,0.0029914907659692,0.6173393985903661,381
v2_3_lb12_h3p00_gap05_tv15_thr10_exec0p60,v2_3,12,3.0,0.05,0.15,0.1,0.6,1.0,last_3y,2023-05-22,2026-05-20,714,0.1764539212388556,0.113551217491739,1.553958866638244,-0.0848236621063414,1.6269965181892676,491,0.6876750700280112,0.5151335592564396,0.0032545212743089,0.3705126280733405,217
v2_3_lb12_h3p00_gap05_tv15_thr10_exec0p60,v2_3,12,3.0,0.05,0.15,0.1,0.6,1.0,last_1y,2025-05-20,2026-05-20,232,0.062847685110329,0.106413901721242,0.5905965676830691,-0.0848236621063412,1.0628033448436416,136,0.5862068965517241,0.4460866320954353,0.002470341122014,0.1375284650947512,47
v2_3_lb12_h3p00_gap05_tv15_thr20_exec0p60,v2_3,12,3.0,0.05,0.15,0.2,0.6,1.0,full,2010-05-05,2026-05-20,3884,0.2638728862796637,0.1249182502505067,2.1123645724343905,-0.1857126720139845,42.79874991314448,2631,0.677394438722966,0.742093137486742,0.0023327083929716,2.0400496778108765,1866
v2_3_lb12_h3p00_gap05_tv15_thr20_exec0p60,v2_3,12,3.0,0.05,0.15,0.2,0.6,1.0,last_10y,2016-05-20,2026-05-20,2416,0.2097471888683568,0.121382414556112,1.7279866250427565,-0.1212292830547785,6.711707372725309,1607,0.6651490066225165,0.6612988019721731,0.002377603709532,1.2905952991909388,995
v2_3_lb12_h3p00_gap05_tv15_thr20_exec0p60,v2_3,12,3.0,0.05,0.15,0.2,0.6,1.0,last_8y,2018-05-21,2026-05-20,1930,0.1751751789190236,0.1208010459957121,1.4501130969117737,-0.1212292830547782,3.636042493491601,1262,0.6538860103626943,0.6136935298508893,0.0023412252539163,1.0104037347024124,732
v2_3_lb12_h3p00_gap05_tv15_thr20_exec0p60,v2_3,12,3.0,0.05,0.15,0.2,0.6,1.0,last_5y,2021-05-20,2026-05-20,1200,0.1805489909237685,0.1255183401818456,1.4384271705807845,-0.1150876619237604,2.292824072754206,827,0.6891666666666667,0.5813925745707326,0.0022155470792341,0.6197987556258362,396
