window,variant,annual,vol,sharpe,max_dd,calmar,total_return,win_rate,active_days_pct,signal_changes,entry_days,exit_days,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,base_annual,base_max_dd,base_sharpe,annual_delta,max_dd_delta,sharpe_delta
last_1y,base_0p000,0.35488345333603566,0.1309666600296293,2.70972362932481,-0.09040489130668063,3.9254895195013737,0.3546018268793014,0.6923076923076923,0.7601626016260162,211,106,106,0.6360000000000001,0.18458999999999398,0.820589999999994,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.0,0.0,0.0
last_1y,buffer_0p001,0.3891321464677182,0.13137123675001647,2.9620802551184737,-0.08142553489035363,4.778994046421894,0.38881967043455923,0.6923076923076923,0.7654979674796748,187,94,94,0.5640000000000001,0.18752999999999387,0.7515299999999938,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.03424869313168255,0.008979356416326995,0.2523566257936638
last_1y,buffer_0p0015,0.3891321464677182,0.13137123675001647,2.9620802551184737,-0.08142553489035363,4.778994046421894,0.38881967043455923,0.6923076923076923,0.7665142276422764,185,93,93,0.558,0.18752999999999387,0.7455299999999938,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.03424869313168255,0.008979356416326995,0.2523566257936638
last_1y,buffer_0p002,0.3891321464677182,0.13137123675001647,2.9620802551184737,-0.08142553489035363,4.778994046421894,0.38881967043455923,0.6923076923076923,0.7680386178861789,179,90,90,0.54,0.18752999999999387,0.7275299999999939,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.03424869313168255,0.008979356416326995,0.2523566257936638
last_1y,buffer_0p0025,0.4058258123966745,0.13040747593375734,3.111982725613219,-0.08142553489035363,4.984011624156393,0.4054980892926481,0.6923076923076923,0.7693089430894309,175,88,88,0.528,0.18752999999999387,0.7155299999999939,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.05094235906063882,0.008979356416326995,0.40225909628840917
last_1y,buffer_0p003,0.4058258123966745,0.13040747593375734,3.111982725613219,-0.08142553489035363,4.984011624156393,0.4054980892926481,0.6923076923076923,0.7710873983739838,169,85,85,0.51,0.1881899999999939,0.6981899999999939,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.05094235906063882,0.008979356416326995,0.40225909628840917
last_1y,buffer_0p0035,0.4058258123966745,0.13040747593375734,3.111982725613219,-0.08142553489035363,4.984011624156393,0.4054980892926481,0.6923076923076923,0.7736280487804879,163,82,82,0.49200000000000005,0.18932999999999378,0.6813299999999938,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.05094235906063882,0.008979356416326995,0.40225909628840917
last_1y,buffer_0p004,0.39807644615307947,0.13066529987486813,3.0465352816264004,-0.08142553489035363,4.8888404195210144,0.39775581784772984,0.6923076923076923,0.7751524390243902,161,81,81,0.48600000000000004,0.1907099999999937,0.6767099999999937,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.04319299281704381,0.008979356416326995,0.3368116523015905
last_1y,buffer_0p0045,0.38278115711141214,0.1310283358086863,2.9213616638641327,-0.09146811742813087,4.184858810636114,0.3824744457852951,0.6923076923076923,0.7771849593495935,157,79,79,0.47400000000000003,0.1928699999999936,0.6668699999999936,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.02789770377537648,-0.0010632261214502392,0.21163803453932273
last_1y,buffer_0p005,0.38278115711141214,0.1310283358086863,2.9213616638641327,-0.09146811742813087,4.184858810636114,0.3824744457852951,0.6923076923076923,0.7789634146341463,153,77,77,0.462,0.1938899999999936,0.6558899999999936,0.35488345333603566,-0.09040489130668063,2.70972362932481,0.02789770377537648,-0.0010632261214502392,0.21163803453932273
