date,return_raw,return,holding,next_holding,signal_on,microcap_ret,microcap_mom,hedge_ret,hedge_mom,momentum_gap,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2010-02-02,0.0,0.0,cash,cash,False,0.0024265797049383,-0.031007230935773,-0.0034245363786233,-0.0504433767646304,0.0194361458288573,0.0,0.0,0.0,0.0,1.0
2010-02-03,0.0,0.0,cash,cash,False,0.0208122386738012,-0.0308055616565523,0.0187837092678446,-0.0521314074335036,0.0213258457769512,0.0,0.0,0.0,0.0,1.0
2010-02-04,0.0,0.0,cash,cash,False,0.0150204310861994,-0.0073766033282471,0.0137960992743051,-0.0269969589683679,0.0196203556401207,0.0,0.0,0.0,0.0,1.0
2010-02-05,0.0,0.0,cash,cash,False,-0.0123499319802973,-0.0451781511917106,-0.0188922215373616,-0.0710563426116764,0.0258781914199658,0.0,0.0,0.0,0.0,1.0
2010-02-08,0.0,0.0,cash,cash,False,2.3257063135107003e-05,-0.0517349645467958,-0.0007473527364787,-0.0814733077291336,0.0297383431823378,0.0,0.0,0.0,0.0,1.0
2010-02-09,0.0,0.0,cash,cash,False,0.0025187292243489,-0.0652905123965309,-0.000292153004034,-0.096475533633992,0.0311850212374611,0.0,0.0,0.0,0.0,1.0
2010-02-10,0.0,0.0,cash,cash,False,0.0128524687877604,-0.0535209009907559,0.0124119485753964,-0.086496007762976,0.0329751067722201,0.0,0.0,0.0,0.0,1.0
2010-02-11,0.0,0.0,cash,cash,False,-0.0018702858983109,-0.0230379492806286,-0.0053782312108294,-0.0609625551861339,0.0379246059055052,0.0,0.0,0.0,0.0,1.0
2010-02-12,0.0,0.0,cash,cash,False,0.0087038356126467,-0.0270236441347996,0.0137330426525319,-0.0521336479659955,0.0251100038311958,0.0,0.0,0.0,0.0,1.0
2010-02-22,0.0,0.0,cash,cash,False,0.0053156089908126,-0.001439334129152,0.0060486272066839,-0.0175766223542251,0.0161372882250731,0.0,0.0,0.0,0.0,1.0
2010-02-23,0.0,0.0,cash,long_microcap,True,0.0080470059569992,0.0206176985041393,0.0162861481233593,0.0129769641301189,0.0076407343740203,0.003,0.0,0.003,-0.0030000000000000027,0.997
2010-02-24,0.0249963364087111,0.0249963364087111,long_microcap,long_microcap,True,0.0249963364087111,0.0907727805057407,0.021376586779803,0.0787141525548034,0.0120586279509373,0.0,0.0,0.0,0.02499633640871113,1.021921347399485
2010-02-25,0.0139121790868381,0.0139121790868381,long_microcap,long_microcap,True,0.0139121790868381,0.1150673046613159,0.0187294666707606,0.1073825343355672,0.0076847703257487,0.0,0.0,0.0,0.013912179086838172,1.0361385001971697
2010-02-26,0.0069879499156659,0.0069879499156659,long_microcap,long_microcap,True,0.0069879499156659,0.1124843145608835,0.0017825388692502,0.0954087061327106,0.0170756084281729,0.0,0.0,0.0,0.006987949915665981,1.0433789841422407
2010-03-01,0.0152951509373318,0.0152951509373318,long_microcap,long_microcap,True,0.0152951509373318,0.1168781855645093,0.0147313542530742,0.1005915642656027,0.0162866212989065,0.0,0.0,0.0,0.015295150937331803,1.0593376231895362
2010-03-02,0.0078542607016338,0.0078542607016338,long_microcap,long_microcap,True,0.0078542607016338,0.138140693285083,0.0005823939143012,0.114304514869139,0.0238361784159439,0.0,0.0,0.0,0.007854260701633864,1.067657937053116
2010-03-03,0.0148324676488333,0.0148324676488333,long_microcap,long_microcap,True,0.0148324676488333,0.1522261596834679,0.0135163737342949,0.1332467157499639,0.018979443933504,0.0,0.0,0.0,0.014832467648833392,1.0834939388644766
2010-03-04,-0.0296417904833951,-0.0296417904833951,long_microcap,long_microcap,True,-0.0296417904833951,0.0952769480126911,-0.0356374647593191,0.0727111809033553,0.0225657671093357,0.0,0.0003,0.0003,-0.029932897946250092,1.0510618253670658
2010-03-05,0.0112575033321089,0.0112575033321089,long_microcap,long_microcap,True,0.0112575033321089,0.0912164898190741,-0.0001061099862491,0.0580010677714053,0.0332154220476688,0.0,0.0,0.0,0.011257503332108953,1.062894157368388
2010-03-08,0.0143540230327636,0.0143540230327636,long_microcap,long_microcap,True,0.0143540230327636,0.1207206603721791,0.0127951903252074,0.0921719471808453,0.0285487131913337,0.0,0.0,0.0,0.014354023032763674,1.0781509645846439
2010-03-09,0.0008358560376844,0.0008358560376844,long_microcap,long_microcap,True,0.0008358560376844,0.1216313356519214,0.0012423980634843,0.0943467225107395,0.0272846131411819,0.0,0.0,0.0,0.0008358560376844348,1.0790521435779272
