date,return_net,nav_net,return,nav,holding,next_holding,execution_scale,momentum_gap,signal_quality_derisk_triggered
2010-02-02,-0.003,0.997,0.0,1.0,cash,long_microcap_short_zz1000,0.0,0.0194361458288573,False
2010-02-03,0.0055452712595254,1.0025286354457468,0.0055452712595254,1.0055452712595254,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0213258457769512,False
2010-02-04,0.0030208563095552,1.005557130399643,0.0037435516667553,1.009309581935747,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0196203556401207,False
2010-02-05,0.0025238452495919,1.0080950009863954,0.002523845249592,1.0118569231294832,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0258781914199658,False
2010-02-08,0.000381139252318,1.0084792255613368,0.0003811392523181,1.0122425815206175,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0297383431823378,False
2010-02-09,0.002512451627576,1.011012980832975,0.0025124516275761,1.0147857920420609,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0311850212374611,False
2010-02-10,0.0026829099274432,1.0137254375960258,0.0026829099274433,1.0175083709177588,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0329751067722201,False
2010-02-11,0.0021922990703526,1.0159478269304605,0.0021922990703526,1.019739053573398,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0379246059055052,False
2010-02-12,-0.0025225985093787,1.0133849984566392,-0.0025225985093787,1.0171666613568984,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0251100038311958,False
2010-02-22,5.666461816500323e-05,1.0134424215306308,0.0002367072254654,1.017407432055144,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0161372882250731,False
2010-02-23,0.0,1.0134424215306308,-0.0052219125416882,1.0120946194256886,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0076407343740203,True
2010-02-24,0.0,1.0134424215306308,0.0076550669848687,1.0198422715324174,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0120586279509373,False
2010-02-25,0.0,1.0134424215306308,-0.0013113942497703,1.018504856241857,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0076847703257487,False
2010-02-26,0.0053219188202657,1.0188358798270305,0.0053219188202657,1.023925256404823,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0170756084281729,False
2010-03-01,0.0032700675348724,1.022167541961016,0.0032700675348723,1.027273561143928,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0162866212989065,False
2010-03-02,0.0071483455701928,1.029474348781588,0.0071483455701928,1.0346168675541074,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0238361784159439,False
2010-03-03,0.0037793686613973,1.0333651118730858,0.0037793686613974,1.0385270661198946,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.018979443933504,False
2010-03-04,-0.0016714071303368,1.0316379380568597,-0.0013718186759397,1.0371023952951226,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0225657671093357,False
2010-03-05,0.0111023913211083,1.043091586146868,0.0111023913211082,1.048616711927748,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0332154220476688,False
2010-03-08,0.0038778707725977,1.0471365605219296,0.0038778707725976,1.05268311202659,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0285487131913337,False
2010-03-09,-0.000398062413103,1.0467197348158,-0.000398062413103,1.0522640784467838,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0272846131411819,False
2010-03-10,0.001737946308802,1.0485388775152733,0.0017379463088021,1.0540928569178054,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0285868877986894,False
2010-03-11,0.0102454241876168,1.0592816030926249,0.0102454241876168,1.0648924853700652,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0402857975727302,False
2010-03-12,0.0003726707690894,1.0596763663823316,0.0003726707690894,1.0652893396715857,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0402133756767906,False
2010-03-15,-0.0021375276412998,1.0574112788583572,-0.0021375276412997,1.0630122542620557,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0442731596611476,False
2010-03-16,0.0027597767868958,1.0603294979599522,0.0027597767868958,1.065945930805554,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0458423408884254,False
2010-03-17,0.0026783426320984,1.06316942365841,0.0026783426320985,1.0688008992355422,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0527332186045519,False
2010-03-18,0.0033494429150302,1.0667304489519591,0.0037107787953964,1.072766982948926,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0516518336693834,False
2010-03-19,0.0020748661109371,1.0689437718099946,0.002074866110937,1.074992830806779,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.056939674441033,False
2010-03-22,0.0052266186338212,1.074530733246244,0.0052266186338212,1.080611408367498,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0556491334158182,False
2010-03-23,0.002533296051868,1.0772528377103876,0.0025332960518681,1.083348916981919,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0581171441343384,False
2010-03-24,0.0008022775054454,1.07811709342976,0.0008022775054455,1.0842180634485623,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0511316475303429,False
2010-03-25,0.0036227341374364,1.0820228250282815,0.0036227341374364,1.0881458972394429,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0555377365926555,False
2010-03-26,-0.0022728955685872,1.0795635001441648,-0.0022728955685871,1.0856726552516307,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0466082283656834,False
2010-03-29,-0.0002854394004027,1.079255350185987,-0.0002854394004027,1.085362761499882,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0334472896219351,False
2010-03-30,0.0033745532937639,1.0828973548827694,0.003374553293764,1.0890253759816302,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0340854378516715,False
2010-03-31,0.0042414225923355,1.0874903801889495,0.0042414225923354,1.0936443928149453,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0384228210349479,False
2010-04-01,-0.0009228740815991,1.0864867635030846,-0.0006230609998991,1.092962985646024,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0307808589704496,False
2010-04-02,0.0021344163054497,1.0888057785667609,0.0021344163054498,1.0952958236638397,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0201849461557126,False
2010-04-06,0.0070337051301898,1.0964641173572462,0.0070337051301898,1.1029998115178197,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0234742930351208,False
2010-04-07,0.0067956702936451,1.1039153259876189,0.0067956702936451,1.1104954345708475,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0316202624942778,False
2010-04-08,-0.0014679873274858,1.1022947922784514,-0.0014679873274858,1.1088652413456666,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0291669786958255,False
2010-04-09,-0.0012125689121755,1.1009581838812814,-0.0012125689121756,1.1075206658262189,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0269986160547026,False
2010-04-12,0.0048699106383482,1.1063197518533414,0.0048699106383483,1.1129141924989163,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0265328425560698,False
2010-04-13,-0.0028381884425283,1.1031798079198905,-0.0028381884425284,1.1097555323002402,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0264698326642747,False
2010-04-14,-0.0017622723653093,1.101235704630426,-0.0017622723653093,1.1077998407934182,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0174722338624992,False
2010-04-15,0.0010997445541753,1.1024467825994568,0.0014001646035564,1.1093509429183226,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0170684362404398,False
2010-04-16,-0.0020447886850261,1.100192511892554,-0.002044788685026,1.1070825546625205,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0147108743299602,False
2010-04-19,-0.000546578309969,1.099591170528763,-0.000546578309969,1.1064774473507966,long_microcap_short_zz1000,long_microcap_short_zz1000,1.0,0.0159019701007823,False
2010-04-20,0.0,1.099591170528763,-0.0036484977023352,1.1024404669264514,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0143406107329162,True
2010-04-21,0.0,1.099591170528763,-0.0032691848656666,1.098836385236677,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0063197434729145,False
2010-04-22,0.0,1.099591170528763,0.0031541883195802,1.1023023221281203,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0060802716380148,False
2010-04-23,0.0,1.099591170528763,0.0014266890041195,1.103874964730316,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0062422830245594,False
2010-04-26,0.0,1.099591170528763,-0.0020184117363202,1.101646890546074,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0084840582587415,False
2010-04-27,0.0,1.099591170528763,-0.0057632134552283,1.0952978643635685,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0062750369570108,False
2010-04-28,0.0,1.099591170528763,0.0075444557720537,1.1035612906584842,long_microcap_short_zz1000,long_microcap_short_zz1000,0.0,0.0089692149503808,False
