window,start,end,observations,years,ulcer_index_pct,max_drawdown_pct,longest_underwater_days,longest_underwater_obs,terminal_drawdown_pct,total_return_pct
5Y,2021-04-28,2026-04-28,1206,4.999315537303217,4.094932382625399,-12.21240856545921,230,153,-3.341233977524183,555.0161573762475
10Y,2016-04-28,2026-04-28,2424,9.998631074606434,3.4336364939598996,-12.212408565459187,230,153,-3.341233977524183,2622.381923903191
15Y,2011-04-28,2026-04-28,3640,15.000684462696784,3.0367634175454254,-12.212408565459231,244,159,-3.3412339775241606,16719.465169394327
MAX,2010-02-02,2026-04-28,3936,16.23271731690623,2.9953239335741677,-12.212408565459231,244,159,-3.341233977524194,19378.118742005823
