label,dd_moderate,dd_severe,scale_moderate,scale_severe,recover_dd,rebal_cost_bps,annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,avg_scale,median_scale,min_scale,share_below_1,share_at_severe_scale,avg_turnover,annualized_turnover,moderate_or_worse_share,severe_share,recovery_band_share,n_scale_changes
dd3_8_sc85_65_rec3,0.03,0.08,0.85,0.65,0.03,2.0,0.23360673505920926,0.0985126215060027,2.371338123866441,-0.12383715447651844,28.874674070531217,2010-02-02,2026-04-09,3928,0.9217031568228106,1.0,0.65,0.4238798370672098,0.07357433808553972,0.006682790224032588,1.6840631364562122,0.4238798370672098,0.07357433808553972,0.0,164
dd3_10_sc85_65_rec3,0.03,0.1,0.85,0.65,0.03,2.0,0.23492899158336322,0.09927834232376319,2.366366984827574,-0.12948922994832213,29.397041728416802,2010-02-02,2026-04-09,3928,0.9298116089613034,1.0,0.65,0.4210794297352342,0.03513238289205703,0.005562627291242363,1.4017820773930756,0.4210794297352342,0.03513238289205703,0.0,142
dd3_6_sc85_75_rec3,0.03,0.06,0.85,0.75,0.03,2.0,0.23280510191128334,0.09841947881368505,2.3654372560943924,-0.1236906570346411,28.5620959758715,2010-02-02,2026-04-09,3928,0.9196028513238289,1.0,0.75,0.4231160896130346,0.16929735234215887,0.0063518329938900215,1.6006619144602854,0.4231160896130346,0.16929735234215887,0.0,185
dd3_10_sc85_70_rec3,0.03,0.1,0.85,0.7,0.03,2.0,0.2352750098046994,0.0994870968845005,2.364879639395266,-0.1301574396130314,29.53514674063946,2010-02-02,2026-04-09,3928,0.9316446028513238,1.0,0.7,0.42082484725050917,0.034877800407331974,0.0054989816700611,1.3857433808553974,0.42082484725050917,0.034877800407331974,0.0,144
dd3_8_sc85_70_rec3,0.03,0.08,0.85,0.7,0.03,2.0,0.23382618894912843,0.0988866627767712,2.364587724807465,-0.1263020098480474,28.960784054032537,2010-02-02,2026-04-09,3928,0.9255728105906312,1.0,0.7,0.42286150712830956,0.07331975560081466,0.00633910386965377,1.59745417515275,0.42286150712830956,0.07331975560081466,0.0,166
dd3_8_sc85_75_rec3,0.03,0.08,0.85,0.75,0.03,2.0,0.2347168832295643,0.09930217326757526,2.3636631053089494,-0.12780590535275704,29.312673629337603,2010-02-02,2026-04-09,3928,0.9294424643584521,1.0,0.75,0.4218431771894094,0.07281059063136457,0.005817209775967414,1.4659368635437884,0.4218431771894094,0.07281059063136457,0.0,164
dd3_10_sc85_75_rec3,0.03,0.1,0.85,0.75,0.03,2.0,0.23550660863479855,0.09970466723947707,2.3620419701030007,-0.13024557090779076,29.62791258981566,2010-02-02,2026-04-09,3928,0.9334139511201629,1.0,0.75,0.42082484725050917,0.034623217922606926,0.005384419551934827,1.3568737270875766,0.42082484725050917,0.034623217922606926,0.0,146
dd4_8_sc85_70_rec3,0.04,0.08,0.85,0.7,0.03,2.0,0.2351660042571,0.09957708393783095,2.361647830578383,-0.12450936137995328,29.491576360851,2010-02-02,2026-04-09,3928,0.934432281059063,1.0,0.7,0.36328920570264767,0.07382892057026477,0.0035132382892057038,0.8853360488798373,0.42515274949083504,0.07382892057026477,0.10437881873727088,92
dd3_6_sc85_80_rec3,0.03,0.06,0.85,0.8,0.03,2.0,0.23456665366754348,0.09932403048767884,2.3616304384329383,-0.12773812247203853,29.253051363449586,2010-02-02,2026-04-09,3928,0.928373217922607,1.0,0.8,0.4215885947046843,0.16776985743380857,0.005779022403258656,1.4563136456211812,0.4215885947046843,0.16776985743380857,0.0,191
dd4_8_sc85_65_rec3,0.04,0.08,0.85,0.65,0.03,2.0,0.23409834861551815,0.09914491871693368,2.3611734382867047,-0.12193599930310262,29.0678983644033,2010-02-02,2026-04-09,3928,0.9302443991853361,1.0,0.65,0.3655804480651731,0.07459266802443992,0.003933299389002037,0.9911914460285133,0.42617107942973526,0.07459266802443992,0.10361507128309572,92
dd3_6_sc85_70_rec3,0.03,0.06,0.85,0.7,0.03,2.0,0.23028874472874228,0.09753440619117526,2.3611026479964194,-0.1196295522669103,27.60071708513781,2010-02-02,2026-04-09,3928,0.9105651731160894,1.0,0.7,0.4254073319755601,0.17082484725050917,0.007408350305498983,1.8669042769857438,0.4254073319755601,0.17082484725050917,0.0,193
