label,sample_start,sample_end,rows,total_return,annual_return,sharpe,max_drawdown,position_days_pct,trades,reg_window,z_window
N24_M200,2023-07-05,2026-03-30,662,1.6338884738762642,0.42487566930755927,2.116189470375159,-0.09891616915469459,0.37613293051359514,24,24,200
N30_M250,2023-07-05,2026-03-30,662,1.5336129836647463,0.4047975771508281,2.0967512923021157,-0.10554826407864193,0.3413897280966767,16,30,250
N24_M250,2023-07-05,2026-03-30,662,1.3141296949995827,0.35901994822837313,1.9518035529701807,-0.09891616915469448,0.3413897280966767,22,24,250
N30_M120,2023-07-05,2026-03-30,662,2.1794095326501473,0.5263907116815729,1.9429314013854084,-0.24030973306350534,0.44561933534743203,32,30,120
N30_M200,2023-07-05,2026-03-30,662,1.295018187549756,0.3549056181900554,1.8743510863850634,-0.09891616915469448,0.3776435045317221,20,30,200
N30_M160,2023-07-05,2026-03-30,662,1.4789132686995048,0.39363196720746374,1.7589464005701774,-0.16402903706553007,0.4169184290030212,28,30,160
N24_M160,2023-07-05,2026-03-30,662,1.2476871465883712,0.3446217246642165,1.6233890083401619,-0.24016758706859398,0.41540785498489424,30,24,160
N16_M160,2023-07-05,2026-03-30,662,1.0603638452443036,0.3025151988585768,1.5061900446337628,-0.20727628897355488,0.3942598187311178,46,16,160
N20_M250,2023-07-05,2026-03-30,662,0.9218388995760483,0.2697884083298854,1.4669186201270377,-0.16360479578119413,0.33987915407854985,24,20,250
N20_M200,2023-07-05,2026-03-30,662,0.8511898395307829,0.25251878094207525,1.3286397963389072,-0.15042329274800736,0.37915407854984895,32,20,200
N16_M120,2023-07-05,2026-03-30,662,1.131008217004923,0.31866916954503544,1.2575058975616156,-0.40074793474513626,0.43202416918429004,54,16,120
N16_M250,2023-07-05,2026-03-30,662,0.6914030051839974,0.21185512321478006,1.2275591315925645,-0.19239244409619305,0.3157099697885196,32,16,250
N20_M160,2023-07-05,2026-03-30,662,0.7908259479931834,0.23742893430299983,1.1992467366623767,-0.2861372930247281,0.4033232628398791,32,20,160
N24_M300,2023-07-05,2026-03-30,662,0.501199362175454,0.16013525252765826,1.1924862503943876,-0.17233347756234274,0.27492447129909364,26,24,300
N20_M120,2023-07-05,2026-03-30,662,1.0306600502415582,0.2956180010206413,1.1796393129336151,-0.40074793474513604,0.4425981873111782,38,20,120
N16_M300,2023-07-05,2026-03-30,662,0.47664612776155146,0.1531614258865832,1.1241329244071718,-0.21269857083447297,0.26586102719033233,24,16,300
N24_M120,2023-07-05,2026-03-30,662,0.8793358548134889,0.2594481337515393,1.062920572645132,-0.3471819713648203,0.44108761329305135,40,24,120
N20_M300,2023-07-05,2026-03-30,662,0.4257265113735842,0.1384607160790048,1.0418744455577358,-0.18416895732715388,0.2719033232628399,18,20,300
N16_M200,2023-07-05,2026-03-30,662,0.6052470382925035,0.18891093093290712,1.0171911260751654,-0.2022006566675214,0.3716012084592145,40,16,200
N30_M300,2023-07-05,2026-03-30,662,0.3941480885209139,0.12917587315398782,1.0074294915682969,-0.14627123620326665,0.2688821752265861,22,30,300
